,Occupancy[cor]
6653400,2
6654000,2
6654600,2
6655200,2
6655800,2
6656400,2
6657000,2
6657600,2
6658200,2
6658800,2
6659400,2
6660000,2
6660600,2
6661200,2
6661800,2
6662400,2
6663000,2
6663600,2
6664200,2
6664800,2
6665400,2
6666000,2
6666600,2
6667200,2
6667800,2
6668400,2
6669000,2
6669600,2
6670200,2
6670800,2
6671400,2
6672000,2
6672600,2
6673200,2
6673800,2
6674400,2
6675000,2
6675600,2
6676200,2
6676800,2
6677400,2
6678000,2
6678600,2
6679200,2
6679800,2
6680400,2
6681000,2
6681600,2
6682200,2
6682800,12
6683400,23
6684000,23
6684600,33
6685200,44
6685800,44
6686400,44
6687000,44
6687600,44
6688200,44
6688800,44
6689400,44
6690000,44
6690600,44
6691200,44
6691800,44
6692400,44
6693000,44
6693600,44
6694200,44
6694800,44
6695400,44
6696000,39
6696600,39
6697200,39
6697800,39
6698400,39
6699000,39
6699600,49
6700200,49
6700800,49
6701400,49
6702000,49
6702600,49
6703200,49
6703800,49
6704400,49
6705000,49
6705600,49
6706200,49
6706800,49
6707400,49
6708000,49
6708600,49
6709200,49
6709800,49
6710400,49
6711000,49
6711600,49
6712200,49
6712800,49
6713400,49
6714000,49
6714600,49
6715200,43
6715800,38
6716400,38
6717000,32
6717600,27
6718200,27
6718800,21
6719400,16
6720000,16
6720600,10
6721200,4
6721800,4
6722400,4
6723000,4
6723600,4
6724200,4
6724800,4
6725400,4
6726000,4
6726600,4
6727200,4
6727800,4
6728400,3
6729000,3
6729600,3
6730200,3
6730800,3
6731400,3
6732000,3
6732600,3
6733200,3
6733800,3
6734400,3
6735000,3
6735600,2
6736200,2
6736800,2
6737400,2
6738000,2
6738600,2
6739200,2
6739800,2
6740400,2
6741000,2
6741600,2
6742200,2
6742800,2
6743400,2
6744000,2
6744600,2
6745200,2
6745800,2
6746400,2
6747000,2
6747600,2
6748200,2
6748800,2
6749400,2
6750000,2
6750600,2
6751200,2
6751800,2
6752400,2
6753000,2
6753600,2
6754200,2
6754800,2
6755400,2
6756000,2
6756600,2
6757200,2
6757800,2
6758400,2
6759000,2
6759600,2
6760200,2
6760800,2
6761400,2
6762000,2
6762600,2
6763200,2
6763800,2
6764400,2
6765000,2
6765600,2
6766200,2
6766800,2
6767400,2
6768000,2
6768600,2
6769200,12
6769800,23
6770400,23
6771000,33
6771600,44
6772200,44
6772800,44
6773400,44
6774000,44
6774600,44
6775200,44
6775800,44
6776400,44
6777000,44
6777600,44
6778200,44
6778800,44
6779400,44
6780000,44
6780600,44
6781200,44
6781800,44
6782400,39
6783000,39
6783600,39
6784200,39
6784800,39
6785400,39
6786000,49
6786600,49
6787200,49
6787800,49
6788400,49
6789000,49
6789600,49
6790200,49
6790800,49
6791400,49
6792000,49
6792600,49
6793200,49
6793800,49
6794400,49
6795000,49
6795600,49
6796200,49
6796800,49
6797400,49
6798000,49
6798600,49
6799200,49
6799800,49
6800400,49
6801000,49
6801600,43
6802200,38
6802800,38
6803400,32
6804000,27
6804600,27
6805200,21
6805800,16
6806400,16
6807000,10
6807600,4
6808200,4
6808800,4
6809400,4
6810000,4
6810600,4
6811200,4
6811800,4
6812400,4
6813000,4
6813600,4
6814200,4
6814800,3
6815400,3
6816000,3
6816600,3
6817200,3
6817800,3
6818400,3
6819000,3
6819600,3
6820200,3
6820800,3
6821400,3
6822000,2
6822600,2
6823200,2
6823800,2
6824400,2
6825000,2
6825600,2
6826200,2
6826800,2
6827400,2
6828000,2
6828600,2
6829200,2
6829800,2
6830400,2
6831000,2
6831600,2
6832200,2
6832800,2
6833400,2
6834000,2
6834600,2
6835200,2
6835800,2
6836400,2
6837000,2
6837600,2
6838200,2
6838800,2
6839400,2
6840000,2
6840600,2
6841200,2
6841800,2
6842400,2
6843000,2
6843600,2
6844200,2
6844800,2
6845400,2
6846000,2
6846600,2
6847200,2
6847800,2
6848400,2
6849000,2
6849600,2
6850200,2
6850800,2
6851400,2
6852000,2
6852600,2
6853200,2
6853800,2
6854400,2
6855000,2
6855600,12
6856200,23
6856800,23
6857400,33
6858000,44
6858600,44
6859200,44
6859800,44
6860400,44
6861000,44
6861600,44
6862200,44
6862800,44
6863400,44
6864000,44
6864600,44
6865200,44
6865800,44
6866400,44
6867000,44
6867600,44
6868200,44
6868800,39
6869400,39
6870000,39
6870600,39
6871200,39
6871800,39
6872400,49
6873000,49
6873600,49
6874200,49
6874800,49
6875400,49
6876000,49
6876600,49
6877200,49
6877800,49
6878400,49
6879000,49
6879600,49
6880200,49
6880800,49
6881400,49
6882000,49
6882600,49
6883200,49
6883800,49
6884400,49
6885000,49
6885600,49
6886200,49
6886800,49
6887400,49
6888000,43
6888600,38
6889200,38
6889800,32
6890400,27
6891000,27
6891600,21
6892200,16
6892800,16
6893400,10
6894000,4
6894600,4
6895200,4
6895800,4
6896400,4
6897000,4
6897600,4
6898200,4
6898800,4
6899400,4
6900000,4
6900600,4
6901200,3
6901800,3
6902400,3
6903000,3
6903600,3
6904200,3
6904800,3
6905400,3
6906000,3
6906600,3
6907200,3
6907800,3
6908400,2
6909000,2
6909600,2
6910200,2
6910800,2
6911400,2
6912000,2
6912600,2
6913200,2
6913800,2
6914400,2
6915000,2
6915600,2
6916200,2
6916800,2
6917400,2
6918000,2
6918600,2
6919200,2
6919800,2
6920400,2
6921000,2
6921600,2
6922200,2
6922800,2
6923400,2
6924000,2
6924600,2
6925200,2
6925800,2
6926400,2
6927000,2
6927600,2
6928200,2
6928800,2
6929400,2
6930000,2
6930600,2
6931200,2
6931800,2
6932400,2
6933000,2
6933600,2
6934200,2
6934800,2
6935400,2
6936000,2
6936600,2
6937200,2
6937800,2
6938400,2
6939000,2
6939600,2
6940200,2
6940800,2
6941400,2
6942000,12
6942600,23
6943200,23
6943800,33
6944400,44
6945000,44
6945600,44
6946200,44
6946800,44
6947400,44
6948000,44
6948600,44
6949200,44
6949800,44
6950400,44
6951000,44
6951600,44
6952200,44
6952800,44
6953400,44
6954000,44
6954600,44
6955200,39
6955800,39
6956400,39
6957000,39
6957600,39
6958200,39
6958800,49
6959400,49
6960000,49
6960600,49
6961200,49
6961800,49
6962400,49
6963000,49
6963600,49
6964200,49
6964800,49
6965400,49
6966000,49
6966600,49
6967200,49
6967800,49
6968400,49
6969000,49
6969600,49
6970200,49
6970800,49
6971400,49
6972000,49
6972600,49
6973200,49
6973800,49
6974400,43
6975000,38
6975600,38
6976200,32
6976800,27
6977400,27
6978000,21
6978600,16
6979200,16
6979800,10
6980400,4
6981000,4
6981600,4
6982200,4
6982800,4
6983400,4
6984000,4
6984600,4
6985200,4
6985800,4
6986400,4
6987000,4
6987600,3
6988200,3
6988800,3
6989400,3
6990000,3
6990600,3
6991200,3
