timestamp,Occupancy[cor]
6652800,2.0
6652830,2.0
6652860,2.0
6652890,2.0
6652920,2.0
6652950,2.0
6652980,2.0
6653010,2.0
6653040,2.0
6653070,2.0
6653100,2.0
6653130,2.0
6653160,2.0
6653190,2.0
6653220,2.0
6653250,2.0
6653280,2.0
6653310,2.0
6653340,2.0
6653370,2.0
6653400,2.0
6653430,2.0
6653460,2.0
6653490,2.0
6653520,2.0
6653550,2.0
6653580,2.0
6653610,2.0
6653640,2.0
6653670,2.0
6653700,2.0
6653730,2.0
6653760,2.0
6653790,2.0
6653820,2.0
6653850,2.0
6653880,2.0
6653910,2.0
6653940,2.0
6653970,2.0
6654000,2.0
6654030,2.0
6654060,2.0
6654090,2.0
6654120,2.0
6654150,2.0
6654180,2.0
6654210,2.0
6654240,2.0
6654270,2.0
6654300,2.0
6654330,2.0
6654360,2.0
6654390,2.0
6654420,2.0
6654450,2.0
6654480,2.0
6654510,2.0
6654540,2.0
6654570,2.0
6654600,2.0
6654630,2.0
6654660,2.0
6654690,2.0
6654720,2.0
6654750,2.0
6654780,2.0
6654810,2.0
6654840,2.0
6654870,2.0
6654900,2.0
6654930,2.0
6654960,2.0
6654990,2.0
6655020,2.0
6655050,2.0
6655080,2.0
6655110,2.0
6655140,2.0
6655170,2.0
6655200,2.0
6655230,2.0
6655260,2.0
6655290,2.0
6655320,2.0
6655350,2.0
6655380,2.0
6655410,2.0
6655440,2.0
6655470,2.0
6655500,2.0
6655530,2.0
6655560,2.0
6655590,2.0
6655620,2.0
6655650,2.0
6655680,2.0
6655710,2.0
6655740,2.0
6655770,2.0
6655800,2.0
6655830,2.0
6655860,2.0
6655890,2.0
6655920,2.0
6655950,2.0
6655980,2.0
6656010,2.0
6656040,2.0
6656070,2.0
6656100,2.0
6656130,2.0
6656160,2.0
6656190,2.0
6656220,2.0
6656250,2.0
6656280,2.0
6656310,2.0
6656340,2.0
6656370,2.0
6656400,2.0
6656430,2.0
6656460,2.0
6656490,2.0
6656520,2.0
6656550,2.0
6656580,2.0
6656610,2.0
6656640,2.0
6656670,2.0
6656700,2.0
6656730,2.0
