timestamp,UpperCO2[cor]
6652800,894.0
6652830,894.0
6652860,894.0
6652890,894.0
6652920,894.0
6652950,894.0
6652980,894.0
6653010,894.0
6653040,894.0
6653070,894.0
6653100,894.0
6653130,894.0
6653160,894.0
6653190,894.0
6653220,894.0
6653250,894.0
6653280,894.0
6653310,894.0
6653340,894.0
6653370,894.0
6653400,894.0
6653430,894.0
6653460,894.0
6653490,894.0
6653520,894.0
6653550,894.0
6653580,894.0
6653610,894.0
6653640,894.0
6653670,894.0
6653700,894.0
6653730,894.0
6653760,894.0
6653790,894.0
6653820,894.0
6653850,894.0
6653880,894.0
6653910,894.0
6653940,894.0
6653970,894.0
6654000,894.0
6654030,894.0
6654060,894.0
6654090,894.0
6654120,894.0
6654150,894.0
6654180,894.0
6654210,894.0
6654240,894.0
6654270,894.0
6654300,894.0
6654330,894.0
6654360,894.0
6654390,894.0
6654420,894.0
6654450,894.0
6654480,894.0
6654510,894.0
6654540,894.0
6654570,894.0
6654600,894.0
6654630,894.0
6654660,894.0
6654690,894.0
6654720,894.0
6654750,894.0
6654780,894.0
6654810,894.0
6654840,894.0
6654870,894.0
6654900,894.0
6654930,894.0
6654960,894.0
6654990,894.0
6655020,894.0
6655050,894.0
6655080,894.0
6655110,894.0
6655140,894.0
6655170,894.0
6655200,894.0
6655230,894.0
6655260,894.0
6655290,894.0
6655320,894.0
6655350,894.0
6655380,894.0
6655410,894.0
6655440,894.0
6655470,894.0
6655500,894.0
6655530,894.0
6655560,894.0
6655590,894.0
6655620,894.0
6655650,894.0
6655680,894.0
6655710,894.0
6655740,894.0
6655770,894.0
6655800,894.0
6655830,894.0
6655860,894.0
6655890,894.0
6655920,894.0
6655950,894.0
6655980,894.0
6656010,894.0
6656040,894.0
6656070,894.0
6656100,894.0
6656130,894.0
6656160,894.0
6656190,894.0
6656220,894.0
6656250,894.0
6656280,894.0
6656310,894.0
6656340,894.0
6656370,894.0
6656400,894.0
6656430,894.0
6656460,894.0
6656490,894.0
6656520,894.0
6656550,894.0
6656580,894.0
6656610,894.0
6656640,894.0
6656670,894.0
6656700,894.0
6656730,894.0
6656760,894.0
6656790,894.0
6656820,894.0
6656850,894.0
6656880,894.0
6656910,894.0
6656940,894.0
6656970,894.0
6657000,894.0
6657030,894.0
6657060,894.0
6657090,894.0
6657120,894.0
6657150,894.0
6657180,894.0
6657210,894.0
6657240,894.0
6657270,894.0
6657300,894.0
6657330,894.0
6657360,894.0
6657390,894.0
6657420,894.0
6657450,894.0
6657480,894.0
6657510,894.0
6657540,894.0
6657570,894.0
6657600,894.0
6657630,894.0
6657660,894.0
6657690,894.0
6657720,894.0
6657750,894.0
6657780,894.0
6657810,894.0
6657840,894.0
6657870,894.0
6657900,894.0
6657930,894.0
6657960,894.0
6657990,894.0
6658020,894.0
6658050,894.0
6658080,894.0
6658110,894.0
6658140,894.0
6658170,894.0
6658200,894.0
6658230,894.0
6658260,894.0
6658290,894.0
6658320,894.0
6658350,894.0
6658380,894.0
6658410,894.0
6658440,894.0
6658470,894.0
6658500,894.0
6658530,894.0
6658560,894.0
6658590,894.0
6658620,894.0
6658650,894.0
6658680,894.0
6658710,894.0
6658740,894.0
6658770,894.0
6658800,894.0
6658830,894.0
6658860,894.0
6658890,894.0
6658920,894.0
6658950,894.0
6658980,894.0
6659010,894.0
6659040,894.0
6659070,894.0
6659100,894.0
6659130,894.0
6659160,894.0
6659190,894.0
6659220,894.0
6659250,894.0
6659280,894.0
6659310,894.0
6659340,894.0
6659370,894.0
6659400,894.0
6659430,894.0
6659460,894.0
6659490,894.0
6659520,894.0
6659550,894.0
6659580,894.0
6659610,894.0
6659640,894.0
6659670,894.0
6659700,894.0
6659730,894.0
6659760,894.0
6659790,894.0
6659820,894.0
6659850,894.0
6659880,894.0
6659910,894.0
6659940,894.0
6659970,894.0
6660000,894.0
6660030,894.0
6660060,894.0
6660090,894.0
6660120,894.0
6660150,894.0
6660180,894.0
6660210,894.0
6660240,894.0
6660270,894.0
6660300,894.0
6660330,894.0
6660360,894.0
6660390,894.0
6660420,894.0
6660450,894.0
6660480,894.0
6660510,894.0
6660540,894.0
6660570,894.0
6660600,894.0
6660630,894.0
6660660,894.0
6660690,894.0
6660720,894.0
6660750,894.0
6660780,894.0
6660810,894.0
6660840,894.0
6660870,894.0
6660900,894.0
6660930,894.0
6660960,894.0
6660990,894.0
6661020,894.0
6661050,894.0
6661080,894.0
6661110,894.0
6661140,894.0
6661170,894.0
6661200,894.0
6661230,894.0
6661260,894.0
6661290,894.0
6661320,894.0
6661350,894.0
6661380,894.0
6661410,894.0
6661440,894.0
6661470,894.0
6661500,894.0
6661530,894.0
6661560,894.0
6661590,894.0
6661620,894.0
6661650,894.0
6661680,894.0
6661710,894.0
6661740,894.0
6661770,894.0
6661800,894.0
6661830,894.0
6661860,894.0
6661890,894.0
6661920,894.0
6661950,894.0
6661980,894.0
6662010,894.0
6662040,894.0
6662070,894.0
6662100,894.0
6662130,894.0
6662160,894.0
6662190,894.0
6662220,894.0
6662250,894.0
6662280,894.0
6662310,894.0
6662340,894.0
6662370,894.0
6662400,894.0
6662430,894.0
6662460,894.0
6662490,894.0
6662520,894.0
6662550,894.0
6662580,894.0
6662610,894.0
6662640,894.0
6662670,894.0
6662700,894.0
6662730,894.0
6662760,894.0
6662790,894.0
6662820,894.0
6662850,894.0
6662880,894.0
6662910,894.0
6662940,894.0
6662970,894.0
6663000,894.0
6663030,894.0
6663060,894.0
6663090,894.0
6663120,894.0
6663150,894.0
6663180,894.0
6663210,894.0
6663240,894.0
6663270,894.0
6663300,894.0
6663330,894.0
6663360,894.0
6663390,894.0
6663420,894.0
6663450,894.0
6663480,894.0
6663510,894.0
6663540,894.0
6663570,894.0
6663600,894.0
6663630,894.0
6663660,894.0
6663690,894.0
6663720,894.0
6663750,894.0
6663780,894.0
6663810,894.0
6663840,894.0
6663870,894.0
6663900,894.0
6663930,894.0
6663960,894.0
6663990,894.0
6664020,894.0
6664050,894.0
6664080,894.0
6664110,894.0
6664140,894.0
6664170,894.0
6664200,894.0
6664230,894.0
6664260,894.0
6664290,894.0
6664320,894.0
6664350,894.0
6664380,894.0
6664410,894.0
6664440,894.0
6664470,894.0
6664500,894.0
6664530,894.0
6664560,894.0
6664590,894.0
6664620,894.0
6664650,894.0
6664680,894.0
6664710,894.0
6664740,894.0
6664770,894.0
6664800,894.0
6664830,894.0
6664860,894.0
6664890,894.0
6664920,894.0
6664950,894.0
6664980,894.0
6665010,894.0
6665040,894.0
6665070,894.0
6665100,894.0
6665130,894.0
6665160,894.0
6665190,894.0
6665220,894.0
6665250,894.0
6665280,894.0
6665310,894.0
6665340,894.0
6665370,894.0
6665400,894.0
6665430,894.0
6665460,894.0
6665490,894.0
6665520,894.0
6665550,894.0
6665580,894.0
6665610,894.0
6665640,894.0
6665670,894.0
6665700,894.0
6665730,894.0
6665760,894.0
6665790,894.0
6665820,894.0
6665850,894.0
6665880,894.0
6665910,894.0
6665940,894.0
6665970,894.0
6666000,894.0
6666030,894.0
6666060,894.0
6666090,894.0
6666120,894.0
6666150,894.0
6666180,894.0
6666210,894.0
6666240,894.0
6666270,894.0
6666300,894.0
6666330,894.0
6666360,894.0
6666390,894.0
6666420,894.0
6666450,894.0
6666480,894.0
6666510,894.0
6666540,894.0
6666570,894.0
6666600,894.0
6666630,894.0
6666660,894.0
6666690,894.0
6666720,894.0
6666750,894.0
6666780,894.0
6666810,894.0
6666840,894.0
6666870,894.0
6666900,894.0
6666930,894.0
6666960,894.0
6666990,894.0
6667020,894.0
6667050,894.0
6667080,894.0
6667110,894.0
6667140,894.0
6667170,894.0
6667200,894.0
6667230,894.0
6667260,894.0
6667290,894.0
6667320,894.0
6667350,894.0
6667380,894.0
6667410,894.0
6667440,894.0
6667470,894.0
6667500,894.0
6667530,894.0
6667560,894.0
6667590,894.0
6667620,894.0
6667650,894.0
6667680,894.0
6667710,894.0
6667740,894.0
6667770,894.0
6667800,894.0
6667830,894.0
6667860,894.0
6667890,894.0
6667920,894.0
6667950,894.0
6667980,894.0
6668010,894.0
6668040,894.0
6668070,894.0
