,UpperCO2[sou]
6653400,894
6654000,894
6654600,894
6655200,894
6655800,894
6656400,894
6657000,894
6657600,894
6658200,894
6658800,894
6659400,894
6660000,894
6660600,894
6661200,894
6661800,894
6662400,894
6663000,894
6663600,894
6664200,894
6664800,894
6665400,894
6666000,894
6666600,894
6667200,894
6667800,894
6668400,894
6669000,894
6669600,894
6670200,894
6670800,894
6671400,894
6672000,894
6672600,894
6673200,894
6673800,894
6674400,894
6675000,894
6675600,894
6676200,894
6676800,894
6677400,894
6678000,894
6678600,894
6679200,894
6679800,894
6680400,894
6681000,894
6681600,894
6682200,894
6682800,894
6683400,894
6684000,894
6684600,894
6685200,894
6685800,894
6686400,894
6687000,894
6687600,894
6688200,894
6688800,894
6689400,894
6690000,894
6690600,894
6691200,894
6691800,894
6692400,894
6693000,894
6693600,894
6694200,894
6694800,894
6695400,894
6696000,894
6696600,894
6697200,894
6697800,894
6698400,894
6699000,894
6699600,894
6700200,894
6700800,894
6701400,894
6702000,894
6702600,894
6703200,894
6703800,894
6704400,894
6705000,894
6705600,894
6706200,894
6706800,894
6707400,894
6708000,894
6708600,894
6709200,894
6709800,894
6710400,894
6711000,894
6711600,894
6712200,894
6712800,894
6713400,894
6714000,894
6714600,894
6715200,894
6715800,894
6716400,894
6717000,894
6717600,894
6718200,894
6718800,894
6719400,894
6720000,894
6720600,894
6721200,894
6721800,894
6722400,894
6723000,894
6723600,894
6724200,894
6724800,894
6725400,894
6726000,894
6726600,894
6727200,894
6727800,894
6728400,894
6729000,894
6729600,894
6730200,894
6730800,894
6731400,894
6732000,894
6732600,894
6733200,894
6733800,894
6734400,894
6735000,894
6735600,894
6736200,894
6736800,894
6737400,894
6738000,894
6738600,894
6739200,894
6739800,894
6740400,894
6741000,894
6741600,894
6742200,894
6742800,894
6743400,894
6744000,894
6744600,894
6745200,894
6745800,894
6746400,894
6747000,894
6747600,894
6748200,894
6748800,894
6749400,894
6750000,894
6750600,894
6751200,894
6751800,894
6752400,894
6753000,894
6753600,894
6754200,894
6754800,894
6755400,894
6756000,894
6756600,894
6757200,894
6757800,894
6758400,894
6759000,894
6759600,894
6760200,894
6760800,894
6761400,894
6762000,894
6762600,894
6763200,894
6763800,894
6764400,894
6765000,894
6765600,894
6766200,894
6766800,894
6767400,894
6768000,894
6768600,894
6769200,894
6769800,894
6770400,894
6771000,894
6771600,894
