time,hvac_reaAhu_THeaCoiSup_y
6652800,286.27464307456114
6652830,286.27464307456114
6652860,286.27464307456114
6652890,286.27464307456114
6652920,286.27464307456114
6652950,286.27464307456114
6652980,286.27464307456114
6653010,286.27464307456114
6653040,286.27464307456114
6653070,286.27464307456114
6653100,286.27464307456114
6653130,286.27464307456114
6653160,286.27464307456114
6653190,286.27464307456114
6653220,286.27464307456114
6653250,286.27464307456114
6653280,286.27464307456114
6653310,286.27464307456114
6653340,286.27464307456114
6653370,286.27464307456114
6653400,286.27464307456114
6653430,287.05664148914144
6653460,287.045639766784
6653490,287.0480348430076
6653520,287.05044996103567
6653550,287.05286807941883
6653580,287.05529197570587
6653610,287.0577110248401
6653640,287.06013155044417
6653670,287.0625519487735
6653700,287.06497220535954
6653730,287.0673924344817
6653760,287.0698126432893
6653790,287.0722328190274
6653820,287.07465296069387
6653850,287.07707306909094
6653880,287.07949314447836
6653910,287.0819131868683
6653940,287.0843331962482
6653970,287.0867531726147
6654000,287.0891731159681
6654030,287.0915930236932
6654060,287.09401290075806
6654090,287.0964327450079
6654120,287.0988525562922
6654150,287.10127233458087
6654180,287.10369207986463
6654210,287.1061117921405
6654240,287.1085314714077
6654270,287.11095111766633
6654300,287.11337073091676
6654330,287.1157903111594
6654360,287.11820985839455
6654390,287.1206293726227
6654420,287.12304885384447
6654450,287.12546830206014
6654480,287.1278877172703
6654510,287.1303070994753
6654540,287.1327264486756
6654570,287.1351457648719
6654600,287.13756504806423
6654630,287.1399842950048
6654660,287.14240351180405
6654690,287.14482269598557
6654720,287.14724184716744
6654750,287.1496609626916
6654780,287.1520800466406
6654810,287.15449909880476
6654840,287.156918117983
6654870,287.15933710416175
6654900,287.16175605734134
6654930,287.1641749775219
6654960,287.16659386470434
6654990,287.1690127188888
6655020,287.1714315400759
6655050,287.1738503282659
6655080,287.17626908345943
6655110,287.17868780565686
6655140,287.1811064948585
6655170,287.183525151065
6655200,287.18594377427667
6655230,287.18836236166544
6655260,287.19078091836593
6655290,287.1931994423924
6655320,287.1956179335617
6655350,287.1980363917838
6655380,287.20045481702886
6655410,287.20287320928736
6655440,287.20529156855633
6655470,287.20770989483515
6655500,287.2101281881239
6655530,287.21254644842287
6655560,287.2149646757326
6655590,287.2173828700533
6655620,287.2198010313856
6655650,287.2222191597299
6655680,287.2246372550866
6655710,287.2270553174561
6655740,287.2294733468391
6655770,287.2318913432358
6655800,287.23430930664676
6655830,287.2367272317286
6655860,287.2391451291265
6655890,287.2415629901566
6655920,287.24398082091136
6655950,287.2463986193061
6655980,287.24881638480855
6656010,287.2512341173317
6656040,287.25365181687266
6656070,287.256069483432
6656100,287.25848711701
6656130,287.2609047176073
6656160,287.26332228522426
6656190,287.26573981986115
6656220,287.26815732151863
6656250,287.2705747901971
6656280,287.2729922258971
6656310,287.27540962861883
6656340,287.277826998363
6656370,287.2802443351299
6656400,287.28266163892005
6656430,287.2850789056283
6656460,287.2874961409256
6656490,287.2899133451776
6656520,287.2923305168618
6656550,287.29474765570717
6656580,287.29716476162366
6656610,287.2995818345817
6656640,287.30199887457155
6656670,287.3044158815904
6656700,287.3068328556375
6656730,287.3092497967129
6656760,287.3116667048171
6656790,287.31408357995036
6656820,287.31650042211317
6656850,287.31891723130593
6656880,287.3213340075292
6656910,287.3237507507833
6656940,287.3261674610687
6656970,287.32858413838585
6657000,287.33100078273526
6657030,287.3334173839533
6657060,287.3358339529306
6657090,287.3382504970907
6657120,287.3406670093703
6657150,287.34308348882007
6657180,287.34549993535
6657210,287.3479163489369
6657240,287.3503327295605
6657270,287.3527490772204
6657300,287.35516539191707
6657330,287.357581673651
6657360,287.3599979224225
6657390,287.3624141382321
6657420,287.36483032108026
6657450,287.36724647096736
6657480,287.3696625878939
6657510,287.37207867186027
6657540,287.374494722867
6657570,287.3769107409145
6657600,287.37932672600317
6657630,287.3817426683827
6657660,287.38415857869217
6657690,287.3865744635988
6657720,287.3889903168474
6657750,287.3914061371489
6657780,287.39382192449455
6657810,287.3962376788846
6657840,287.39865340031935
6657870,287.4010690887995
6657900,287.4034847371696
6657930,287.4059003542494
6657960,287.4083159420375
6657990,287.41073149809324
6658020,287.4131470216034
6658050,287.415562512297
6658080,287.4179779700843
6658110,287.4203933949355
6658140,287.4228087868411
6658170,287.42522414579804
6658200,287.4276394718058
6658230,287.4300547544603
6658260,287.43247000717366
6658290,287.4348852274784
6658320,287.43730042006877
6658350,287.4397155729035
6658380,287.44213069675567
6658410,287.44454578659094
6658440,287.44696084259414
6658470,287.44937587037015
6658500,287.45179085973365
6658530,287.4542058149258
6658560,287.456620739202
6658590,287.4590356361288
6658620,287.46145049360047
6658650,287.4638653181394
6658680,287.466280111524
6658710,287.4686948756264
6658740,287.4711096080068
6658770,287.4735243078524
6658800,287.47593897489276
6658830,287.4783536008231
6658860,287.4807681912935
6658890,287.4831827584738
6658920,287.48559729380486
6658950,287.48801179621415
6658980,287.4904262656869
6659010,287.4928407022221
6659040,287.49525510582004
6659070,287.49766947648124
6659100,287.5000838142061
6659130,287.50249811899516
6659160,287.5049123908488
6659190,287.50732662976753
6659220,287.50974083575187
6659250,287.5121550088021
6659280,287.5145691489188
6659310,287.5169832561022
6659340,287.51939733035294
6659370,287.52181137167145
6659400,287.5242253800581
6659430,287.5266393455174
6659460,287.52905327882877
6659490,287.5314671872782
6659520,287.53388106373916
6659550,287.536294907406
6659580,287.53870871818896
6659610,287.5411224960583
6659640,287.5435362410044
6659670,287.54594995302443
6659700,287.5483636321177
6659730,287.5507772782843
6659760,287.5531908915245
6659790,287.55560447183876
6659820,287.5580180192276
6659850,287.5604315336912
6659880,287.5628450152303
6659910,287.56525846384517
6659940,287.5676718795363
6659970,287.57008526230425
6660000,287.5724986121492
6660030,287.57491192483786
6660060,287.5773252079428
6660090,287.5797384588962
6660120,287.5821516770382
6660150,287.5845648592646
6660180,287.5869780031801
6660210,287.58939111025774
6660240,287.5918041956863
6660270,287.59421724904325
6660300,287.5966302696174
6660330,287.5990432573188
6660360,287.6014562121178
6660390,287.6038691340049
6660420,287.6062820229771
6660450,287.6086948790338
6660480,287.611107702175
6660510,287.61352049240094
6660540,287.6159332497123
6660570,287.6183459741094
6660600,287.6207586655926
6660630,287.6231713159446
6660660,287.62558393221695
6660690,287.62799652373866
6660720,287.6304090833681
6660750,287.6328216102213
6660780,287.63523410420845
6660810,287.6376465653001
6660840,287.64005899348643
6660870,287.6424713887646
6660900,287.64488375113405
6660930,287.64729608059474
6660960,287.649708377147
6660990,287.6521206407913
6661020,287.65453287152803
6661050,287.6569450693575
6661080,287.6593572342803
6661110,287.66176936629694
6661140,287.6641814654079
6661170,287.6665935316135
6661200,287.66900556491424
6661230,287.67141756256757
6661260,287.6738295295019
6661290,287.6762414640813
6661320,287.67865336576773
6661350,287.6810652345509
6661380,287.68347707043176
6661410,287.685888873411
6661440,287.68830064348884
6661470,287.690712380666
6661500,287.69312408494267
6661530,287.69553575631943
6661560,287.69794739479676
6661590,287.700359000375
6661620,287.7027705730547
6661650,287.7051821128362
6661680,287.7075936197201
6661710,287.71000509370674
6661740,287.71241653479655
6661770,287.71482794299
6661800,287.7172393182876
6661830,287.7196506571536
6661860,287.72206196623983
6661890,287.72447324284303
6661920,287.7268844865608
6661950,287.72929569372883
6661980,287.73170687128675
6662010,287.7341180163164
6662040,287.73652912846217
6662070,287.738940207717
6662100,287.74135125408054
6662130,287.7437622675532
6662160,287.7461732481354
6662190,287.74858419582745
6662220,287.7509951106299
6662250,287.75340599254326
6662280,287.7558168415679
6662310,287.7582276577042
6662340,287.7606384409527
6662370,287.7630491913139
6662400,287.76545990878816
6662430,287.7678705886132
6662460,287.77028124000236
6662490,287.7726918587509
6662520,287.7751024446594
6662550,287.77751299769835
6662580,287.7799235178581
6662610,287.7823340051357
6662640,287.78474445953054
6662670,287.7871548810427
6662700,287.7895652696725
6662730,287.79197562542026
6662760,287.7943859482866
6662790,287.79679623827184
6662820,287.7992064953764
6662850,287.80161671960076
6662880,287.8040269109454
6662910,287.8064370694108
6662940,287.80884719499727
6662970,287.81125728770536
6663000,287.81366734753556
6663030,287.8160773677989
6663060,287.8184873563951
6663090,287.82089731576775
6663120,287.823307243482
6663150,287.8257171387264
6663180,287.8281270012308
6663210,287.8305368309056
6663240,287.832946627721
6663270,287.8353563916676
6663300,287.8377661227423
6663330,287.84017582094464
6663360,287.8425854862745
6663390,287.84499511873236
6663420,287.84740471831856
6663450,287.8498142850335
6663480,287.85222381887775
6663510,287.8546333198517
6663540,287.8570427879557
6663570,287.8594522231903
6663600,287.86186162555595
6663630,287.86427098853994
6663660,287.8666803218844
6663690,287.86908962518726
6663720,287.8714988911244
6663750,287.87390812091286
6663780,287.8763173206322
6663810,287.8787264911261
6663840,287.8811356299599
6663870,287.8835447363278
6663900,287.8859538099633
6663930,287.88836285078884
6663960,287.8907718587638
6663990,287.89318083387616
6664020,287.89558977612444
6664050,287.89799868550983
6664080,287.90040756203314
6664110,287.90281640569515
6664140,287.90522521649615
6664170,287.90763399443676
6664200,287.91004273951734
6664230,287.9124514468497
6664260,287.91486011984836
6664290,287.9172687605652
6664320,287.91967736873414
6664350,287.92208594769636
6664380,287.92449449501817
6664410,287.92690300988886
6664440,287.9293114920383
6664470,287.93171994137685
6664500,287.93412835787495
6664530,287.93653674152284
6664560,287.93894509231785
6664590,287.94135341025924
6664620,287.9437616953471
6664650,287.9461699475817
6664680,287.94857816696356
6664710,287.9509863534929
6664740,287.9533945071704
6664770,287.9558026279964
6664800,287.9582107159713
6664830,287.9606187598699
6664860,287.9630267713383
6664890,287.96543475959584
6664920,287.96784271596863
6664950,287.97025063962775
6664980,287.9726585304836
6665010,287.9750663885066
6665040,287.97747421368706
6665070,287.9798820060222
6665100,287.9822897655114
6665130,287.9846974921546
6665160,287.98710518595226
6665190,287.9895128469047
6665220,287.9919204750123
6665250,287.9943280702757
6665280,287.9967356326951
6665310,287.9991431622711
6665340,288.0015506590042
6665370,288.0039581228947
6665400,288.00636555394306
6665430,288.0087729421024
6665460,288.0111802981719
6665490,288.0135876288725
6665520,288.0159949279491
6665550,288.01840219459143
6665580,288.0208094285295
6665610,288.0232166296737
6665640,288.02562379799434
6665670,288.028030933482
6665700,288.0304380361337
6665730,288.03284510594875
6665760,288.03525214292733
6665790,288.0376591470697
6665820,288.0400661183763
6665850,288.0424730568475
6665880,288.0448799624838
6665910,288.0472868352856
6665940,288.0496936752535
6665970,288.05210048238774
6666000,288.0545072566888
6666030,288.0569139892059
6666060,288.0593206814263
6666090,288.0617273408154
6666120,288.0641339673736
6666150,288.0665405611014
6666180,288.0689471219992
6666210,288.07135365006746
6666240,288.07376014530666
6666270,288.07616660771714
6666300,288.07857303729946
6666330,288.08097943405403
6666360,288.0833857979813
6666390,288.0857921290817
6666420,288.08819842735574
6666450,288.0906046928037
6666480,288.09301092542626
6666510,288.0954171252237
6666540,288.09782329219655
6666570,288.1002294263452
6666600,288.1026355276702
6666630,288.1050416037474
6666660,288.10744765454194
6666690,288.10985367377543
6666720,288.1122596602177
6666750,288.11466561383986
6666780,288.1170715346411
6666810,288.11947742262157
6666840,288.1218832777814
6666870,288.12428910012125
6666900,288.1266948896414
6666930,288.1291006463423
6666960,288.1315063702244
6666990,288.13391206128813
6667020,288.1363177195339
6667050,288.13872334496233
6667080,288.14112893757374
6667110,288.14353449736853
6667140,288.1459400243472
6667170,288.14834551851027
6667200,288.1507509798581
6667230,288.1531563987333
6667260,288.1555617809025
6667290,288.1579671285519
6667320,288.16037245695935
6667350,288.1627777536306
6667380,288.16518301789455
6667410,288.16758824948147
6667440,288.16999344830174
6667470,288.1723986143258
6667500,288.1748037475442
6667530,288.177208847954
6667560,288.17961391555446
6667590,288.1820189503457
6667620,288.1844239523281
6667650,288.186828921502
6667680,288.18923385786786
6667710,288.1916387614261
6667740,288.1940436321772
6667770,288.19644847012154
6667800,288.1988532752597
6667830,288.2012580390068
6667860,288.20366277160696
6667890,288.20606747650663
6667920,288.2084721498169
6667950,288.2108767907281
6667980,288.2132813989708
6668010,288.21568597445537
6668040,288.2180905171523
6668070,288.2204950270519
6668100,288.2228995041515
6668130,288.22530394845023
6668160,288.2277083599483
6668190,288.2301127386459
6668220,288.2325170845436
6668250,288.23492139764176
6668280,288.23732567794076
6668310,288.23972992544117
6668340,288.2421341401433
6668370,288.24453832204773
6668400,288.24694247115485
6668430,288.2493465759612
6668460,288.25175064833064
6668490,288.25415469757536
6668520,288.25655871548037
6668550,288.25896270060747
6668580,288.2613666482426
6668610,288.2637705595396
6668640,288.2661744298882
6668670,288.2685782783748
6668700,288.27098209771225
6668730,288.27338588547207
6668760,288.2757896408447
6668790,288.27819336356083
6668820,288.28059705353087
6668850,288.28300071072533
6668880,288.2854043351347
6668910,288.2878079267559
6668940,288.29021148558843
6668970,288.29261501163234
6669000,288.295018504888
6669030,288.29742195714914
6669060,288.299825368436
6669090,288.3022287469363
6669120,288.3046320926504
6669150,288.3070354055789
6669180,288.30943868572217
6669210,288.3118419330806
6669240,288.3142451476547
6669270,288.3166483294449
6669300,288.31905147845174
6669330,288.32145459467546
6669360,288.32385767811667
6669390,288.32626072877576
6669420,288.32866374665326
6669450,288.33106673174956
6669480,288.33346968406505
6669510,288.33587260360025
6669540,288.3382754903555
6669570,288.3406783443314
6669600,288.3430811655283
6669630,288.3454839618227
6669660,288.3478867174629
6669690,288.3502894512513
6669720,288.3526921559041
6669750,288.3550948289938
6669780,288.3574974697114
6669810,288.3599000777876
6669840,288.3623026531329
6669870,288.3647051957178
6669900,288.36710770553276
6669930,288.3695101825749
6669960,288.37191262684354
6669990,288.3743150383387
6670020,288.37671741706083
6670050,288.37911976301024
6670080,288.3815220761874
6670110,288.3839243565928
6670140,288.38632660422667
6670170,288.38872881908975
6670200,288.3911310011823
6670230,288.39353314007417
6670260,288.3959352468113
6670290,288.39833732877486
6670320,288.4007393791834
6670350,288.4031413972283
6670380,288.40554338264025
6670410,288.4079453353298
6670440,288.4103472552675
6670470,288.41274914244366
6670500,288.4151509968555
6670530,288.4175528185023
6670560,288.4199546073842
6670590,288.42235636350154
6670620,288.4247580868547
6670650,288.427159777444
6670680,288.42956143527005
6670710,288.43196306033315
6670740,288.43436465263386
6670770,288.4367662121726
6670800,288.4391677389497
6670830,288.44156922939834
6670860,288.44397069011796
6670890,288.4463721184662
6670920,288.44877350484046
6670950,288.45117486448316
6670980,288.45357619409407
6671010,288.455977491351
6671040,288.45837875598477
6671070,288.460779987906
6671100,288.46318118708507
6671130,288.4655823535126
6671160,288.4679834871856
6671190,288.4703845881034
6671220,288.4727856562661
6671250,288.475186691674
6671280,288.47758769432767
6671310,288.4799886642272
6671340,288.4823896013734
6671370,288.4847905057665
6671400,288.487191377407
6671430,288.4895922097297
6671460,288.4919930108232
6671490,288.49439377546366
6671520,288.4967945144755
6671550,288.4991952217535
6671580,288.5015958966859
6671610,288.50399653900365
6671640,288.5063971486173
6671670,288.5087977254973
6671700,288.5111982696342
6671730,288.51359878102505
6671760,288.5159992596692
6671790,288.5183997055667
6671820,288.520800118718
6671850,288.5232004991234
6671880,288.52560084678333
6671910,288.5280011616983
6671940,288.5304014438687
6671970,288.53280169329497
6672000,288.53520190997756
6672030,288.5376020881594
6672060,288.5400022302118
6672090,288.5424023461113
6672120,288.5448024312176
6672150,288.5472024839867
6672180,288.54960250414956
6672210,288.5520024916168
6672240,288.5544024463589
6672270,288.5568023683664
6672300,288.5592022576363
6672330,288.561602114168
6672360,288.5640019379616
6672390,288.5664017290174
6672420,288.5688014873358
6672450,288.57120121291723
6672480,288.57360090576225
6672510,288.5760005658711
6672540,288.5784001932443
6672570,288.5807997878823
6672600,288.5831993497857
6672630,288.5855988699151
6672660,288.58799834998365
6672690,288.5903977973193
6672720,288.5927972119225
6672750,288.5951965937936
6672780,288.59759594293314
6672810,288.5999952593415
6672840,288.6023945430191
6672870,288.60479379396645
6672900,288.607193012184
6672930,288.60959219767216
6672960,288.6119913504314
6672990,288.6143904704621
6673020,288.6167895577649
6673050,288.61918861234
6673080,288.621587634188
6673110,288.62398662330924
6673140,288.6263855797043
6673170,288.62878450337354
6673200,288.6311833943174
6673230,288.6335822603431
6673260,288.63598108583744
6673290,288.6383798895157
6673320,288.6407786641061
6673350,288.643177407185
6673380,288.6455761179447
6673410,288.64797479611656
6673440,288.65037344161095
6673470,288.65277205439855
6673500,288.65517063446975
6673530,288.65756918182177
6673560,288.6599676964539
6673590,288.66236617836626
6673620,288.66476462755907
6673650,288.66716304403275
6673680,288.66956142778787
6673710,288.6719597788247
6673740,288.67435809714374
6673770,288.6767563827456
6673800,288.6791546356305
6673830,288.6815528473822
6673860,288.6839510264042
6673890,288.6863491727107
6673920,288.68874728630254
6673950,288.6911453671798
6673980,288.6935434153432
6674010,288.69594143079297
6674040,288.69833941352977
6674070,288.70073736355386
6674100,288.70313528086587
6674130,288.7055331654657
6674160,288.7079310173544
6674190,288.7103288365321
6674220,288.7127266229995
6674250,288.71512437675693
6674280,288.7175220978049
6674310,288.71991978614363
6674340,288.72231744177395
6674370,288.724715064696
6674400,288.7271126571507
6674430,292.6523790846465
6674460,300.84357512739496
6674490,307.6904494807329
6674520,311.5445212516574
6674550,313.5739710359081
6674580,314.74398224676366
6674610,315.5397358620013
6674640,316.1054660120177
6674670,316.5212065120787
6674700,316.8359625528995
6674730,317.0802056740257
6674760,317.27343672120037
6674790,317.42855921142683
6674820,317.5544132096358
6674850,317.6573288832958
6674880,317.7419879689861
6674910,317.8118392066365
6674940,317.8696446380409
6674970,317.917566727646
6675000,317.95730338284307
6675030,317.9903038426411
6675060,318.01781802764873
6675090,318.04067783146644
6675120,318.05971728842735
6675150,318.0755364224655
6675180,318.0886932959726
6675210,318.0996394296352
6675240,318.1087531499502
6675270,318.1163332810715
6675300,318.12263518835215
6675330,318.12788198057905
6675360,318.13225534839046
6675390,318.13590040474253
6675420,318.1389358285673
6675450,318.14146164146234
6675480,318.14356287987425
6675510,318.14531121091943
6675540,318.14676628524535
6675570,318.1479774417062
6675600,318.1489855318387
6675630,318.14982182325275
6675660,318.1505216003432
6675690,318.1511040348439
6675720,318.1515871765985
6675750,318.151989340626
6675780,318.15232411593814
6675810,318.15260275610495
6675840,318.15283471827314
6675870,318.1530277486196
6675900,318.1531884606305
6675930,318.1533221947105
6675960,318.15343354139225
6675990,318.1535261883225
6676020,318.1536033352141
6676050,318.153667514381
6676080,318.1537209672045
6676110,318.15377294126745
6676140,318.15384405989147
6676170,318.1539539244688
6676200,318.15411138718616
6676230,318.15431563086327
6676260,318.15455208567664
6676290,318.15481330397324
6676320,318.1550919098127
6676350,318.1553820906291
6676380,318.1556792966134
6676410,318.15598107225594
6676440,318.1562856022219
6676470,318.1565917375755
6676500,318.1568987450232
6676530,318.1572061568148
6676560,318.1575139571241
6676590,318.15782195394075
6676620,318.1581299590258
6676650,318.15843798125377
6676680,318.15874598292254
6676710,318.1590539584372
6676740,318.1593619160316
6676770,318.1596698648723
6676800,318.15997780848545
6676830,318.1602857457748
6676860,318.16059367781247
