time,hvac_reaAhu_TMix_y
6652800,292.33634649188474
6652830,292.33634650932964
6652860,292.3363479728625
6652890,292.33634788075034
6652920,292.33634590137825
6652950,292.3363428607722
6652980,292.33634172091337
6653010,292.3363410669785
6653040,292.3363405427571
6653070,292.3363400571599
6653100,292.3363395855039
6653130,292.33633912557224
6653160,292.3363386828201
6653190,292.336338263927
6653220,292.33633787498223
6653250,292.3363375206984
6653280,292.33633720445977
6653310,292.3363369281347
6653340,292.33633669228357
6653370,292.3363364964555
6653400,292.3363363389751
6653430,292.3363362173367
6653460,292.3363361283073
6653490,292.33633606801243
6653520,292.33632876135437
6653550,292.3363236140549
6653580,292.33632190228604
6653610,292.3363303204384
6653640,292.33634792670694
6653670,292.33637336296766
6653700,292.3364063894871
6653730,292.33644685635505
6653760,292.3364945015905
6653790,292.3365490639758
6653820,292.3366102720496
6653850,292.33667781528374
6653880,292.33675132892216
6653910,292.33683037855815
6653940,292.3369144398854
6653970,292.33700287774246
6654000,292.3370949194752
6654030,292.3371896256647
6654060,292.3372858566834
6654090,292.3373822343088
6654120,292.33747709794454
6654150,292.3375684598751
6654180,292.3375787697111
6654210,292.33758108172736
6654240,292.33758484199575
6654270,292.33760062023725
6654300,292.33760591133705
6654330,292.3376042202681
6654360,292.33760323423616
6654390,292.3376017958029
6654420,292.33760127044934
6654450,292.3376010140201
6654480,292.3376007007967
6654510,292.33760004025174
6654540,292.3375997640263
6654570,292.3375995652494
6654600,292.3375992332951
6654630,292.33759906104376
6654660,292.3375989191812
6654690,292.33759874221795
6654720,292.3375984889134
6654750,292.3375972795748
6654780,292.33759702949817
6654810,292.33759679701006
6654840,292.33759784630837
6654870,292.33759105902755
6654900,292.33758892225785
6654930,292.33758815589863
6654960,292.3375877901086
6654990,292.33758741033324
6655020,292.3375868482514
6655050,292.3375860775534
6655080,292.33758516771707
6655110,292.33758424804296
6655140,292.33758347415477
6655170,292.3375829995231
6655200,292.33759528068936
6655230,292.3375995155374
6655260,292.3375992691364
6655290,292.33760813401244
6655320,292.337612548393
6655350,292.3376132746485
6655380,292.33761376991197
6655410,292.3376146782579
6655440,292.33761902763456
6655470,292.3376268644258
6655500,292.33764794507186
6655530,292.3376690587929
6655560,292.33767606424226
6655590,292.3376733309006
6655620,292.337672613114
6655650,292.3376792511473
6655680,292.33767935946446
6655710,292.33768012520676
6655740,292.3376845938444
6655770,292.3376867185478
6655800,292.33768944819695
6655830,292.3376907955229
6655860,292.3376947900705
6655890,292.3376979666698
6655920,292.33770010653365
6655950,292.33769578756136
6655980,292.337695237659
6656010,292.3376972852419
6656040,292.3376979350544
6656070,292.3376950869668
6656100,292.33769414390036
6656130,292.33770480116345
6656160,292.3377083540505
6656190,292.3377145871519
6656220,292.3377189096374
6656250,292.33771943051164
6656280,292.3377159027075
6656310,292.33770840755074
6656340,292.3376971106638
6656370,292.3376822122542
6656400,292.33766391451843
6656430,292.33765779436567
6656460,292.3376557335402
6656490,292.3376608584253
6656520,292.33766256893966
6656550,292.33766314072795
6656580,292.3376633324283
6656610,292.33766339702737
6656640,292.3376634186982
6656670,292.33766342566116
6656700,292.3376634270731
6656730,292.3376634260244
6656760,292.33766342347036
6656790,292.3376634196967
6656820,292.33766341485773
6656850,292.33766340895494
6656880,292.33766340190596
6656910,292.337663393662
6656940,292.3376633842466
6656970,292.3376633736498
6657000,292.3376633619174
6657030,292.3376633492077
6657060,292.33766333547885
6657090,292.3376633208021
6657120,292.33766330522093
6657150,292.3376632889655
6657180,292.3376632720262
6657210,292.3376632545482
6657240,292.3376632366987
6657270,292.33766321865016
6657300,292.33766319817954
6657330,292.3376631764356
6657360,292.337663153835
6657390,292.33766313077314
6657420,292.33766310745114
6657450,292.33766308394667
6657480,292.3376630605993
6657510,292.33766303776594
6657540,292.3376630156592
6657570,292.3376629946284
6657600,292.33766297486534
6657630,292.33766295670455
6657660,292.33766294051355
6657690,292.33766292663864
6657720,292.337662915519
6657750,292.33766290739055
6657780,292.33766290277146
6657810,292.3376629019182
6657840,292.33766290542536
6657870,292.3376629136777
6657900,292.337662926923
6657930,292.3376629457064
6657960,292.3376629705858
6657990,292.33766300195526
6658020,292.33766304013994
