time,hvac_reaAhu_TRet_y
6652800,293.64767700937216
6652830,293.64767704335685
6652860,293.647678848176
6652890,293.6476787369719
6652920,293.647676303123
6652950,293.6476725621854
6652980,293.6476711510893
6653010,293.6476703326468
6653040,293.64766966975316
6653070,293.6476690506758
6653100,293.6476684452721
6653130,293.64766785098266
6653160,293.6476672746218
6653190,293.64766672451316
6653220,293.64766620823764
6653250,293.6476657316891
6653280,293.6476652990418
6653310,293.6476649126976
6653340,293.6476645737265
6653370,293.64766428182185
6653400,293.64766403510697
6653430,293.64766383060953
6653460,293.6476636643914
6653490,293.64766353172485
6653520,293.6476544983455
6653550,293.64764811540135
6653580,293.6476459497296
6653610,293.6476562229737
6653640,293.64767777839756
6653670,293.64770894821356
6653700,293.64774943794407
6653730,293.6477990634572
6653760,293.6478575032163
6653790,293.6479244362587
6653820,293.647999529255
6653850,293.64808240093845
6653880,293.64817260337264
6653910,293.64826960299837
6653940,293.6483727560129
6653970,293.6484812823823
6654000,293.64859423321474
6654030,293.6487104549385
6654060,293.6488285478858
6654090,293.6489468195341
6654120,293.6490632306065
6654150,293.6491753400083
6654180,293.64918790947905
6654210,293.6491906561845
6654240,293.6491951797767
6654270,293.6492144596403
6654300,293.649220860908
6654330,293.649218686714
6654360,293.649217377571
6654390,293.6492155119388
6654420,293.6492147664334
6654450,293.64921435004175
6654480,293.6492138627019
6654510,293.64921294751804
6654540,293.64921250289444
6654570,293.64921215184125
6654600,293.6492116355846
6654630,293.64921131364366
6654660,293.64921102701555
6654690,293.6492106950775
6654720,293.6492102668903
6654750,293.6492086671764
6654780,293.6492082381717
6654810,293.64920782729746
6654840,293.6492089984114
6654870,293.6492005309306
6654900,293.6491977715995
6654930,293.6491966922859
6654960,293.64919610184694
6654990,293.64919549120066
6655020,293.6491946538122
6655050,293.64919355752636
6655080,293.6491922879328
6655110,293.6491910040513
6655140,293.64918989731865
6655170,293.6491891565085
6655200,293.6492040828379
6655230,293.6492091241961
6655260,293.64920863529414
6655290,293.64921936351465
6655320,293.64922462417763
6655350,293.6492253529552
6655380,293.6492257980591
6655410,293.64922675048047
6655440,293.6492319302991
6655470,293.6492413953263
6655500,293.6492671317314
6655530,293.64929290921503
6655560,293.6493013539622
6655590,293.6492978341496
6655620,293.649296791803
6655650,293.6493047856761
6655680,293.64930475900553
6655710,293.6493055407578
6655740,293.64931087150956
6655770,293.6493133250044
6655800,293.6493165179006
6655830,293.6493180174809
6655860,293.6493227708394
6655890,293.6493265211495
6655920,293.64932899878374
6655950,293.6493235406137
6655980,293.6493227159029
6656010,293.6493250840418
6656040,293.64932573595377
6656070,293.649322086607
6656100,293.6493207825438
6656130,293.6493337346657
