time,hvac_reaAhu_V_flow_ret_y
6652800,-2.9012814421834504e-07
6652830,-3.0839368908297695e-07
6652860,-3.364917599248521e-07
6652890,-3.596803040577331e-07
6652920,-3.8184156576093273e-07
6652950,-4.0330570345633975e-07
6652980,-4.242559365658735e-07
6653010,-4.44413836144049e-07
6653040,-4.6400693285255547e-07
6653070,-4.831199700020571e-07
6653100,-5.018210189458577e-07
6653130,-5.201529934188839e-07
6653160,-5.381649750414929e-07
6653190,-5.55900424392133e-07
6653220,-5.734060378780206e-07
6653250,-5.907244325142793e-07
6653280,-6.078980456200215e-07
6653310,-6.249478485823805e-07
6653340,-6.419268860929656e-07
6653370,-6.588586633315137e-07
6653400,-6.757743734027922e-07
6653430,-6.927143684777211e-07
6653460,-7.096915515109868e-07
6653490,-7.267575283116018e-07
6653520,-7.439233767864768e-07
6653550,-7.612211485612322e-07
6653580,-7.786789196911503e-07
6653610,-7.963314204174957e-07
6653640,-8.141890566425199e-07
6653670,-8.32285948258407e-07
6653700,-8.506490310534322e-07
6653730,-8.692925730749367e-07
6653760,-8.882519340744886e-07
6653790,-9.075513213518013e-07
6653820,-9.272031416406723e-07
6653850,-9.472350103483175e-07
6653880,-9.6766588140897e-07
6653910,-9.885095526668892e-07
6653940,-1.0097923950629266e-06
6653970,-1.0315255877784768e-06
6654000,-1.0537121522244326e-06
6654030,-1.076370038223701e-06
6654060,-1.0995023685363967e-06
6654090,-1.123102357761926e-06
6654120,-1.1471687350168212e-06
6654150,-1.1716763928303922e-06
6654180,-1.196694964405475e-06
6654210,-1.2219920378509057e-06
6654240,-1.2476243247404979e-06
6654270,-1.2735285633946345e-06
6654300,-1.2996469610138424e-06
6654330,-1.3258803172935714e-06
6654360,-1.3520897749897297e-06
6654390,-1.378129641594421e-06
6654420,-1.4038433134122184e-06
6654450,-1.429040074410178e-06
6654480,-1.4535083357396696e-06
6654510,-1.4770106399476873e-06
6654540,-1.4992910730814466e-06
6654570,-1.5200916874140482e-06
6654600,-1.539142412351913e-06
6654630,-1.5561731021039418e-06
6654660,-1.5709513633157008e-06
6654690,-1.5832495063539996e-06
6654720,-1.5920500804917225e-06
6654750,-1.599061482125347e-06
6654780,-1.6031039599779497e-06
6654810,-1.6045420505058598e-06
6654840,-1.6026405171524143e-06
6654870,-1.5985196346527472e-06
6654900,-1.5926191674902652e-06
6654930,-1.583939900945704e-06
6654960,-1.5732039941010584e-06
6654990,-1.5608060430045278e-06
6655020,-1.5470432192477886e-06
6655050,-1.5321955397236062e-06
6655080,-1.5165124911800592e-06
6655110,-1.5002471004682436e-06
