time,hvac_reaZonCor_TZon_y
6652800,294.1949488604341
6652830,294.19444602122866
6652860,294.1939507252416
6652890,294.1934636870961
6652920,294.1929853086913
6652950,294.19251561845545
6652980,294.19205453812015
6653010,294.1916019923074
6653040,294.19115788483947
6653070,294.19072210044516
6653100,294.19029450658525
6653130,294.1898749540946
6653160,294.1894632790391
6653190,294.1890593040989
6653220,294.1886628381007
6653250,294.18827367944914
6653280,294.18789161337844
6653310,294.18751636852477
6653340,294.1871476402587
6653370,294.18678511130906
6653400,294.1864284595566
6653430,294.18607736142576
6653460,294.1857314937654
6653490,294.1853905352068
6653520,294.1850541528356
6653550,294.18472205248094
6653580,294.18439392594905
6653610,294.1840694857227
6653640,294.18374843205436
6653670,294.18343047284185
6653700,294.1831153276735
6653730,294.1828027263631
6653760,294.18249240940366
6653790,294.18218412910414
6653820,294.18187765045957
6653850,294.1815727519808
6653880,294.1812692265619
6653910,294.1809668823586
6653940,294.1806655436748
6653970,294.1803650518669
6654000,294.1800652662654
6654030,294.17976606512536
6654060,294.1794673466038
6654090,294.17916902977544
6654120,294.1788710556816
6654150,294.1785733884293
6654180,294.1782758516446
6654210,294.1779786270224
6654240,294.1776817851543
6654270,294.1773854362925
6654300,294.1770896299043
6654330,294.176794507551
6654360,294.17650025477616
6654390,294.17620707171363
6654420,294.17591519895404
6654450,294.17562490889526
6654480,294.1753365111361
6654510,294.1750503520466
6654540,294.1747668163639
6654570,294.17448632167446
6654600,294.1742093188637
6654630,294.1739362899988
6654660,294.1736677422822
6654690,294.1734042038587
6654720,294.17314568262583
6654750,294.17289139475025
6654780,294.1726400400224
6654810,294.1723903047803
6654840,294.17214149630803
6654870,294.17189236713625
6654900,294.1716419618253
6654930,294.1713896939805
6654960,294.17113502029474
6654990,294.1708774619649
6655020,294.17061662288154
6655050,294.1703521896659
6655080,294.170083925243
6655110,294.169811660546
6655140,294.16953528604637
6655170,294.16925474372835
6655200,294.168970043835
6655230,294.1686811522496
6655260,294.1683881324151
6655290,294.1680910974195
6655320,294.1677901208808
6655350,294.16748534059474
6655380,294.1671769101449
6655410,294.16686493866746
6655440,294.16654960768494
6655470,294.16623108797035
6655500,294.1659095556163
6655530,294.16558514418904
6655560,294.1652580179825
6655590,294.1649279588823
6655620,294.1645957675021
6655650,294.1642614698442
6655680,294.1639250776212
6655710,294.1635867696449
6655740,294.1632466935352
6655770,294.16290497282193
6655800,294.1625617596566
6655830,294.1622171719066
6655860,294.1618713543098
6655890,294.1615244156306
6655920,294.16117648251605
6655950,294.16082763540624
6655980,294.1604780193124
6656010,294.16012773977167
6656040,294.15977689190333
6656070,294.15942553747584
6656100,294.15907380697564
6656130,294.15872179383206
6656160,294.1583695355107
6656190,294.15801713024103
6656220,294.15766464229256
6656250,294.15731213907895
6656280,294.1569596886357
6656310,294.1566073567943
6656340,294.15625520677673
6656370,294.15590329924567
6656400,294.1555516923978
6656430,294.15520050545763
6656460,294.1548498021923
6656490,294.1544996319826
6656520,294.1541500089409
6656550,294.1538009719303
6656580,294.1534525522275
6656610,294.15310477776165
6656640,294.15275767291314
6656670,294.152411258492
6656700,294.15206555181965
6656730,294.1517205668811
6656760,294.15137631452694
6656790,294.15103280263315
6656820,294.1506900360852
6656850,294.15034801767604
6656880,294.15000674816133
6656910,294.1496662264444
6656940,294.1493264497946
6656970,294.1489874140694
6657000,294.1486491139272
6657030,294.14831154302624
6657060,294.14797469420836
6657090,294.14763855966646
6657120,294.14730313109646
6657150,294.1469683998341
6657180,294.14663435697605
6657210,294.14630099348756
6657240,294.1459683002976
6657270,294.14563626838066
6657300,294.1453048888226
6657330,294.1449741528941
6657360,294.1446440520925
6657390,294.1443145781853
6657420,294.1439857232449
6657450,294.14365747967605
6657480,294.1433298402371
6657510,294.1430027980546
6657540,294.1426763466351
6657570,294.14235047986966
6657600,294.1420251920363
6657630,294.14170047779857
6657660,294.1413763322008
6657690,294.1410527506613
6657720,294.14072972896264
6657750,294.1404072632411
6657780,294.1400853499732
6657810,294.1397639859624
6657840,294.13944316832374
6657870,294.13912289446796
6657900,294.1388031620851
6657930,294.1384839691275
6657960,294.13816531379257
6657990,294.1378471945055
6658020,294.13752960990143
6658050,294.13721255880864
6658080,294.13689604023125
6658110,294.13658005333224
6658140,294.1362645974167
6658170,294.13594967191625
6658200,294.1356352763725
6658230,294.1353214104225
6658260,294.13500807378375
6658290,294.13469526624004
6658320,294.1343829876282
6658350,294.13407123782497
6658380,294.1337600167353
6658410,294.1334493242804
6658440,294.1331391603866
6658470,294.1328295249758
6658500,294.1325204179561
6658530,294.13221183921223
6658560,294.1319037885989
6658590,294.1315962659328
6658620,294.1312892709861
6658650,294.1309828034811
6658680,294.13067686308466
6658710,294.13037144940506
6658740,294.13006656198803
6658770,294.12976220031413
6658800,294.1294583637971
6658830,294.129155051783
6658860,294.1288522635501
6658890,294.1285499983093
6658920,294.1282482552062
6658950,294.1279470333235
6658980,294.12764633168433
6659010,294.12734614925694
6659040,294.1270464849596
6659070,294.12674733766744
6659100,294.12644870545023
6659130,294.12615058765346
6659160,294.1258529832633
6659190,294.1255558911343
6659220,294.1252593100846
6659250,294.12496323893896
6659280,294.1246676765528
6659310,294.12437262183295
6659340,294.1240780737575
6659370,294.12378403139627
6659400,294.1234904939341
6659430,294.1231974606952
6659460,294.12290493117104
6659490,294.1226129050497
6659520,294.12232138224823
6659550,294.12203036294835
6659580,294.1217398476359
6659610,294.12144986057274
6659640,294.12116036278104
6659670,294.1208713839391
6659700,294.1205829006686
6659730,294.12029492525846
6659760,294.1200074637825
6659790,294.1197205159816
6659820,294.1194340852777
6659850,294.1191481760456
6659880,294.11886279441404
6659910,294.1185779475146
6659940,294.1182936436957
6659970,294.11800988333636
6660000,294.1177266508936
6660030,294.1174435473992
6660060,294.1171599219695
6660090,294.1168757252322
6660120,294.11659083881204
6660150,294.11630520014893
6660180,294.1160184980942
6660210,294.11573068592617
6660240,294.1154415375909
6660270,294.11515088420265
6660300,294.1148585608298
6660330,294.1145643657965
6660360,294.1142680889947
6660390,294.1139695086679
6660420,294.11366844399726
6660450,294.11336486119274
6660480,294.1130586079682
6660510,294.11274953201155
6660540,294.11243755644136
6660570,294.1121226072994
6660600,294.11180467874567
6660630,294.1114837431896
6660660,294.1111598161743
6660690,294.11083292596066
6660720,294.1105031634072
6660750,294.11016953348116
6660780,294.1098338877081
6660810,294.1094960018542
6660840,294.1091557012782
6660870,294.10881304568306
6660900,294.10846810533116
6660930,294.108120917351
6660960,294.1077714726643
6660990,294.10741970602095
6661020,294.1070654964145
6661050,294.10670842974423
6661080,294.1063475428086
6661110,294.10598153937707
6661140,294.10560911915695
6661170,294.1052286582005
6661200,294.1048386407777
6661230,294.1044374238106
6661260,294.1040230563583
6661290,294.10359361071545
6661320,294.1031473555693
6661350,294.1026825021612
6661380,294.10219745031594
6661410,294.10169078621533
6661440,294.10116110067105
6661470,294.10060738046104
6661500,294.1000289031912
6661530,294.09942506107313
6661560,294.09879549179266
6661590,294.0981400359127
6661620,294.09745876234933
6661650,294.096751985369
6661680,294.0960201372479
6661710,294.09526382869376
6661740,294.0944837097246
6661770,294.0936806243852
6661800,294.0928555417353
6661830,294.09200753814076
6661860,294.0911412018542
6661890,294.0902562066396
6661920,294.08935322453465
6661950,294.08843335164585
6661980,294.08749764206027
6662010,294.0865471375068
6662040,294.0855829509644
6662070,294.0846060120114
6662100,294.08361724521393
6662130,294.0826175730407
6662160,294.0816078943694
6662190,294.080589070064
6662220,294.07956192321217
6662250,294.0785272487258
6662280,294.0774858164505
6662310,294.0764383721752
6662340,294.0753856387153
6662370,294.0743283172635
6662400,294.0732670888468
6662430,294.07220261578664
6662460,294.07113554311127
6662490,294.07006649989444
6662520,294.06899610050596
6662550,294.06792494576547
6662580,294.0668536239985
6662610,294.06578271199385
6662640,294.06471277586826
6662670,294.063644371841
6662700,294.06257804692586
6662730,294.06151433954614
6662760,294.0604537800795
6662790,294.05939689133885
6662820,294.0583441889951
6662850,294.05729618194835
6662880,294.0562533726522
6662910,294.05521625739647
6662940,294.0541853265533
6662970,294.05316106478966
6663000,294.0521439512512
6663030,294.0511344597197
6663060,294.05013305874843
6663090,294.04914021177626
6663120,294.0481563772248
6663150,294.04718200857894
6663180,294.0462175544534
6663210,294.04526345864775
6663240,294.044320159219
6663270,294.04338809016315
6663300,294.0424676809988
6663330,294.04155935662106
6663360,294.04066354538185
6663390,294.03978065707526
6663420,294.03891110029656
6663450,294.03805528044177
6663480,294.03721359868763
6663510,294.03638645166353
6663540,294.03557423132463
6663570,294.03477732489347
6663600,294.03399611482206
6663630,294.0332305777592
6663660,294.03248045057427
6663690,294.0317456428803
6663720,294.03102600096895
6663750,294.0303212411923
6663780,294.0296309748591
6663810,294.0289547281813
6663840,294.0282920103617
6663870,294.02764229828404
6663900,294.02700506042993
6663930,294.02637976747184
6663960,294.02576589996653
6663990,294.0251629539777
6664020,294.0245704447941
6664050,294.02398790898377
6664080,294.0234149058453
6664110,294.02285101789926
6664140,294.0222958507126
6664170,294.021749032384
6664200,294.02121021278487
6664230,294.0206790626282
6664260,294.02015527243594
6664290,294.0196385514494
6664320,294.01912862594116
