time,hvac_reaZonEas_TZon_y
6652800,293.7965298936915
6652830,293.7957303091706
6652860,293.79493560327774
6652890,293.7941460792564
6652920,293.79336187950423
6652950,293.79258292056426
6652980,293.7918090426455
6653010,293.7910401464524
6653040,293.7902761315103
6653070,293.7895168993315
6653100,293.7887623535382
6653130,293.7880123976014
6653160,293.7872669341122
6653190,293.7865258633541
6653220,293.7857890816791
6653250,293.7850564805904
6653280,293.7843279460882
6653310,293.7836033562806
6653340,293.78288257989203
6653370,293.78216547617114
6653400,293.78145189562633
6653430,293.7807416811303
6653460,293.780034669143
6653490,293.77933069093683
6653520,293.77862955355334
6653550,293.7779311095806
6653580,293.77723518410426
6653610,293.77654161684745
6653640,293.7758502239776
6653670,293.7751608218378
6653700,293.77447323210214
6653730,293.7737872792754
6653760,293.773102790728
6653790,293.7724195976203
6653820,293.7717375354349
6653850,293.77105644443077
6653880,293.770376170126
6653910,293.76969656377173
6653940,293.7690174828107
6653970,293.7683387913331
6654000,293.7676603605288
6654030,293.76698206914915
6654060,293.7663038039774
6654090,293.76562546032375
6654120,293.7649469425395
6654150,293.7642681645768
6654180,293.7635888531627
6654210,293.7629091571082
6654240,293.7622290570406
6654270,293.76154854398675
6654300,293.7608675373827
6654330,293.7601860450843
6654360,293.7595041015814
6654390,293.75882173208174
6654420,293.75813898725687
6654450,293.75745593168466
6654480,293.7567726516762
6654510,293.75608925539365
6654540,293.7554058762264
6654570,293.7547226672561
6654600,293.7540398046487
6654630,293.7533574883376
6654660,293.75267593836094
6654690,293.75199539471294
6654720,293.75131606044357
6654750,293.7506381578572
6654780,293.74996179035384
6654810,293.74928693104584
6654840,293.7486135724416
6654870,293.74794153893595
6654900,293.74727064011483
6654930,293.74660070018183
6654960,293.74593152565484
6654990,293.74526290943805
6655020,293.74459464257677
6655050,293.7439265218975
6655080,293.74325835534427
6655110,293.74258996586116
6655140,293.7419211941574
6655170,293.74125190054326
6655200,293.74058200025104
6655230,293.73991135375667
6655260,293.7392398641713
6655290,293.73856751535874
6655320,293.737894231163
6655350,293.7372199983204
6655380,293.73654483203995
6655410,293.7358687403607
6655440,293.7351917633834
6655470,293.73451394618667
6655500,293.7338353639198
6655530,293.73315603634626
6655560,293.73247600823714
6655590,293.7317952137661
6655620,293.73111399581705
6655650,293.73043240805123
6655680,293.7297504481626
6655710,293.7290682339369
6655740,293.7283858585399
6655770,293.727703388771
6655800,293.7270209279561
6655830,293.7263385511018
6655860,293.7256563629008
6655890,293.7249744339078
6655920,293.7242928545725
6655950,293.72361167634233
6655980,293.7229310203977
6656010,293.7222509635234
6656040,293.72157157301274
6656070,293.72089289387236
6656100,293.72021503467545
6656130,293.7195380791564
6656160,293.71886203442324
6656190,293.71818699059895
6656220,293.7175129940238
6656250,293.7168400974983
6656280,293.7161683566381
6656310,293.7154978258028
6656340,293.71482855737156
6656370,293.7141606016698
6656400,293.7134940069697
6656430,293.7128288330147
6656460,293.712164985588
6656490,293.7115023389739
6656520,293.71084071547017
6656550,293.710179975354
6656580,293.70951997715065
6656610,293.70886058264836
6656640,293.7082016592622
6656670,293.70754308125873
6656700,293.70688473042145
6656730,293.7062264963944
6656760,293.70556827681554
6656790,293.70490997719827
6656820,293.7042515104395
6656850,293.7035927975114
6656880,293.7029337668978
6656910,293.702274354192
6656940,293.70161450173754
6656970,293.70095415828484
6657000,293.7002932786526
6657030,293.69963182339785
