time,hvac_reaZonEas_V_flow_y
6652800,-2.989501616579184e-08
6652830,-2.7254134902516898e-08
6652860,-2.3356883104496103e-08
6652890,-2.0124047747751548e-08
6652920,-1.7048003769482114e-08
6652950,-1.4084538546852044e-08
6652980,-1.1209089472003804e-08
6653010,-8.45768141120724e-09
6653040,-5.799201784404992e-09
6653070,-3.222597386090281e-09
6653100,-7.180431443777946e-10
6653130,1.7193735089094835e-09
6653160,4.098658882010831e-09
6653190,6.424725531211073e-09
6653220,8.704532881474107e-09
6653250,1.0942993480855582e-08
6653280,1.3145838623688557e-08
6653310,1.5317980852686742e-08
6653340,1.746474208347662e-08
6653370,1.9588578607770577e-08
6653400,2.169644983792351e-08
6653430,2.3792040188708642e-08
6653460,2.5877396575981036e-08
6653490,2.7959069038163273e-08
6653520,3.003910449248223e-08
6653550,3.2121187356215216e-08
6653580,3.420859267346695e-08
6653610,3.630623298978345e-08
6653640,3.841615522891086e-08
6653670,4.054245319162922e-08
6653700,4.268676443169698e-08
6653730,4.4853592131032054e-08
6653760,4.7044983224830086e-08
6653790,4.926503152761009e-08
6653820,5.151496523173528e-08
6653850,5.379805940961771e-08
6653880,5.611636101237465e-08
6653910,5.847355449741676e-08
6653940,6.086882119701969e-08
6653970,6.330584557809451e-08
6654000,6.578503710828276e-08
6654030,6.830844276232163e-08
6654060,7.087401576163897e-08
6654090,7.348380308908968e-08
6654120,7.613412046808819e-08
6654150,7.88237398787092e-08
6654180,8.156003020218181e-08
6654210,8.431351646250093e-08
6654240,8.709074877832425e-08
6654270,8.988435847319568e-08
6654300,9.26853393539432e-08
6654330,9.548100082379213e-08
6654360,9.82545584964086e-08
6654390,1.0098677169503122e-07
6654420,1.0365758095453036e-07
6654450,1.0624201424267308e-07
6654480,1.0871387134556026e-07
6654510,1.1104367697341684e-07
6654540,1.131974526179133e-07
6654570,1.1514531347674008e-07
6654600,1.1685205276334605e-07
6654630,1.182853292600566e-07
6654660,1.194160767019693e-07
6654690,1.2021809440667576e-07
6654720,1.2055997131716743e-07
6654750,1.2066850262795812e-07
6654780,1.2039058018626278e-07
6654810,1.1977778517225489e-07
6654840,1.1873677858823363e-07
6654870,1.1741575517996542e-07
6654900,1.1587366518800948e-07
6654930,1.1398319118656034e-07
6654960,1.1184012763061576e-07
6654990,1.0949769362145151e-07
6655020,1.0699559881953599e-07
6655050,1.0437109668514202e-07
6655080,1.0165775632816454e-07
6655110,9.88891469218527e-08
6655140,9.609269698708104e-08
6655170,9.329215066244737e-08
6655200,9.05096145982503e-08
6655230,8.777415495229871e-08
6655260,8.508126866175665e-08
6655290,8.245101553277332e-08
6655320,7.987152364468161e-08
6655350,7.736981229773034e-08
6655380,7.494301596104386e-08
6655410,7.259645672771632e-08
6655440,7.032030956684958e-08
6655470,6.811744026815002e-08
6655500,6.598989585325873e-08
6655530,6.393726704834494e-08
6655560,6.193580979997564e-08
6655590,6.021805319520443e-08
6655620,5.8172380547169045e-08
6655650,5.637151741609352e-08
6655680,5.462018863368068e-08
6655710,5.2919622411476766e-08
6655740,5.1263678075540296e-08
6655770,4.965440259331556e-08
6655800,4.807828639649548e-08
6655830,4.6542698415329184e-08
6655860,4.5032900922754415e-08
6655890,4.3553806547690046e-08
6655920,4.210009335304551e-08
6655950,4.066562063220599e-08
6655980,3.9250388415520015e-08
6656010,3.784702784209776e-08
6656040,3.6459223383077305e-08
6656070,3.508410938427496e-08
6656100,3.371145129812381e-08
6656130,3.2346980506291655e-08
6656160,3.098619381842012e-08
6656190,2.9627044340153753e-08
6656220,2.826707579335322e-08
6656250,2.6904241282101638e-08
6656280,2.553690329298699e-08
6656310,2.4163424312301728e-08
6656340,2.2782576209218577e-08
6656370,2.1393949619048e-08
6656400,1.999345072960757e-08
6656430,1.8414870019025546e-08
6656460,1.6714702359619152e-08
6656490,1.507839831786901e-08
6656520,1.3469522828646637e-08
6656550,1.1876203810157993e-08
6656580,1.0300078821828573e-08
6656610,8.741147889742212e-09
6656640,7.200229805222304e-09
6656670,5.676915209334304e-09
6656700,4.17406980679575e-09
6656730,2.688827938180625e-09
6656760,1.22323653997577e-09
6656790,-2.2147621866986538e-10
6656820,-1.6469478509084208e-09
6656850,-3.051950189669665e-09
6656880,-4.436483218036268e-09
6656910,-5.798909388327074e-09
6656940,-7.138819303031104e-09
6656970,-8.45825986311653e-09
6657000,-9.75559352425834e-09
6657030,-1.1030001509261219e-08
6657060,-1.2282302573370842e-08
6657090,-1.3511677941524073e-08
6657120,-1.4718127605367333e-08
6657150,-1.5901651557524025e-08
6657180,-1.706102164365014e-08
6657210,-1.81966472412523e-08
6657240,-1.9308528346062682e-08
6657270,-2.0396664954742894e-08
6657300,-2.1461057064865817e-08
6657330,-2.25012952924778e-08
6657360,-2.3516151489955053e-08
6657390,-2.450685380506036e-08
6657420,-2.547340223899809e-08
6657450,-2.6414159264935477e-08
6657480,-2.7331171797155283e-08
6657510,-2.822239292859004e-08
6657540,-2.9088641428396592e-08
6657570,-2.9929917302053756e-08
6657600,-3.07462205557698e-08
6657630,-3.1537141814589086e-08
6657660,-3.230309046810477e-08
6657690,-3.304324776108623e-08
6657720,-3.375843246618485e-08
6657750,-3.444864459292554e-08
6657780,-3.511306538831491e-08
6657810,-3.5751694863434804e-08
6657840,-3.6365351792768805e-08
6657870,-3.69532174253711e-08
6657900,-3.7516110536489214e-08
6657930,-3.8053621757648524e-08
6657960,-3.8565751102253234e-08
6657990,-3.9053726727374726e-08
6658020,-3.951468297956794e-08
6658050,-3.9951485540866434e-08
6658080,-4.0363725044750436e-08
6658110,-4.0749763982943756e-08
6658140,-4.111042113295687e-08
6658170,-4.1447334033298984e-08
6658200,-4.175886517699476e-08
6658230,-4.204624272197006e-08
6658260,-4.230823854294129e-08
6658290,-4.254567141745358e-08
6658320,-4.275936012262628e-08
6658350,-4.294807653413727e-08
6658380,-4.311304880942718e-08
6658410,-4.325386758494872e-08
6658440,-4.33705328775096e-08
6658470,-4.3463044703978086e-08
6658500,-4.353304060053895e-08
6658530,-4.357806430474736e-08
6658560,-4.360098149165473e-08
6658590,-4.3600973417840885e-08
6658620,-4.3577630719966235e-08
6658650,-4.353177217325355e-08
6658680,-4.346257903478094e-08
6658710,-4.337127945857856e-08
6658740,-4.325869221844172e-08
6658770,-4.3124817329153816e-08
6658800,-4.2967607910024903e-08
6658830,-4.279033900856598e-08
6658860,-4.259096374381175e-08
6658890,-4.2370710266822885e-08
6658920,-4.213039734879295e-08
6658950,-4.1869615624014595e-08
6658980,-4.159000261995663e-08
6659010,-4.128951145570812e-08
6659040,-4.097059841482534e-08
6659070,-4.06316259947735e-08
6659100,-4.0275869233942715e-08
6659130,-3.990128125068013e-08
6659160,-3.95086808118279e-08
6659190,-3.910011481776148e-08
6659220,-3.8673127008466474e-08
6659250,-3.823099241719429e-08
6659280,-3.7772073539551625e-08
6659310,-3.729841727266245e-08
6659340,-3.681125175640262e-08
6659370,-3.6308530107660574e-08
6659400,-3.5794755487021176e-08
6659430,-3.526583412216312e-08
6659460,-3.472667854897151e-08
