time,hvac_reaZonNor_TZon_y
6652800,293.2520283585789
6652830,293.2515248324452
6652860,293.25102521153997
6652890,293.2505295216741
6652920,293.2500377105904
6652950,293.249549580068
6652980,293.2490648758331
6653010,293.24858347178196
6653040,293.2481052557691
6653070,293.2476301361557
6653100,293.2471580408024
6653130,293.2466889127129
6653160,293.24622270634757
6653190,293.2457593837546
6653220,293.24529891091674
6653250,293.2448412549334
6653280,293.24438638149934
6653310,293.2439342501951
6653340,293.24348481117084
6653370,293.2430380037563
6653400,293.24259375623615
6653430,293.24215198619976
6653460,293.2417126011426
6653490,293.2412754991695
6653520,293.2408405565945
6653550,293.24040767284487
6653580,293.23997672426015
6653610,293.2395475905697
6653640,293.2391201312386
6653670,293.2386942000986
6653700,293.2382696488204
6653730,293.23784632561114
6653760,293.2374240754885
6653790,293.2370027411101
6653820,293.23658216336025
6653850,293.2361621818882
6653880,293.2357426356646
6653910,293.23532336353463
6653940,293.2349042047647
6653970,293.234484999594
6654000,293.2340655897932
6654030,293.2336458192441
6654060,293.2332255345458
6654090,293.23280458566506
6654120,293.2323828266372
6654150,293.2319601163456
6654180,293.23153621864566
6654210,293.2311111065164
6654240,293.2306846816203
6654270,293.2302568438715
6654300,293.22982747164065
6654330,293.2293964933409
6654360,293.2289638578708
6654390,293.2285295132343
6654420,293.22809343092166
6654450,293.2276556006692
6654480,293.2272160373444
6654510,293.2267747832622
6654540,293.22633191265874
6654570,293.2258875305374
6654600,293.22544177704486
6654630,293.22499483001144
6654660,293.2245469043957
6654690,293.2240982534533
6654720,293.2236491658289
6654750,293.2232001017214
6654780,293.2227514393742
6654810,293.2223034081309
6654840,293.22185614441395
6654870,293.2214097289854
6654900,293.2209641753605
6654930,293.220519464338
6654960,293.2200755647866
6654990,293.2196324328419
6655020,293.21919001790934
6655050,293.2187482674838
6655080,293.2183071306853
6655110,293.2178665607557
6655140,293.21742651670155
6655170,293.21698696426034
6655200,293.21654789869376
6655230,293.2161092623182
6655260,293.2156710434792
6655290,293.2152332607819
6655320,293.21479588924376
6655350,293.21435893963053
6655380,293.2139224343931
6655410,293.21348638209633
6655440,293.2130508132051
6655470,293.2126157549949
6655500,293.2121812503133
6655530,293.21174730282337
6655560,293.21131392737414
6655590,293.2108811419118
6655620,293.2104489885436
6655650,293.2100175409864
6655680,293.20958680476764
6655710,293.209156829615
6655740,293.2087276500792
6655770,293.2082992829504
6655800,293.20787176486937
6655830,293.2074451172091
6655860,293.2070193758871
6655890,293.2065945580046
6655920,293.2061706896096
6655950,293.20574777758134
6655980,293.2053258651174
6656010,293.2049049703815
6656040,293.20448510531065
6656070,293.2040662761771
6656100,293.20364851376166
6656130,293.20323184653984
6656160,293.20281625129917
6656190,293.20240175683386
6656220,293.2019883644462
6656250,293.2015760798665
6656280,293.2011649112174
6656310,293.20075486661597
6656340,293.200345953822
6656370,293.199938180275
6656400,293.1995315531719
6656430,293.1991260838196
6656460,293.19872166786627
6656490,293.1983181653398
6656520,293.197915402224
6656550,293.1975132309837
6656580,293.19711150594554
6656610,293.19671008654944
6656640,293.1963088388304
6656670,293.1959076361147
6656700,293.1955063593262
6656730,293.1951048970785
6656760,293.1947031456351
6656790,293.19430100871773
6656820,293.19389839708316
6656850,293.19349522886756
6656880,293.19309142915006
6656910,293.19268692962277
6656940,293.1922816682904
6656970,293.1918755891832
6657000,293.19146864207517
6657030,293.19106078220875
6657060,293.19065197002743
6657090,293.19024217091663
6657120,293.1898313549541
6657150,293.1894194966712
6657180,293.1890065748234
6657210,293.1885925721725
6657240,293.1881774752789
6657270,293.1877612743039
6657300,293.1873439628187
6657330,293.18692553763634
6657360,293.18650599863633
6657390,293.1860853486068
6657420,293.1856635930929
6657450,293.185240740255
6657480,293.1848168007334
6657510,293.18439178752016
6657540,293.1839657158394
6657570,293.18353860303216
6657600,293.18311046844894
6657630,293.1826813333474
6657660,293.18225122079554
6657690,293.1818201555808
6657720,293.1813881641233
6657750,293.18095527439414
6657780,293.1805215158383
6657810,293.1800869193013
6657840,293.1796515169607
6657870,293.1792153422602
6657900,293.1787784298483
6657930,293.17834081552
6657960,293.1779025361616
6657990,293.1774636296989
6658020,293.17702413504816
6658050,293.17658409207024
6658080,293.17614354152687
6658110,293.1757025250401
6658140,293.1752610850535
6658170,293.1748192647969
6658200,293.1743771082519
6658230,293.17393466012106
6658260,293.17349196579835
6658290,293.17304907134155
6658320,293.17260602344766
6658350,293.172162869429
6658380,293.1717196571922
6658410,293.1712764352186
6658440,293.17083325254583
6658470,293.1703901587524
6658500,293.1699472039432
6658530,293.1695044387366
6658560,293.16906191425426
6658590,293.16861968211094
6658620,293.16817779440754
6658650,293.1677363037245
6658680,293.16729526311747
6658710,293.16685472611493
6658740,293.16641474671707
6658770,293.1659753793957
6658800,293.1655366790969
6658830,293.16509870124474
6658860,293.16466150174676
6658890,293.1642251370016
6658920,293.1637896639075
6658950,293.16335513987417
6658980,293.162921622835
6659010,293.16248917126205
6659040,293.1620578441832
6659070,293.1616277012007
6659100,293.1611988018648
6659130,293.16077120744137
6659160,293.1603449795549
6659190,293.1599201803981
6659220,293.15949687283336
6659250,293.15907512045163
6659280,293.15865498761764
6659310,293.15823653951304
6659340,293.15781984218194
6659370,293.1574049625787
6659400,293.15699196862005
6659430,293.1565809292411
6659460,293.15617191445705
6659490,293.15576499542817
6659520,293.15536024453115
6659550,293.1549577354361
6659580,293.15455754319015
6659610,293.1541597641542
6659640,293.15376444235454
6659670,293.1533716812522
6659700,293.1529815407812
6659730,293.1525941124673
6659760,293.15220948405016
6659790,293.1518277395581
6659820,293.15144896779816
6659850,293.1510732601553
6659880,293.1507007113749
6659910,293.15033141903916
6659940,293.14996548386716
6659970,293.14960300928476
6660000,293.1492441005643
6660030,293.1488884964691
6660060,293.1485358544495
6660090,293.1481864064875
6660120,293.1478403461578
6660150,293.14749829187565
6660180,293.147160699868
6660210,293.1468251534224
6660240,293.1464930425458
6660270,293.1461644564175
6660300,293.1458393602813
6660330,293.1455177068915
6660360,293.1451994244915
6660390,293.14488441646716
6660420,293.14457261063876
6660450,293.1442640562846
6660480,293.1439586962763
6660510,293.14365647571543
6660540,293.14335740612876
6660570,293.14306150352263
6660600,293.14276884351057
6660630,293.1424794848504
6660660,293.14219352315195
6660690,293.14191106288405
6660720,293.141632258631
6660750,293.14135781318237
6660780,293.1410867129003
6660810,293.14081943165104
6660840,293.1405562793922
6660870,293.1402973020675
6660900,293.14004246280115
6660930,293.1397916139784
6660960,293.1395444847885
6660990,293.13930066994334
6661020,293.1390596314869
6661050,293.1388210076768
6661080,293.1385845440957
6661110,293.1383499919304
6661140,293.13811689242044
6661170,293.13788451784853
6661200,293.1376520512685
6661230,293.137418565321
6661260,293.1371828919308
6661290,293.1369437659058
6661320,293.13669996368833
6661350,293.136450125014
6661380,293.1361929385728
6661410,293.13592713771794
6661440,293.13565127155397
6661470,293.13536413339386
6661500,293.13506470240145
6661530,293.13475187051444
6661560,293.1344246829481
6661590,293.13408226308553
6661620,293.13372388099583
6661650,293.13334896004926
6661680,293.1329571296197
6661710,293.132548066907
6661740,293.13212163757754
6661770,293.1316777472133
6661800,293.1312165076871
6661830,293.1307364172651
6661860,293.13024073302245
6661890,293.129728797393
6661920,293.12920071381166
6661950,293.1286569638946
6661980,293.1280980756058
6662010,293.1275246217015
6662040,293.12693726384475
6662070,293.1263365917781
6662100,293.1257232186319
