time,hvac_reaZonSou_V_flow_y
6652800,-3.148089161042647e-08
6652830,-2.869991646914869e-08
6652860,-2.4595922654540143e-08
6652890,-2.1191591347421274e-08
6652920,-1.795236891209063e-08
6652950,-1.483169732765316e-08
6652980,-1.1803710985227949e-08
6653010,-8.90634580376657e-09
6653040,-6.1068387382492554e-09
6653070,-3.3935502310127165e-09
6653100,-7.561340082375706e-10
6653130,1.8105831009302077e-09
6653160,4.316085172763348e-09
6653190,6.76554536559282e-09
6653220,9.166292289035171e-09
6653250,1.152349909275566e-08
6653280,1.3843201105676198e-08
6653310,1.6130571471836722e-08
6653340,1.8391214424667573e-08
6653370,2.062771655762409e-08
6653400,2.284740646704492e-08
6653430,2.5054164019108454e-08
6653460,2.7250144714778826e-08
6653490,2.9442246059930683e-08
6653520,3.163262355697275e-08
6653550,3.382515707472033e-08
6653580,3.602329539232472e-08
6653610,3.8232211656808424e-08
6653640,4.045406137744524e-08
6653670,4.269315552359268e-08
6653700,4.495121851821438e-08
6653730,4.723299242871966e-08
6653760,4.954063277643922e-08
6653790,5.187845054519832e-08
6653820,5.4247739080698745e-08
6653850,5.6651947191900777e-08
6653880,5.909323041690136e-08
6653910,6.157546866677817e-08
6653940,6.40977998449947e-08
6653970,6.666410387263299e-08
6654000,6.927481193883736e-08
6654030,7.193207960657776e-08
6654060,7.46337515194555e-08
6654090,7.738198324898882e-08
6654120,8.017289507451757e-08
6654150,8.30051938319254e-08
6654180,8.588663930799339e-08
6654210,8.878619293362724e-08
6654240,9.171075229919305e-08
6654270,9.465255783354555e-08
6654300,9.760212558158339e-08
6654330,1.0054609173379e-07
6654360,1.0346678152310732e-07
6654390,1.0634393359037528e-07
6654420,1.0915642435285311e-07
6654450,1.1187795705807697e-07
6654480,1.1448094161914563e-07
6654510,1.1693433913654992e-07
6654540,1.1920236860479133e-07
6654570,1.2125355988794194e-07
6654600,1.2305083854438837e-07
6654630,1.2456014771453519e-07
6654660,1.2575087922176057e-07
6654690,1.2659544248580047e-07
6654720,1.269554553355547e-07
6654750,1.2706974403211841e-07
6654780,1.267770783177199e-07
6654810,1.2613177565896216e-07
6654840,1.2503554559654746e-07
6654870,1.2364444433405295e-07
6654900,1.220205493135231e-07
6654930,1.2002978915464249e-07
6654960,1.1777304003148446e-07
6654990,1.153063442204463e-07
6655020,1.1267151790621114e-07
6655050,1.0990779077637834e-07
6655080,1.070505127201803e-07
6655110,1.0413503369356431e-07
6655140,1.0119023724982577e-07
6655170,9.824112711030175e-08
6655200,9.531098264229758e-08
6655230,9.243041190966032e-08
6655260,8.959467297037974e-08
6655290,8.682488976630648e-08
6655320,8.410856059328833e-08
6655350,8.147413807559571e-08
6655380,7.891860467122754e-08
6655410,7.64475648004962e-08
6655440,7.405067223274374e-08
6655470,7.173094478253248e-08
6655500,6.949053806222433e-08
6655530,6.732902108676699e-08
6655560,6.522139022450593e-08
6655590,6.341250980149498e-08
6655620,6.125831799420281e-08
6655650,5.936192239701715e-08
6655680,5.7517688854288816e-08
6655710,5.572691073192028e-08
6655740,5.398312160454837e-08
6655770,5.228847702746315e-08
6655800,5.062875077468706e-08
6655830,4.90117026846216e-08
6655860,4.742181322097826e-08
6655890,4.586425561857515e-08
6655920,4.433342562137921e-08
6655950,4.28228567696207e-08
6655980,4.133254909525805e-08
6656010,3.985474283292845e-08
6656040,3.8393317908165165e-08
6656070,3.694525664911783e-08
6656100,3.549978158435615e-08
6656130,3.406292813476969e-08
6656160,3.262995422406098e-08
6656190,3.1198704373905964e-08
6656220,2.976659200514242e-08
6656250,2.833146163780203e-08
6656280,2.689158889140786e-08
6656310,2.5445249385171753e-08
6656340,2.399114983819223e-08
6656370,2.252885916973832e-08
6656400,2.105406639844533e-08
6656430,1.9391744893999796e-08
6656460,1.760138647744975e-08
6656490,1.5878279525630022e-08
6656520,1.4184056160437878e-08
6656550,1.2506214508046737e-08
6656580,1.0846478997387953e-08
6656610,9.204849655929058e-09
6656640,7.582188710362304e-09
6656670,5.978065086017025e-09
6656700,4.39549650795816e-09
6656730,2.8314652988149233e-09
6656760,1.288126981277728e-09
6656790,-2.332251233973691e-10
6656820,-1.7343153954136523e-09
6656850,-3.2138505157040564e-09
6656880,-4.67183046645382e-09
6656910,-6.106530831098941e-09
6656940,-7.517520494345909e-09
6656970,-8.906954941482274e-09
6657000,-1.0273109759478216e-08
6657030,-1.1615122736519033e-08
6657060,-1.2933856061305397e-08
6657090,-1.4228447524267893e-08
6657120,-1.549889711660981e-08
6657150,-1.674520483056322e-08
6657180,-1.7966077360462393e-08
6657210,-1.9161945800535287e-08
6657240,-2.0332810146287675e-08
6657270,-2.147867039420407e-08
6657300,-2.259952654172859e-08
6657330,-2.3694947487844266e-08
6657360,-2.476363993396206e-08
6657390,-2.5806897178817358e-08
6657420,-2.682471922367843e-08
6657450,-2.7815381673935637e-08
6657480,-2.8781040028897413e-08
6657510,-2.971953879685338e-08
6657540,-3.0631740181153324e-08
6657570,-3.1517644187566715e-08
6657600,-3.237725082263115e-08
6657630,-3.3210128994804984e-08
6657660,-3.4016709811043877e-08
6657690,-3.479613108266301e-08
6657720,-3.554925501669211e-08
6657750,-3.627608162316135e-08
6657780,-3.6975748715741833e-08
6657810,-3.764825630610327e-08
6657840,-3.829446660320478e-08
6657870,-3.891351742287365e-08
6657900,-3.9506270974873476e-08
6657930,-4.007229617448741e-08
6657960,-4.0611593035830744e-08
6657990,-4.112545486744125e-08
6658020,-4.161086399824641e-08
6658050,-4.2070838129423817e-08
6658080,-4.2504946178315204e-08
6658110,-4.2911463769851886e-08
6658140,-4.3291253116180453e-08
6658170,-4.36460386242064e-08
6658200,-4.397409592023093e-08
6658230,-4.4276718313691614e-08
6658260,-4.455261252952474e-08
6658290,-4.4802640779913393e-08
6658320,-4.5027665276592257e-08
6658350,-4.522639274551012e-08
6658380,-4.5400116495593584e-08
6658410,-4.5548405447314564e-08
6658440,-4.5671259618372346e-08
6658470,-4.5768679026530076e-08
6658500,-4.584238807624547e-08
6658530,-4.588980020488339e-08
6658560,-4.591393310626888e-08
6658590,-4.591392460415411e-08
6658620,-4.5889343619229685e-08
6658650,-4.584105236123312e-08
6658680,-4.5768188654441276e-08
6658710,-4.567204580418941e-08
6658740,-4.555348601871183e-08
6658770,-4.5412509313576186e-08
6658800,-4.5246960224848855e-08
6658830,-4.506028753526812e-08
6658860,-4.485033578061044e-08
6658890,-4.461839826308401e-08
6658920,-4.4365337188183436e-08
6658950,-4.409072147410593e-08
6658980,-4.379627551613093e-08
6659010,-4.347984385009214e-08
6659040,-4.3144013060856094e-08
6659070,-4.278705877940009e-08
6659100,-4.241242977885766e-08
6659130,-4.2017970594281224e-08
6659160,-4.160454342658309e-08
6659190,-4.117430376042667e-08
6659220,-4.0724665035736146e-08
6659250,-4.0259076020233726e-08
6659280,-3.977581234293962e-08
6659310,-3.9277029485093235e-08
6659340,-3.876402073712466e-08
6659370,-3.823463063255023e-08
6659400,-3.769360121631446e-08
6659430,-3.7136621549028365e-08
6659460,-3.656886476754101e-08
6659490,-3.598946868634555e-08
6659520,-3.5399726590834536e-08
6659550,-3.4800069577154313e-08
6659580,-3.419222202293672e-08
6659610,-3.357704611663224e-08
6659640,-3.295712842141065e-08
6659670,-3.233074456051141e-08
6659700,-3.1703498751959034e-08
6659730,-3.107280442991801e-08
6659760,-3.044383471564083e-08
6659790,-2.981658960416885e-08
6659820,-2.9194517838850274e-08
6659850,-2.8579774880650443e-08
6659880,-2.797408509592295e-08
6659910,-2.738089722370578e-08
6659940,-2.6804091094696698e-08
6659970,-2.6246253257876646e-08
6660000,-2.5711263540808165e-08
6660030,-2.1545607183404762e-08
6660060,-1.7157938983707855e-08
6660090,-1.3025909995369403e-08
6660120,-9.062008081436055e-09
6660150,-5.691721917540244e-09
6660180,-1.960180149176454e-09
6660210,1.5881467909043414e-09
6660240,4.381198571149373e-09
6660270,7.62560472678178e-09
6660300,1.0272947068067463e-08
6660330,1.2624990784307283e-08
6660360,1.4760625940444022e-08
6660390,1.65699238278385e-08
6660420,1.8020552460629337e-08
6660450,1.9149154723049325e-08
6660480,1.989408426219284e-08
6660510,2.0226026686642134e-08
6660540,2.0110925567299853e-08
6660570,1.9508258069245818e-08
6660600,1.8384829938904285e-08
6660630,1.6698825067314423e-08
6660660,1.4414462668802706e-08
6660690,1.1508032600475238e-08
6660720,7.983414733514883e-09
6660750,4.367405035511006e-09
6660780,-1.1079094526559611e-09
6660810,-6.743159120327067e-09
6660840,-1.2395220721123985e-08
6660870,-1.8736168045154113e-08
6660900,-2.533188981996336e-08
6660930,-3.191165914226619e-08
6660960,-3.821423329975075e-08
6660990,-4.396414373979612e-08
6661020,-4.890230374239174e-08
6661050,-5.248467465286025e-08
6661080,-5.52561583733954e-08
6661110,-5.67464335813884e-08
6661140,-5.7121471864113056e-08
6661170,-5.644464471147666e-08
6661200,-5.482415712593169e-08
6661230,-5.249193740839422e-08
6661260,-4.95553279805698e-08
6661290,-4.6194956742143094e-08
6661320,-4.250825064573741e-08
6661350,-3.866376667748725e-08
6661380,-3.470935597437042e-08
6661410,-3.072778804990584e-08
6661440,-2.6802263453333944e-08
6661470,-2.294916348909713e-08
6661500,-1.9230565169653178e-08
6661530,-1.563870866319854e-08
6661560,-1.2215840772853197e-08
6661590,-8.908074901346354e-09
6661620,-5.808526675556065e-09
6661650,-2.8602918917272683e-09
6661680,-8.406283372498981e-11
6661710,2.5274891453189957e-09
6661740,4.942032264210887e-09
6661770,7.158273312742642e-09
6661800,9.321059063105938e-09
6661830,1.1091120592922911e-08
6661860,1.3093971608906305e-08
6661890,1.4747638687804438e-08
6661920,1.6256459183312793e-08
6661950,1.759844743326164e-08
6661980,1.87886916336366e-08
6662010,1.979658427634679e-08
6662040,2.0684202520413102e-08
6662070,2.1397659905763642e-08
6662100,2.1946440418777968e-08
6662130,2.2339596952706608e-08
6662160,2.2587044583730578e-08
6662190,2.275862012776595e-08
6662220,2.2899157101367546e-08
6662250,2.300218912200312e-08
6662280,2.3063405264330137e-08
6662310,2.3087978619790297e-08
6662340,2.307504699674097e-08
6662370,2.302892130452795e-08
6662400,2.294830826048438e-08
6662430,2.283665659159663e-08
6662460,2.2696121750280065e-08
6662490,2.2524979363072445e-08
6662520,2.2325384883082093e-08
6662550,2.209820048842412e-08
6662580,2.184213289813748e-08
6662610,2.1559337566555354e-08
6662640,2.1246796845475915e-08
6662670,2.0905804005915972e-08
6662700,2.05359279515227e-08
6662730,2.013544431021625e-08
6662760,1.970262870996476e-08
6662790,1.9239205514948774e-08
6662820,1.8740001617510485e-08
6662850,1.8206310290372973e-08
6662880,1.7634251702236812e-08
6662910,1.7022532574303875e-08
6662940,1.6370290720354875e-08
6662970,1.567321521806037e-08
6663000,1.493044388232175e-08
6663030,1.413852797624952e-08
6663060,1.329617422436024e-08
6663090,1.2399933891682236e-08
6663120,1.1448082612956574e-08
6663150,1.0436740563740102e-08
6663180,9.364183381910454e-09
6663210,8.227393430877932e-09
6663240,7.023353076240256e-09
6663270,5.75033796248127e-09
6663300,4.405761552580447e-09
6663330,2.9853129441180994e-09
6663360,1.4876988830296684e-09
6663390,-8.751169682179158e-11
6663420,-1.7441985943869544e-09
6663450,-3.484517235628058e-09
6663480,-5.310623041622805e-09
6663510,-7.224671428164774e-09
6663540,-9.224937977236583e-09
6663570,-1.131702682940761e-08
6663600,-1.3499213554644144e-08
6663630,-1.3810460975860455e-08
6663660,-1.2299914026448496e-08
6663690,-1.106785266828953e-08
6663720,-1.0037111393973744e-08
6663750,-9.045599631168649e-09
6663780,-8.05408800948963e-09
6663810,-7.0643008861018615e-09
6663840,-6.077531526153035e-09
6663870,-5.0972286533130215e-09
6663900,-4.122530073653175e-09
6663930,-3.1534357769761243e-09
6663960,-2.191239028325827e-09
6663990,-1.2359398177660658e-09
6664020,-2.8753813558423253e-10
6664050,6.52241661118736e-10
6664080,1.5859861315336708e-09
6664110,2.5098154599579424e-09
6664140,3.425454021798166e-09
6664170,4.332039642379904e-09
6664200,5.229141238409029e-09
6664230,6.117189909535146e-09
6664260,6.9935991138684415e-09
6664290,7.86052431690159e-09
6664320,8.716672250963178e-09
6664350,9.562042922886002e-09
6664380,1.0396205247575564e-08
6664410,1.1217865956377759e-08
6664440,1.202831832996281e-08
6664470,1.2826700190610127e-08
6664500,1.3611718268587817e-08
6664530,1.4384665843570689e-08
6664560,1.5144249645100405e-08
6664590,1.5890469677244825e-08
6664620,1.6624188127071364e-08
6664650,1.734324953961999e-08
6664680,1.8048085009521608e-08
6664710,1.873998781454025e-08
6664740,1.9416371406739778e-08
6664770,2.007852906316971e-08
6664800,2.072646078545957e-08
6664830,2.1358442207799854e-08
6664860,2.197619769814787e-08
6664890,2.2578002889903223e-08
6664920,2.316471996686541e-08
6664950,2.373548674524884e-08
6664980,2.4291596500205255e-08
6665010,2.4830462679711048e-08
6665040,2.5354671834048196e-08
6665070,2.586163741034161e-08
6665100,2.6353083774641317e-08
6665130,2.6827717649097186e-08
6665160,2.728597012341341e-08
6665190,2.772870337920448e-08
6665220,2.815419304554654e-08
6665250,2.8563732395636868e-08
6665280,2.8955597057785635e-08
6665310,2.9331942489172776e-08
6665340,2.969104431754109e-08
6665370,3.00337647233528e-08
6665400,3.035924151807247e-08
6665430,3.066963015883702e-08
6665460,3.096105081057716e-08
6665490,3.12365211147306e-08
6665520,3.149474778957314e-08
6665550,3.173745519980137e-08
6665580,3.1962487878411466e-08
6665610,3.217070800503933e-08
6665640,3.236254666695448e-08
6665670,3.2537572766352244e-08
6665700,3.269664848297119e-08
6665730,3.2838049441006465e-08
6665760,3.296263781998063e-08
6665790,3.307213798501146e-08
6665820,3.316482555991324e-08
6665850,3.32407005389506e-08
6665880,3.3300625101946514e-08
6665910,3.3344168150492024e-08
6665940,3.337132967889187e-08
6665970,3.3382540774346596e-08
6666000,3.3378663617134546e-08
6666030,3.3357973830020206e-08
6666060,3.332176468625353e-08
6666090,3.3269605087384646e-08
6666120,3.320149502793729e-08
6666150,3.311829668869396e-08
6666180,3.3020010064488526e-08
6666210,3.290620405704545e-08
6666240,3.2777309754438084e-08
6666270,3.2632464965233986e-08
6666300,3.2473394057458323e-08
6666330,3.23000970265358e-08
6666360,3.211128058797309e-08
6666390,3.190737583047545e-08
6666420,3.168967602979751e-08
6666450,3.145688790158875e-08
6666480,3.1209873628572505e-08
6666510,3.094906430035686e-08
6666540,3.067445991328078e-08
6666570,3.0385629370265434e-08
6666600,3.0082572667845154e-08
6666630,2.976658308355524e-08
6666660,2.9437229520856148e-08
6666690,2.9093649789578338e-08
6666720,2.873756826169736e-08
6666750,2.8367691653704824e-08
6666780,2.7984882150711385e-08
6666810,2.758957084443749e-08
6666840,2.718175773307914e-08
6666870,2.6761442815012755e-08
6666900,2.6328194994944324e-08
6666930,2.5883307553187606e-08
6666960,2.5425487207119826e-08
6666990,2.4955596143657273e-08
6667020,2.447492764403802e-08
6667050,2.3983050614085652e-08
6667080,2.3478240677774166e-08
6667110,2.2962653305014404e-08
6667140,2.2435426308138098e-08
6667170,2.1897852969742912e-08
6667200,2.1348208914426294e-08
6667230,1.9803599607956053e-08
6667260,1.7367918591137505e-08
6667290,1.5124505293510127e-08
6667320,1.3001798155958348e-08
6667350,1.0919613725994252e-08
6667380,8.86286375463497e-09
6667410,6.834565943138359e-09
6667440,4.838600179018656e-09
6667470,2.875828688905843e-09
6667500,9.497002616971826e-10
6667530,-9.410783510738423e-10
6667560,-2.791765083271803e-09
6667590,-4.602791000254623e-09
6667620,-6.37243169966377e-09
6667650,-8.099393875902823e-09
6667680,-9.782815320079051e-09
6667710,-1.1421402732028413e-08
6667740,-1.301429390828331e-08
6667770,-1.4561488835802556e-08
6667800,-1.6061694222424255e-08
6667830,-1.7514047872564455e-08
6667860,-1.891811868702177e-08
6667890,-2.027261338157902e-08
6667920,-2.1578394143133017e-08
6667950,-2.2835029879482923e-08
6667980,-2.4041227313494623e-08
6668010,-2.519784863830726e-08
6668040,-2.6304031674631476e-08
6668070,-2.7360207525742238e-08
6668100,-2.836508292290586e-08
6668130,-2.9321244439729472e-08
6668160,-3.02269677172797e-08
6668190,-3.1081821678658546e-08
6668220,-3.188709962127705e-08
6668250,-3.2641939377604356e-08
6668280,-3.3348496433160084e-08
6668310,-3.400547752944388e-08
6668340,-3.46137448743576e-08
6668370,-3.5174160676247765e-08
6668400,-3.568715605099326e-08
6668430,-3.615316211496685e-08
6668460,-3.657131670689513e-08
6668490,-3.6945068592783534e-08
6668520,-3.7272693426413773e-08
6668550,-3.7555053417944745e-08
6668580,-3.779430405462514e-08
6668610,-3.798958317613052e-08
6668640,-3.8143046268902435e-08
6668670,-3.825340008034678e-08
6668700,-3.832452446466678e-08
6668730,-3.835469507640663e-08
6668760,-3.8346067399376256e-08
6668790,-3.829950364003927e-08
6668820,-3.821500382034775e-08
6668850,-3.8095154513041054e-08
6668880,-3.794038683016231e-08
6668910,-3.775070079147539e-08
6668940,-3.752825187460687e-08
6668970,-3.727347118920111e-08
6669000,-3.6987220935753266e-08
6669030,-3.667208767962576e-08
6669060,-3.6327640344490646e-08
6669090,-3.595603440176977e-08
6669120,-3.555683877356663e-08
6669150,-3.5133933293796307e-08
6669180,-3.4685593608802446e-08
6669210,-3.421440627625641e-08
6669240,-3.372123348779475e-08
6669270,-3.320866179797414e-08
6669300,-3.267539794126912e-08
6669330,-3.2124459560929075e-08
6669360,-3.155541557175521e-08
6669390,-3.09708525235459e-08
6669420,-3.0371632601586533e-08
6669450,-2.975818689968403e-08
6669480,-2.913267087339229e-08
6669510,-2.8495084524172213e-08
6669540,-2.78471522150842e-08
6669570,-2.718973612718608e-08
6669600,-2.6523267350452998e-08
6669630,-2.584990133575907e-08
6669660,-2.5169638081301382e-08
6669690,-2.4483339765559456e-08
6669720,-2.3793592927272382e-08
6669750,-2.3098673202308736e-08
6669780,-2.2400304948050222e-08
6669810,-2.1700212521067727e-08
6669840,-2.0998395917008073e-08
6669870,-2.0294855131436598e-08
6669900,-1.95904523397768e-08
6669930,-1.8886049717096082e-08
6669960,-1.8182078348244565e-08
6669990,-1.747940040777216e-08
6670020,-1.6775860441197594e-08
6670050,-1.6075338251768935e-08
6670080,-1.537524729521442e-08
6670110,-1.4676449745871473e-08
6670140,-1.3978514508769957e-08
6670170,-1.3283165937432792e-08
6670200,-1.2587386398930963e-08
6670230,-1.189290024689311e-08
6670260,-1.1198845297028983e-08
6670290,-1.0505221544414439e-08
6670320,-9.810735715538652e-09
6670350,-9.11366344767585e-09
6670380,-8.41616018389693e-09
6670410,-7.715639382629052e-09
6670440,-7.010807771132817e-09
6670470,-6.301665345150217e-09
6670500,-5.5860566532677425e-09
6670530,-4.863119512519497e-09
6670560,-4.13156065055133e-09
6670590,-3.3913800631325493e-09
6670620,-2.638266852286382e-09
6670650,-1.8722210137470233e-09
6670680,-1.091087096289007e-09
6670710,-2.931407378825595e-10
6670740,5.246356916843936e-10
6670770,1.3618111084320378e-09
6670800,2.2231275005104238e-09
6670830,3.0042612652050898e-09
6670860,3.69012428593531e-09
6670890,4.3828847302421805e-09
6670920,5.077800620560815e-09
6670950,5.769267800902914e-09
6670980,6.45340647239554e-09
6671010,7.132803175212047e-09
6671040,7.807457913737765e-09
6671070,8.476939602968238e-09
6671100,9.140817157779033e-09
6671130,9.800814939352775e-09
6671160,1.0455639683790528e-08
6671190,1.110572248422122e-08
6671220,1.1751063344387057e-08
6671250,1.2391231178615188e-08
6671280,1.3027950347697166e-08
6671310,1.3658634319169506e-08
6671340,1.4285869632313779e-08
6671370,1.490793193304897e-08
6671400,1.552395904573967e-08
6671430,1.6135675330791508e-08
6671460,1.6742649701760385e-08
6671490,1.734315780383064e-08
6671520,1.7938923997185824e-08
6671550,1.8529086105526578e-08
6671580,1.911364413121108e-08
6671610,1.969173589753519e-08
6671640,2.0264654674964972e-08
6671670,2.0830245018001095e-08
6671700,2.1390231286371244e-08
6671730,2.1941595854953382e-08
6671760,2.2486925262305607e-08
6671790,2.3024064061839274e-08
6671820,2.3554736612909543e-08
6671850,2.4077218557974548e-08
6671880,2.4590216628619834e-08
6671910,2.509545518379237e-08
6671940,2.5592072044385898e-08
6671970,2.6078773941179937e-08
6672000,2.6556854143074314e-08
6672030,2.7023726110949388e-08
6672060,2.7481545292914443e-08
6672090,2.7929018418632585e-08
6672120,2.836528330712286e-08
6672150,2.878990886689468e-08
6672180,2.9202895096091838e-08
6672210,2.9604673082645585e-08
6672240,2.999351846438245e-08
6672270,3.0370724508717194e-08
6672300,3.07341357626728e-08
6672330,3.10837522229623e-08
6672360,3.142000497624909e-08
6672390,3.174203183861862e-08
6672420,3.2049401715908776e-08
6672450,3.2341252423390364e-08
6672480,3.261887722727912e-08
6672510,3.2880120671507087e-08
6672540,3.312498275088556e-08
6672570,3.33538945504485e-08
6672600,3.356642497436413e-08
6672630,3.3744899308276926e-08
6672660,3.393242659108266e-08
6672690,3.409236412831874e-08
6672720,3.420272629197671e-08
6672750,3.430920867143586e-08
6672780,3.441870871396753e-08
6672810,3.451139624688892e-08
6672840,3.4586409082192845e-08
6672870,3.464029848686148e-08
6672900,3.467392663462686e-08
6672930,3.4687724608631306e-08
6672960,3.468126131037129e-08
6672990,3.46519501865765e-08
6673020,3.4601515592619146e-08
6673050,3.4529526429517894e-08
6673080,3.4435982689197244e-08
6673110,3.431959109041725e-08
6673140,3.4179489442657246e-08
6673170,3.4018264284327347e-08
6673200,3.383246687830447e-08
6673230,3.362382158100761e-08
6673260,3.3391897293317725e-08
6673290,3.313540073355608e-08
6673320,3.285476298509363e-08
6673350,3.255041513164883e-08
6673380,3.22206328003457e-08
6673410,3.186670925799253e-08
6673440,3.148778231478244e-08
6673470,3.108385196392238e-08
6673500,3.065491819894047e-08
6673530,3.020011883060007e-08
6673560,2.9719453852955976e-08
6673590,2.9214216535304268e-08
6673620,2.868354468949237e-08
6673650,2.8125713944227828e-08
6673680,2.7544173028632368e-08
6673710,2.6935904297295816e-08
6673740,2.6302632113841472e-08
6673770,2.5642201016850007e-08
6673800,2.4956766462971107e-08
6673830,2.4245035175327586e-08
6673860,2.350916261212364e-08
6673890,2.274613113023152e-08
6673920,2.195852728108739e-08
6673950,2.114635106583911e-08
6673980,2.030744702670422e-08
6674010,1.9445694993354262e-08
6674040,1.8558077325534546e-08
6674070,1.7645887302933642e-08
6674100,1.6708262746270736e-08
6674130,1.574779021281331e-08
6674160,1.4764038616874241e-08
6674190,1.3756145781482177e-08
6674220,1.27254049904264e-08
6674250,1.1671816252314324e-08
6674280,1.0596672852586011e-08
6674310,9.499112617405581e-09
6674340,8.379566649763993e-09
6674370,7.240190421512877e-09
6674400,6.079690669128518e-09
6674430,0.24762919805207156
6674460,0.30990079984911484
6674490,0.324121526539376
6674520,0.32633778590765217
6674550,0.3250517001461374
6674580,0.3223098600151486
6674610,0.31903463926070175
6674640,0.3155872530575624
6674670,0.3120910559441064
