time,hvac_reaZonWes_TZon_y
6652800,294.2695939209374
6652830,294.2650874502834
6652860,294.260619419552
6652890,294.256209912568
6652920,294.25187545911604
6652950,294.2476285639084
6652980,294.2434829923305
6653010,294.2394462051704
6653040,294.23552529242403
6653070,294.2317264382555
6653100,294.22805486912966
6653130,294.22451494294387
6653160,294.22111027255363
6653190,294.2178438461393
6653220,294.2147181346051
6653250,294.2117351848008
6653280,294.20889669933456
6653310,294.20620410444593
6653340,294.2036586077432
6653370,294.20126124729734
6653400,294.1990129333357
6653430,294.1969144836161
6653460,294.1949666534186
6653490,294.1931701609638
6653520,294.19152568487254
6653550,294.190033958586
6653580,294.1886957184006
6653610,294.1875117192313
6653640,294.18648275784943
6653670,294.1856096791637
6653700,294.18489338903186
6653730,294.18433485885635
6653760,294.1839351305511
6653790,294.18369532103793
6653820,294.1836166254077
6653850,294.1837003190651
6653880,294.18394775895143
6653910,294.18436038377314
6653940,294.1849397131455
6653970,294.18568734553156
6654000,294.18660495479213
6654030,294.1876942851238
6654060,294.18895714408427
6654090,294.190395393355
6654120,294.1920109367943
6654150,294.19380570528347
6654180,294.19578090156716
6654210,294.19793928562876
6654240,294.2002827926139
6654270,294.20281348735585
6654300,294.20553275347004
6654330,294.20844205052174
6654360,294.21154266208015
6654390,294.21483557250434
6654420,294.21832140373937
6654450,294.2220003118693
6654480,294.2258718943652
6654510,294.2299350823492
6654540,294.2341880297624
6654570,294.2386279919949
6654600,294.24325121367235
6654630,294.2480528212939
6654660,294.2530267262463
6654690,294.25816555207916
6654720,294.2630231874234
6654750,294.2672701066001
6654780,294.2709295595314
6654810,294.2740714727529
6654840,294.27673421358946
6654870,294.2789825849602
6654900,294.28087140263756
6654930,294.2824359413878
6654960,294.28371054632794
6654990,294.2847273982574
6655020,294.2855156279403
6655050,294.2861012548586
6655080,294.28650739038596
6655110,294.2867545114249
6655140,294.28686073822047
6655170,294.28684209472965
6655200,294.286712783349
6655230,294.28648204015315
6655260,294.2861649163885
6655290,294.2857710672841
6655320,294.2853087476981
6655350,294.2847861505854
6655380,294.2842100704143
6655410,294.28358504656296
6655440,294.2829171403294
6655470,294.28221123964676
6655500,294.2814712658145
6655530,294.2807007825032
6655560,294.27990344223394
6655590,294.27907847723395
6655620,294.27823373594885
6655650,294.2773702206899
6655680,294.2764890351296
6655710,294.2755921300329
6655740,294.274681043336
6655770,294.27375713660825
6655800,294.2728217669102
6655830,294.2718759895055
6655860,294.2709209086495
6655890,294.2699573924019
6655920,294.26898633349487
6655950,294.2680083335642
6655980,294.2670241884983
6656010,294.26603453020203
6656040,294.2650399235524
6656070,294.2640407168067
6656100,294.26303752248947
6656130,294.2620307122074
6656160,294.26102060024215
6656190,294.26000754998955
6656220,294.2589918658026
6656250,294.25797383463237
6656280,294.2569537249092
6656310,294.2559317853089
6656340,294.2549082461911
6656370,294.2538833213926
6656400,294.2528572098892
6656430,294.2518301006452
6656460,294.2508020218218
6656490,294.24977294554606
6656520,294.2487427797088
6656550,294.24771144754914
6656580,294.24667885646767
6656610,294.24564490424416
6656640,294.2446094828861
6656670,294.243572481357
6656700,294.2425337876702
6656730,294.2414932905569
6656760,294.24045088081107
6656790,294.2394064522889
