time,hvac_reaZonWes_V_flow_y
6652800,-2.3251679240060326e-08
6652830,-2.1197660479735374e-08
6652860,-1.816646463683031e-08
6652890,-1.5652037137140096e-08
6652920,-1.3259558487374976e-08
6652950,-1.0954641091996039e-08
6652980,-8.718180700447406e-09
6653010,-6.578196653161187e-09
6653040,-4.510490276759439e-09
6653070,-2.5064646336257744e-09
6653100,-5.584780011827292e-10
6653130,1.3372905069295987e-09
6653160,3.187845797119537e-09
6653190,4.997008746497502e-09
6653220,6.770192241146529e-09
6653250,8.511217151776565e-09
6653280,1.022454115175777e-08
6653310,1.1913985107645248e-08
6653340,1.3583688287148483e-08
6653370,1.5235561139377118e-08
6653400,1.687501654060718e-08
6653430,1.8504920146773393e-08
6653460,2.012686400354081e-08
6653490,2.174594258523811e-08
6653520,2.3363747938597297e-08
6653550,2.4983145721500728e-08
6653580,2.6606683190474297e-08
6653610,2.8238181214276025e-08
6653640,2.9879231844708454e-08
6653670,3.1533019149044954e-08
6653700,3.3200816780208766e-08
6653730,3.488612721302494e-08
6653760,3.6590542508201186e-08
6653790,3.831724674369675e-08
6653820,4.0067195180238556e-08
6653850,4.184293509636934e-08
6653880,4.3646058565180297e-08
6653910,4.5479431275768604e-08
6653940,4.734241648657088e-08
6653970,4.923787989407352e-08
6654000,5.116613997310882e-08
6654030,5.312878881513905e-08
6654060,5.512423448127477e-08
6654090,5.715406906929198e-08
6654120,5.9215427030735264e-08
6654150,6.130735323899605e-08
6654180,6.343557904614143e-08
6654210,6.557717947083407e-08
6654240,6.773724904980777e-08
6654270,6.991005659026333e-08
6654300,7.208859727528917e-08
6654330,7.426300064072723e-08
6654360,7.642021216387335e-08
6654390,7.854526687391321e-08
6654420,8.062256296463474e-08
6654450,8.26326777443013e-08
6654480,8.455523326876912e-08
6654510,8.636730431265758e-08
6654540,8.804246314726592e-08
6654570,8.955746603746454e-08
6654600,9.088492992704695e-08
6654630,9.19997005355996e-08
6654660,9.287917076819835e-08
6654690,9.35029623163034e-08
6654720,9.376886658001913e-08
6654750,9.385327982174523e-08
6654780,9.363711792264886e-08
6654810,9.316049957842051e-08
6654840,9.235082779084839e-08
6654870,9.132336513997312e-08
6654900,9.012396181289627e-08
6654930,8.865359314510251e-08
6654960,8.698676593492339e-08
6654990,8.516487281668452e-08
6655020,8.321879908186134e-08
6655050,8.117751964399936e-08
6655080,7.906714381079469e-08
6655110,7.691378093921879e-08
6655140,7.473876432328527e-08
6655170,7.256056162634798e-08
6655200,7.039636690975024e-08
6655230,6.826878718512124e-08
6655260,6.617432007025519e-08
6655290,6.412856763660149e-08
6655320,6.212229616808571e-08
6655350,6.01765206760125e-08
6655380,5.8289012414145236e-08
6655410,5.64639107882238e-08
6655440,5.469357410754968e-08
6655470,5.298023131967225e-08
6655500,5.132547455253459e-08
6655530,4.972898548204607e-08
6655560,4.8172296511092174e-08
6655590,4.683626359627012e-08
6655620,4.524518487002038e-08
6655650,4.384451354585053e-08
6655680,4.2482368937307205e-08
6655710,4.1159706320037494e-08
6655740,3.9871749614309134e-08
6655770,3.862009090591211e-08
6655800,3.739422275282983e-08
6655830,3.6199876545256046e-08
6655860,3.502558960658678e-08
6655890,3.38751828704256e-08
6655920,3.274451705236873e-08
6655950,3.162881604727133e-08
6655980,3.052807987873779e-08
6656010,2.9436577210520482e-08
6656040,2.8357173742393464e-08
6656070,2.7287640632213858e-08
6656100,2.622001767631853e-08
6656130,2.5158762616004626e-08
6656160,2.410037296988232e-08
6656190,2.304325670900848e-08
6656220,2.198550339483029e-08
6656250,2.092552099719017e-08
6656280,1.986203589454544e-08
6656310,1.879377446512357e-08
6656340,1.7719781496058905e-08
6656370,1.6639738592592894e-08
6656400,1.5550461678583665e-08
6656430,1.4322676681464318e-08
6656460,1.3000324057481565e-08
6656490,1.1727643136120345e-08
6656520,1.047629553339183e-08
6656550,9.237047407900666e-09
6656580,8.011172416977781e-09
6656610,6.798670580910612e-09
6656640,5.600178737395125e-09
6656670,4.415378496148905e-09
6656700,3.2464987386189174e-09
6656730,2.091310618584931e-09
6656760,9.514061977589325e-10
6656790,-1.7225928118767312e-10
6656820,-1.2809594395954384e-09
6656850,-2.3737390364097396e-09
6656880,-3.4505980584726545e-09
6656910,-4.510262857587725e-09
6656940,-5.552415013468637e-09
6656970,-6.578646560201747e-09
6657000,-7.587683852200933e-09
6657030,-8.578890062758729e-09
6657060,-9.552902001510658e-09
6657090,-1.0509082843407614e-08
6657120,-1.1447432581952375e-08
6657150,-1.236795121140758e-08
6657180,-1.3269683500616778e-08
6657210,-1.4152947854307345e-08
6657240,-1.501774426915987e-08
6657270,-1.586407274257781e-08
6657300,-1.6691933272673415e-08
6657330,-1.7501007449704963e-08
6657360,-1.8290340047742823e-08
6657390,-1.9060886292824727e-08
6657420,-1.981264618588741e-08
6657450,-2.0544346094949822e-08
6657480,-2.1257578064454114e-08
6657510,-2.1950750055570042e-08
6657540,-2.262449888875291e-08
6657570,-2.3278824568264038e-08
6657600,-2.3913727098932072e-08
6657630,-2.4528888078013734e-08
6657660,-2.5124625919637046e-08
6657690,-2.5700303814178186e-08
6657720,-2.6256558584810436e-08
6657750,-2.6793390238942094e-08
6657780,-2.731016196868938e-08
6657810,-2.780687378267152e-08
6657840,-2.828416250548685e-08
6657870,-2.8741391330844192e-08
6657900,-2.917919708393606e-08
6657930,-2.9597261367059968e-08
6657960,-2.9995584190641413e-08
6657990,-3.037512078795813e-08
6658020,-3.073364231744174e-08
6658050,-3.107337764289612e-08
6658080,-3.139400836813923e-08
6658110,-3.169426087562293e-08
6658140,-3.1974771992299796e-08
6658170,-3.2236815359232546e-08
