time,weaSta_reaWeaHGloHor_y
6652800,0.0
6652830,0.0
6652860,0.0
6652890,0.0
6652920,0.0
6652950,0.0
6652980,0.0
6653010,0.0
6653040,0.0
6653070,0.0
6653100,0.0
6653130,0.0
6653160,0.0
6653190,0.0
6653220,0.0
6653250,0.0
6653280,0.0
6653310,0.0
6653340,0.0
6653370,0.0
6653400,0.0
6653430,0.0
6653460,0.0
6653490,0.0
6653520,0.0
6653550,0.0
6653580,0.0
6653610,0.0
6653640,0.0
6653670,0.0
6653700,0.0
6653730,0.0
6653760,0.0
6653790,0.0
6653820,0.0
6653850,0.0
6653880,0.0
6653910,0.0
6653940,0.0
6653970,0.0
6654000,0.0
6654030,0.0
6654060,0.0
6654090,0.0
6654120,0.0
6654150,0.0
6654180,0.0
6654210,0.0
6654240,0.0
6654270,0.0
6654300,0.0
6654330,0.0
6654360,0.0
6654390,0.0
6654420,0.0
6654450,0.0
6654480,0.0
6654510,0.0
6654540,0.0
6654570,0.0
6654600,0.0
6654630,0.0
6654660,0.0
6654690,0.0
6654720,0.0
6654750,0.0
6654780,0.0
6654810,0.0
6654840,0.0
6654870,0.0
6654900,0.0
6654930,0.0
6654960,0.0
6654990,0.0
6655020,0.0
6655050,0.0
6655080,0.0
6655110,0.0
6655140,0.0
6655170,0.0
6655200,0.0
6655230,0.0
6655260,0.0
6655290,0.0
6655320,0.0
6655350,0.0
6655380,0.0
6655410,0.0
6655440,0.0
6655470,0.0
6655500,0.0
6655530,0.0
6655560,0.0
6655590,0.0
6655620,0.0
6655650,0.0
6655680,0.0
6655710,0.0
6655740,0.0
6655770,0.0
6655800,0.0
6655830,0.0
6655860,0.0
6655890,0.0
6655920,0.0
6655950,0.0
6655980,0.0
6656010,0.0
6656040,0.0
6656070,0.0
6656100,0.0
6656130,0.0
6656160,0.0
6656190,0.0
6656220,0.0
6656250,0.0
6656280,0.0
6656310,0.0
6656340,0.0
6656370,0.0
6656400,0.0
6656430,0.0
6656460,0.0
6656490,0.0
6656520,0.0
6656550,0.0
6656580,0.0
6656610,0.0
6656640,0.0
6656670,0.0
6656700,0.0
6656730,0.0
6656760,0.0
6656790,0.0
6656820,0.0
6656850,0.0
6656880,0.0
6656910,0.0
6656940,0.0
6656970,0.0
6657000,0.0
6657030,0.0
6657060,0.0
6657090,0.0
6657120,0.0
6657150,0.0
6657180,0.0
6657210,0.0
6657240,0.0
6657270,0.0
6657300,0.0
6657330,0.0
6657360,0.0
6657390,0.0
6657420,0.0
6657450,0.0
6657480,0.0
6657510,0.0
6657540,0.0
6657570,0.0
6657600,0.0
6657630,0.0
6657660,0.0
6657690,0.0
6657720,0.0
6657750,0.0
6657780,0.0
6657810,0.0
6657840,0.0
6657870,0.0
6657900,0.0
6657930,0.0
6657960,0.0
6657990,0.0
6658020,0.0
6658050,0.0
6658080,0.0
6658110,0.0
6658140,0.0
6658170,0.0
6658200,0.0
6658230,0.0
6658260,0.0
6658290,0.0
6658320,0.0
6658350,0.0
6658380,0.0
6658410,0.0
6658440,0.0
6658470,0.0
6658500,0.0
6658530,0.0
6658560,0.0
6658590,0.0
6658620,0.0
6658650,0.0
6658680,0.0
6658710,0.0
6658740,0.0
6658770,0.0
6658800,0.0
6658830,0.0
6658860,0.0
6658890,0.0
6658920,0.0
6658950,0.0
6658980,0.0
6659010,0.0
6659040,0.0
6659070,0.0
