time,weaSta_reaWeaTWetBul_y
6652800,273.77142287584104
6652830,273.7726949450144
6652860,273.773808750504
6652890,273.7747670429669
6652920,273.77557257076296
6652950,273.7762280800702
6652980,273.7767363149989
6653010,273.7771000177027
6653040,273.7773219284884
6653070,273.77740478592295
6653100,273.77735132693925
6653130,273.7771642869388
6653160,273.7768463998931
6653190,273.77640039844243
6653220,273.7758290139932
6653250,273.77513497681235
6653280,273.7743210161205
6653310,273.77338986018253
6653340,273.77234423639635
6653370,273.7711868713794
6653400,273.7699204910535
6653430,273.76854782072706
6653460,273.76707158517576
6653490,273.7654945087209
6653520,273.76381931530597
6653550,273.7620487285706
6653580,273.7601854719233
6653610,273.75823226861155
6653640,273.75619184178987
6653670,273.7540669145863
6653700,273.7518602101664
6653730,273.74957445179535
6653760,273.7472123628981
6653790,273.74477666711743
6653820,273.74227008836993
6653850,273.7396953509
6653880,273.73705517933183
6653910,273.7343522987193
6653940,273.73158943459384
6653970,273.72876931301045
6654000,273.7258946605913
6654030,273.72296820456745
6654060,273.7199926728192
6654090,273.71697079391305
6654120,273.7139052971378
6654150,273.71079891253817
6654180,273.70765437094633
6654210,273.70447440401165
6654240,273.7012617442279
6654270,273.69801912495916
6654300,273.6947492804629
6654330,273.69145494591163
6654360,273.6881388574123
6654390,273.6848037520234
6654420,273.68145236777053
6654450,273.6780874436593
6654480,273.67471171968685
6654510,273.6713279368508
6654540,273.6679388371563
6654570,273.66454716362136
6654600,273.66115566027923
6654630,273.6577670721801
6654660,273.65438414538914
6654690,273.6510096269842
6654720,273.6476462650497
6654750,273.64429680866976
6654780,273.640964007919
6654810,273.63765061385067
6654840,273.6343593784833
6654870,273.63109305478525
6654900,273.62785439665697
6654930,273.6246461589113
6654960,273.6214710972515
6654990,273.61833196824796
6655020,273.61523152931153
6655050,273.612172538666
6655080,273.609157755318
6655110,273.6061899390246
6655140,273.6032718502592
6655170,273.60040625017547
6655200,273.59759590056854
6655230,273.5948435638347
6655260,273.5921520029291
6655290,273.5895239813207
6655320,273.5869622629459
6655350,273.5844696121597
6655380,273.58204879368446
6655410,273.5797025725576
6655440,273.577433714076
6655470,273.5752449837392
6655500,273.57313914719015
6655530,273.5711189701538
6655560,273.56918721837394
6655590,273.5673466575478
6655620,273.5656000532582
6655650,273.56395017090443
6655680,273.56239977563024
6655710,273.56095163225035
6655740,273.5596085051744
6655770,273.55837315832946
6655800,273.5572483550796
6655830,273.55623685814425
6655860,273.55534142951393
6655890,273.5545648303644
6655920,273.55390982096804
6655950,273.5533791606039
6655980,273.55297560746544
6656010,273.5527019185658
6656040,273.5525608496419
6656070,273.55255515505564
6656100,273.5526875876935
6656130,273.5529608988643
6656160,273.553377838194
6656190,273.55394115352
6656220,273.55465359078164
6656250,273.55551789391035
6656280,273.55653680471664
6656310,273.55771306277546
6656340,273.55904940530974
6656370,273.56054856707163
6656400,273.562213280222
6656430,273.5638784918169
6656460,273.5653793845738
6656490,273.56671904017105
6656520,273.5679005378859
6656550,273.5689269548536
6656580,273.56980136632126
6656610,273.5705268458966
6656640,273.57110646579355
6656670,273.571543297071
6656700,273.5718404098685
6656730,273.5720008736364
6656760,273.5720277573612
6656790,273.5719241297864
6656820,273.5716930596284
6656850,273.57133761578746
6656880,273.57086086755425
6656910,273.5702658848108
6656940,273.5695557382275
6656970,273.56873349945465
6657000,273.56780224130944
6657030,273.5667650379578
6657060,273.56562496509184
6657090,273.56438510010196
