timestamp,Occupancy[cor]
11836800,2.0
11836830,2.0
11836860,2.0
11836890,2.0
11836920,2.0
11836950,2.0
11836980,2.0
11837010,2.0
11837040,2.0
11837070,2.0
11837100,2.0
11837130,2.0
11837160,2.0
11837190,2.0
11837220,2.0
11837250,2.0
11837280,2.0
11837310,2.0
11837340,2.0
11837370,2.0
11837400,2.0
11837430,2.0
11837460,2.0
11837490,2.0
11837520,2.0
11837550,2.0
11837580,2.0
11837610,2.0
11837640,2.0
11837670,2.0
11837700,2.0
11837730,2.0
11837760,2.0
11837790,2.0
11837820,2.0
11837850,2.0
11837880,2.0
11837910,2.0
11837940,2.0
11837970,2.0
11838000,2.0
11838030,2.0
11838060,2.0
11838090,2.0
11838120,2.0
11838150,2.0
11838180,2.0
11838210,2.0
11838240,2.0
11838270,2.0
11838300,2.0
11838330,2.0
11838360,2.0
11838390,2.0
11838420,2.0
11838450,2.0
11838480,2.0
11838510,2.0
11838540,2.0
11838570,2.0
11838600,2.0
11838630,2.0
11838660,2.0
11838690,2.0
11838720,2.0
11838750,2.0
11838780,2.0
11838810,2.0
11838840,2.0
11838870,2.0
11838900,2.0
11838930,2.0
11838960,2.0
11838990,2.0
11839020,2.0
11839050,2.0
11839080,2.0
11839110,2.0
11839140,2.0
11839170,2.0
11839200,2.0
11839230,2.0
11839260,2.0
11839290,2.0
11839320,2.0
11839350,2.0
11839380,2.0
11839410,2.0
11839440,2.0
11839470,2.0
11839500,2.0
11839530,2.0
11839560,2.0
11839590,2.0
11839620,2.0
11839650,2.0
11839680,2.0
11839710,2.0
11839740,2.0
11839770,2.0
11839800,2.0
11839830,2.0
11839860,2.0
11839890,2.0
11839920,2.0
11839950,2.0
11839980,2.0
11840010,2.0
11840040,2.0
11840070,2.0
11840100,2.0
11840130,2.0
11840160,2.0
11840190,2.0
11840220,2.0
11840250,2.0
11840280,2.0
11840310,2.0
11840340,2.0
11840370,2.0
11840400,2.0
11840430,2.0
11840460,2.0
11840490,2.0
11840520,2.0
11840550,2.0
11840580,2.0
11840610,2.0
11840640,2.0
11840670,2.0
11840700,2.0
11840730,2.0
11840760,2.0
11840790,2.0
11840820,2.0
11840850,2.0
11840880,2.0
11840910,2.0
11840940,2.0
11840970,2.0
11841000,2.0
11841030,2.0
11841060,2.0
11841090,2.0
11841120,2.0
11841150,2.0
11841180,2.0
11841210,2.0
11841240,2.0
11841270,2.0
11841300,2.0
11841330,2.0
11841360,2.0
11841390,2.0
11841420,2.0
11841450,2.0
11841480,2.0
11841510,2.0
11841540,2.0
11841570,2.0
11841600,2.0
11841630,2.0
11841660,2.0
11841690,2.0
11841720,2.0
11841750,2.0
11841780,2.0
11841810,2.0
11841840,2.0
11841870,2.0
11841900,2.0
11841930,2.0
11841960,2.0
11841990,2.0
11842020,2.0
11842050,2.0
11842080,2.0
11842110,2.0
11842140,2.0
11842170,2.0
11842200,2.0
11842230,2.0
11842260,2.0
11842290,2.0
11842320,2.0
11842350,2.0
11842380,2.0
11842410,2.0
11842440,2.0
11842470,2.0
11842500,2.0
11842530,2.0
11842560,2.0
11842590,2.0
11842620,2.0
11842650,2.0
11842680,2.0
11842710,2.0
11842740,2.0
11842770,2.0
11842800,2.0
11842830,2.0
11842860,2.0
11842890,2.0
11842920,2.0
11842950,2.0
11842980,2.0
11843010,2.0
11843040,2.0
11843070,2.0
11843100,2.0
11843130,2.0
11843160,2.0
11843190,2.0
11843220,2.0
11843250,2.0
11843280,2.0
11843310,2.0
11843340,2.0
11843370,2.0
11843400,2.0
11843430,2.0
11843460,2.0
11843490,2.0
11843520,2.0
11843550,2.0
11843580,2.0
11843610,2.0
11843640,2.0
11843670,2.0
11843700,2.0
11843730,2.0
11843760,2.0
11843790,2.0
11843820,2.0
11843850,2.0
11843880,2.0
11843910,2.0
11843940,2.0
11843970,2.0
11844000,2.0
11844030,2.0
11844060,2.0
11844090,2.0
11844120,2.0
11844150,2.0
11844180,2.0
11844210,2.0
11844240,2.0
11844270,2.0
11844300,2.0
11844330,2.0
11844360,2.0
11844390,2.0
11844420,2.0
11844450,2.0
11844480,2.0
11844510,2.0
11844540,2.0
11844570,2.0
11844600,2.0
11844630,2.0
11844660,2.0
11844690,2.0
11844720,2.0
11844750,2.0
11844780,2.0
11844810,2.0
11844840,2.0
11844870,2.0
11844900,2.0
11844930,2.0
11844960,2.0
11844990,2.0
11845020,2.0
11845050,2.0
11845080,2.0
11845110,2.0
11845140,2.0
11845170,2.0
11845200,2.0
11845230,2.0
11845260,2.0
11845290,2.0
11845320,2.0
11845350,2.0
11845380,2.0
11845410,2.0
11845440,2.0
11845470,2.0
11845500,2.0
11845530,2.0
11845560,2.0
11845590,2.0
11845620,2.0
11845650,2.0
11845680,2.0
11845710,2.0
11845740,2.0
11845770,2.0
11845800,2.0
11845830,2.0
11845860,2.0
11845890,2.0
11845920,2.0
11845950,2.0
11845980,2.0
11846010,2.0
11846040,2.0
11846070,2.0
11846100,2.0
11846130,2.0
11846160,2.0
11846190,2.0
11846220,2.0
11846250,2.0
11846280,2.0
11846310,2.0
11846340,2.0
11846370,2.0
11846400,2.0
11846430,2.0
11846460,2.0
11846490,2.0
11846520,2.0
11846550,2.0
11846580,2.0
11846610,2.0
11846640,2.0
11846670,2.0
11846700,2.0
11846730,2.0
11846760,2.0
11846790,2.0
11846820,2.0
11846850,2.0
11846880,2.0
11846910,2.0
11846940,2.0
11846970,2.0
11847000,2.0
11847030,2.0
11847060,2.0
11847090,2.0
11847120,2.0
11847150,2.0
11847180,2.0
11847210,2.0
11847240,2.0
