,Occupancy[sou]
11837400,0
11838000,0
11838600,0
11839200,0
11839800,0
11840400,0
11841000,0
11841600,0
11842200,0
11842800,0
11843400,0
11844000,0
11844600,0
11845200,0
11845800,0
11846400,0
11847000,0
11847600,0
11848200,0
11848800,0
11849400,0
11850000,0
11850600,0
11851200,0
11851800,0
11852400,0
11853000,0
11853600,0
11854200,0
11854800,0
11855400,0
11856000,0
11856600,0
11857200,0
11857800,0
11858400,0
11859000,0
11859600,0
11860200,0
11860800,0
11861400,0
11862000,0
11862600,0
11863200,0
11863800,0
11864400,0
11865000,0
11865600,0
11866200,0
11866800,2
11867400,4
11868000,4
11868600,7
11869200,9
11869800,9
11870400,9
11871000,9
11871600,9
11872200,9
11872800,9
11873400,9
11874000,9
11874600,9
11875200,9
11875800,9
11876400,9
11877000,9
11877600,9
11878200,9
11878800,9
11879400,9
11880000,8
11880600,8
11881200,8
11881800,8
11882400,8
11883000,8
11883600,10
11884200,10
11884800,10
11885400,10
11886000,10
11886600,10
11887200,10
11887800,10
11888400,10
11889000,10
11889600,10
11890200,10
11890800,10
11891400,10
11892000,10
11892600,10
11893200,10
11893800,10
11894400,10
11895000,10
11895600,10
11896200,10
11896800,10
11897400,10
11898000,10
11898600,10
11899200,9
11899800,8
11900400,8
11901000,6
11901600,5
11902200,5
11902800,4
11903400,3
11904000,3
11904600,2
11905200,1
11905800,1
11906400,1
11907000,0
11907600,0
11908200,0
11908800,0
11909400,0
11910000,0
11910600,0
11911200,0
11911800,0
11912400,0
11913000,0
11913600,0
11914200,0
11914800,0
11915400,0
11916000,0
11916600,0
11917200,0
11917800,0
11918400,0
11919000,0
11919600,0
11920200,0
11920800,0
11921400,0
11922000,0
11922600,0
11923200,0
11923800,0
11924400,0
11925000,0
11925600,0
11926200,0
11926800,0
11927400,0
11928000,0
11928600,0
11929200,0
11929800,0
11930400,0
11931000,0
11931600,0
11932200,0
11932800,0
11933400,0
11934000,0
11934600,0
11935200,0
11935800,0
11936400,0
11937000,0
11937600,0
11938200,0
11938800,0
11939400,0
11940000,0
11940600,0
11941200,0
11941800,0
11942400,0
11943000,0
11943600,0
11944200,0
11944800,0
11945400,0
11946000,0
11946600,0
11947200,0
11947800,0
11948400,0
11949000,0
11949600,0
11950200,0
11950800,0
11951400,0
11952000,0
11952600,0
11953200,2
11953800,4
11954400,4
11955000,7
11955600,9
11956200,9
11956800,9
11957400,9
11958000,9
11958600,9
11959200,9
11959800,9
11960400,9
11961000,9
11961600,9
11962200,9
11962800,9
11963400,9
11964000,9
11964600,9
11965200,9
11965800,9
11966400,8
11967000,8
11967600,8
11968200,8
11968800,8
11969400,8
11970000,10
11970600,10
11971200,10
11971800,10
11972400,10
11973000,10
11973600,10
11974200,10
11974800,10
11975400,10
11976000,10
11976600,10
11977200,10
11977800,10
11978400,10
11979000,10
11979600,10
11980200,10
11980800,10
11981400,10
11982000,10
11982600,10
11983200,10
11983800,10
11984400,10
11985000,10
11985600,9
11986200,8
11986800,8
11987400,6
11988000,5
11988600,5
11989200,4
11989800,3
11990400,3
11991000,2
11991600,1
11992200,1
11992800,1
11993400,0
11994000,0
11994600,0
11995200,0
11995800,0
11996400,0
11997000,0
11997600,0
11998200,0
11998800,0
11999400,0
12000000,0
12000600,0
12001200,0
12001800,0
12002400,0
12003000,0
12003600,0
12004200,0
12004800,0
12005400,0
12006000,0
12006600,0
12007200,0
12007800,0
12008400,0
12009000,0
12009600,0
12010200,0
12010800,0
12011400,0
12012000,0
12012600,0
12013200,0
12013800,0
12014400,0
12015000,0
12015600,0
12016200,0
12016800,0
12017400,0
12018000,0
12018600,0
12019200,0
12019800,0
12020400,0
12021000,0
12021600,0
12022200,0
12022800,0
12023400,0
12024000,0
12024600,0
12025200,0
12025800,0
12026400,0
12027000,0
12027600,0
12028200,0
12028800,0
12029400,0
12030000,0
12030600,0
12031200,0
12031800,0
12032400,0
12033000,0
12033600,0
12034200,0
12034800,0
12035400,0
12036000,0
12036600,0
12037200,0
12037800,0
12038400,0
12039000,0
12039600,2
12040200,4
12040800,4
12041400,7
12042000,9
12042600,9
12043200,9
12043800,9
12044400,9
12045000,9
12045600,9
12046200,9
12046800,9
12047400,9
12048000,9
12048600,9
12049200,9
12049800,9
12050400,9
12051000,9
12051600,9
12052200,9
12052800,8
12053400,8
12054000,8
12054600,8
12055200,8
12055800,8
12056400,10
12057000,10
12057600,10
12058200,10
12058800,10
12059400,10
12060000,10
12060600,10
12061200,10
12061800,10
12062400,10
12063000,10
12063600,10
12064200,10
12064800,10
12065400,10
12066000,10
12066600,10
12067200,10
12067800,10
12068400,10
12069000,10
12069600,10
12070200,10
12070800,10
12071400,10
12072000,9
12072600,8
12073200,8
12073800,6
12074400,5
12075000,5
12075600,4
12076200,3
12076800,3
12077400,2
12078000,1
12078600,1
12079200,1
12079800,0
12080400,0
12081000,0
12081600,0
12082200,0
12082800,0
12083400,0
12084000,0
12084600,0
12085200,0
12085800,0
12086400,0
12087000,0
12087600,0
12088200,0
12088800,0
12089400,0
12090000,0
12090600,0
12091200,0
12091800,0
12092400,0
12093000,0
12093600,0
12094200,0
12094800,0
12095400,0
12096000,0
12096600,0
12097200,0
12097800,0
12098400,0
12099000,0
12099600,0
12100200,0
12100800,0
12101400,0
12102000,0
12102600,0
12103200,0
12103800,0
12104400,0
12105000,0
12105600,0
12106200,0
12106800,0
12107400,0
12108000,0
12108600,0
12109200,0
12109800,0
12110400,0
12111000,0
12111600,0
12112200,0
12112800,0
12113400,0
12114000,0
12114600,0
12115200,0
12115800,0
12116400,0
12117000,0
12117600,0
12118200,0
12118800,0
12119400,0
12120000,0
12120600,0
12121200,0
12121800,0
12122400,0
12123000,0
12123600,0
12124200,0
12124800,0
12125400,0
12126000,2
12126600,4
12127200,4
12127800,7
12128400,9
12129000,9
12129600,9
12130200,9
12130800,9
12131400,9
12132000,9
12132600,9
12133200,9
12133800,9
12134400,9
12135000,9
12135600,9
12136200,9
12136800,9
12137400,9
12138000,9
12138600,9
12139200,8
12139800,8
12140400,8
12141000,8
12141600,8
12142200,8
12142800,10
12143400,10
12144000,10
12144600,10
12145200,10
12145800,10
12146400,10
12147000,10
12147600,10
12148200,10
12148800,10
12149400,10
12150000,10
12150600,10
12151200,10
12151800,10
12152400,10
12153000,10
12153600,10
12154200,10
12154800,10
12155400,10
12156000,10
12156600,10
12157200,10
12157800,10
12158400,9
12159000,8
12159600,8
12160200,6
12160800,5
12161400,5
12162000,4
12162600,3
12163200,3
12163800,2
12164400,1
12165000,1
12165600,1
12166200,0
12166800,0
12167400,0
12168000,0
12168600,0
12169200,0
12169800,0
12170400,0
12171000,0
12171600,0
12172200,0
12172800,0
12173400,0
12174000,0
12174600,0
12175200,0
12175800,0
12176400,0
12177000,0
12177600,0
12178200,0
12178800,0
12179400,0
12180000,0
12180600,0
12181200,0
12181800,0
12182400,0
12183000,0
12183600,0
12184200,0
12184800,0
12185400,0
12186000,0
12186600,0
12187200,0
12187800,0
12188400,0
12189000,0
12189600,0
12190200,0
12190800,0
12191400,0
12192000,0
12192600,0
12193200,0
12193800,0
12194400,0
12195000,0
12195600,0
12196200,0
12196800,0
12197400,0
12198000,0
12198600,0
12199200,0
12199800,0
12200400,0
12201000,0
12201600,0
12202200,0
12202800,0
12203400,0
12204000,0
12204600,0
12205200,0
12205800,0
12206400,0
12207000,0
12207600,0
12208200,0
12208800,0
12209400,0
12210000,0
12210600,0
12211200,0
12211800,0
12212400,2
12213000,4
12213600,4
12214200,7
12214800,9
12215400,9
12216000,9
12216600,9
12217200,9
12217800,9
12218400,9
12219000,9
12219600,9
12220200,9
12220800,9
12221400,9
12222000,9
12222600,9
12223200,9
12223800,9
12224400,9
12225000,9
12225600,8
12226200,8
12226800,8
12227400,8
12228000,8
12228600,8
12229200,10
12229800,10
12230400,10
12231000,10
12231600,10
12232200,10
12232800,10
12233400,10
12234000,10
12234600,10
12235200,10
12235800,10
12236400,10
12237000,10
12237600,10
12238200,10
12238800,10
12239400,10
12240000,10
12240600,10
12241200,10
12241800,10
12242400,10
12243000,10
12243600,10
12244200,10
12244800,9
12245400,8
12246000,8
12246600,6
12247200,5
12247800,5
12248400,4
12249000,3
12249600,3
12250200,2
12250800,1
12251400,1
12252000,1
12252600,0
12253200,0
12253800,0
12254400,0
12255000,0
12255600,0
12256200,0
12256800,0
12257400,0
12258000,0
12258600,0
12259200,0
12259800,0
12260400,0
12261000,0
12261600,0
12262200,0
12262800,0
12263400,0
12264000,0
12264600,0
12265200,0
12265800,0
12266400,0
12267000,0
12267600,0
12268200,0
12268800,0
12269400,0
12270000,0
12270600,0
12271200,0
12271800,0
12272400,0
12273000,0
12273600,0
12274200,0
12274800,0
12275400,0
12276000,0
12276600,0
12277200,0
12277800,0
12278400,0
12279000,0
12279600,0
12280200,0
12280800,0
12281400,0
12282000,0
12282600,0
12283200,0
12283800,0
12284400,0
12285000,0
12285600,0
12286200,0
12286800,0
12287400,0
12288000,0
12288600,0
12289200,0
12289800,0
12290400,0
12291000,0
12291600,0
12292200,0
12292800,0
12293400,0
12294000,0
12294600,0
12295200,0
12295800,0
12296400,0
12297000,0
12297600,0
12298200,0
12298800,2
12299400,4
12300000,4
12300600,7
12301200,9
12301800,9
12302400,9
12303000,9
12303600,9
12304200,9
12304800,9
12305400,9
12306000,9
12306600,9
12307200,9
12307800,9
12308400,9
12309000,9
12309600,9
12310200,9
12310800,9
12311400,9
12312000,8
12312600,8
12313200,8
12313800,8
12314400,8
12315000,8
12315600,10
12316200,10
12316800,10
12317400,10
12318000,10
12318600,10
12319200,10
12319800,10
12320400,10
12321000,10
12321600,10
12322200,10
12322800,10
12323400,10
12324000,10
12324600,10
12325200,10
12325800,10
12326400,10
12327000,10
12327600,10
12328200,10
12328800,10
12329400,10
12330000,10
12330600,10
12331200,9
12331800,8
12332400,8
12333000,6
12333600,5
12334200,5
12334800,4
12335400,3
12336000,3
12336600,2
12337200,1
12337800,1
12338400,1
12339000,0
12339600,0
12340200,0
12340800,0
12341400,0
12342000,0
12342600,0
12343200,0
12343800,0
12344400,0
12345000,0
12345600,0
12346200,0
12346800,0
12347400,0
12348000,0
12348600,0
12349200,0
12349800,0
12350400,0
12351000,0
12351600,0
12352200,0
12352800,0
12353400,0
12354000,0
12354600,0
12355200,0
12355800,0
12356400,0
12357000,0
12357600,0
12358200,0
12358800,0
12359400,0
12360000,0
12360600,0
12361200,0
12361800,0
12362400,0
12363000,0
12363600,0
12364200,0
12364800,0
12365400,0
12366000,0
12366600,0
12367200,0
12367800,0
12368400,0
12369000,0
12369600,0
12370200,0
12370800,0
12371400,0
12372000,0
12372600,0
12373200,0
12373800,0
12374400,0
12375000,0
12375600,0
12376200,0
12376800,0
12377400,0
12378000,0
12378600,0
12379200,0
12379800,0
12380400,0
12381000,0
12381600,0
12382200,0
12382800,0
12383400,0
12384000,0
12384600,0
12385200,2
12385800,4
12386400,4
12387000,7
12387600,9
12388200,9
12388800,9
