,Occupancy[wes]
11837400,0
11838000,0
11838600,0
11839200,0
11839800,0
11840400,0
11841000,0
11841600,0
11842200,0
11842800,0
11843400,0
11844000,0
11844600,0
11845200,0
11845800,0
11846400,0
11847000,0
11847600,0
11848200,0
11848800,0
11849400,0
11850000,0
11850600,0
11851200,0
11851800,0
11852400,0
11853000,0
11853600,0
11854200,0
11854800,0
11855400,0
11856000,0
11856600,0
11857200,0
11857800,0
11858400,0
11859000,0
11859600,0
11860200,0
11860800,0
11861400,0
11862000,0
11862600,0
11863200,0
11863800,0
11864400,0
11865000,0
11865600,0
11866200,0
11866800,1
11867400,3
11868000,3
11868600,4
11869200,5
11869800,5
11870400,5
11871000,5
11871600,5
11872200,5
11872800,5
11873400,5
11874000,5
11874600,5
11875200,5
11875800,5
11876400,5
11877000,5
11877600,5
11878200,5
11878800,5
11879400,5
11880000,5
11880600,5
11881200,5
11881800,5
11882400,5
11883000,5
11883600,6
11884200,6
11884800,6
11885400,6
11886000,6
11886600,6
11887200,6
11887800,6
11888400,6
11889000,6
11889600,6
11890200,6
11890800,6
11891400,6
11892000,6
11892600,6
11893200,6
11893800,6
11894400,6
11895000,6
11895600,6
11896200,6
11896800,6
11897400,6
11898000,6
11898600,6
11899200,5
11899800,5
11900400,5
11901000,4
11901600,3
11902200,3
11902800,2
11903400,2
11904000,2
11904600,1
11905200,0
11905800,0
11906400,0
11907000,0
11907600,0
11908200,0
11908800,0
11909400,0
11910000,0
11910600,0
11911200,0
11911800,0
11912400,0
11913000,0
11913600,0
11914200,0
11914800,0
11915400,0
11916000,0
11916600,0
11917200,0
11917800,0
11918400,0
11919000,0
11919600,0
11920200,0
11920800,0
11921400,0
11922000,0
11922600,0
11923200,0
11923800,0
11924400,0
11925000,0
11925600,0
11926200,0
11926800,0
11927400,0
11928000,0
11928600,0
11929200,0
11929800,0
11930400,0
11931000,0
11931600,0
11932200,0
11932800,0
11933400,0
11934000,0
11934600,0
11935200,0
11935800,0
11936400,0
11937000,0
11937600,0
11938200,0
11938800,0
11939400,0
11940000,0
11940600,0
11941200,0
11941800,0
11942400,0
11943000,0
11943600,0
11944200,0
11944800,0
11945400,0
11946000,0
11946600,0
11947200,0
11947800,0
11948400,0
11949000,0
11949600,0
11950200,0
11950800,0
11951400,0
11952000,0
11952600,0
11953200,1
11953800,3
11954400,3
11955000,4
11955600,5
11956200,5
11956800,5
11957400,5
11958000,5
11958600,5
11959200,5
11959800,5
11960400,5
11961000,5
11961600,5
11962200,5
11962800,5
11963400,5
11964000,5
11964600,5
11965200,5
11965800,5
11966400,5
11967000,5
11967600,5
11968200,5
11968800,5
11969400,5
11970000,6
11970600,6
11971200,6
11971800,6
11972400,6
11973000,6
11973600,6
11974200,6
11974800,6
11975400,6
11976000,6
11976600,6
11977200,6
11977800,6
11978400,6
11979000,6
11979600,6
11980200,6
11980800,6
11981400,6
11982000,6
11982600,6
11983200,6
11983800,6
11984400,6
11985000,6
11985600,5
11986200,5
11986800,5
11987400,4
11988000,3
11988600,3
11989200,2
11989800,2
11990400,2
11991000,1
11991600,0
11992200,0
11992800,0
11993400,0
11994000,0
11994600,0
11995200,0
11995800,0
11996400,0
11997000,0
11997600,0
11998200,0
11998800,0
11999400,0
12000000,0
12000600,0
12001200,0
12001800,0
12002400,0
12003000,0
12003600,0
12004200,0
12004800,0
12005400,0
12006000,0
12006600,0
12007200,0
12007800,0
12008400,0
12009000,0
12009600,0
12010200,0
12010800,0
12011400,0
12012000,0
12012600,0
12013200,0
12013800,0
12014400,0
12015000,0
12015600,0
12016200,0
12016800,0
12017400,0
12018000,0
12018600,0
12019200,0
12019800,0
12020400,0
12021000,0
12021600,0
12022200,0
12022800,0
12023400,0
12024000,0
12024600,0
12025200,0
12025800,0
12026400,0
12027000,0
12027600,0
12028200,0
12028800,0
12029400,0
12030000,0
12030600,0
12031200,0
12031800,0
12032400,0
12033000,0
12033600,0
12034200,0
12034800,0
12035400,0
12036000,0
12036600,0
12037200,0
12037800,0
12038400,0
12039000,0
12039600,1
12040200,3
12040800,3
12041400,4
12042000,5
12042600,5
12043200,5
12043800,5
12044400,5
12045000,5
12045600,5
12046200,5
12046800,5
12047400,5
12048000,5
12048600,5
12049200,5
12049800,5
12050400,5
12051000,5
12051600,5
12052200,5
12052800,5
12053400,5
12054000,5
12054600,5
12055200,5
12055800,5
12056400,6
12057000,6
12057600,6
12058200,6
12058800,6
12059400,6
12060000,6
12060600,6
12061200,6
12061800,6
12062400,6
12063000,6
12063600,6
12064200,6
12064800,6
12065400,6
12066000,6
12066600,6
12067200,6
12067800,6
12068400,6
12069000,6
12069600,6
12070200,6
12070800,6
12071400,6
12072000,5
12072600,5
12073200,5
12073800,4
12074400,3
12075000,3
12075600,2
12076200,2
12076800,2
12077400,1
12078000,0
12078600,0
12079200,0
12079800,0
12080400,0
12081000,0
12081600,0
12082200,0
12082800,0
12083400,0
12084000,0
12084600,0
12085200,0
12085800,0
12086400,0
12087000,0
12087600,0
12088200,0
12088800,0
12089400,0
12090000,0
12090600,0
12091200,0
12091800,0
12092400,0
12093000,0
12093600,0
12094200,0
12094800,0
12095400,0
12096000,0
12096600,0
12097200,0
12097800,0
12098400,0
12099000,0
12099600,0
12100200,0
12100800,0
12101400,0
12102000,0
12102600,0
12103200,0
12103800,0
12104400,0
12105000,0
12105600,0
12106200,0
12106800,0
12107400,0
12108000,0
12108600,0
12109200,0
12109800,0
12110400,0
12111000,0
12111600,0
12112200,0
12112800,0
12113400,0
12114000,0
12114600,0
12115200,0
12115800,0
12116400,0
12117000,0
12117600,0
12118200,0
12118800,0
12119400,0
12120000,0
12120600,0
12121200,0
12121800,0
12122400,0
12123000,0
12123600,0
12124200,0
12124800,0
12125400,0
12126000,1
12126600,3
12127200,3
12127800,4
12128400,5
12129000,5
12129600,5
12130200,5
12130800,5
12131400,5
12132000,5
12132600,5
12133200,5
12133800,5
12134400,5
12135000,5
12135600,5
12136200,5
12136800,5
12137400,5
12138000,5
12138600,5
12139200,5
12139800,5
12140400,5
12141000,5
12141600,5
12142200,5
12142800,6
12143400,6
12144000,6
12144600,6
12145200,6
12145800,6
12146400,6
12147000,6
12147600,6
12148200,6
12148800,6
12149400,6
12150000,6
12150600,6
12151200,6
12151800,6
12152400,6
12153000,6
12153600,6
12154200,6
12154800,6
12155400,6
12156000,6
12156600,6
12157200,6
12157800,6
12158400,5
12159000,5
12159600,5
12160200,4
12160800,3
12161400,3
12162000,2
12162600,2
12163200,2
12163800,1
12164400,0
12165000,0
12165600,0
12166200,0
12166800,0
12167400,0
12168000,0
12168600,0
12169200,0
12169800,0
12170400,0
12171000,0
12171600,0
12172200,0
12172800,0
12173400,0
12174000,0
12174600,0
12175200,0
12175800,0
12176400,0
12177000,0
12177600,0
12178200,0
12178800,0
12179400,0
12180000,0
12180600,0
12181200,0
12181800,0
12182400,0
12183000,0
12183600,0
12184200,0
12184800,0
12185400,0
12186000,0
12186600,0
12187200,0
12187800,0
12188400,0
12189000,0
12189600,0
12190200,0
12190800,0
12191400,0
12192000,0
12192600,0
12193200,0
12193800,0
12194400,0
12195000,0
12195600,0
12196200,0
12196800,0
12197400,0
12198000,0
12198600,0
12199200,0
12199800,0
12200400,0
12201000,0
12201600,0
12202200,0
12202800,0
12203400,0
12204000,0
12204600,0
12205200,0
12205800,0
12206400,0
12207000,0
12207600,0
12208200,0
12208800,0
12209400,0
12210000,0
12210600,0
12211200,0
12211800,0
12212400,1
12213000,3
12213600,3
12214200,4
12214800,5
12215400,5
12216000,5
12216600,5
12217200,5
12217800,5
12218400,5
12219000,5
12219600,5
12220200,5
12220800,5
12221400,5
12222000,5
12222600,5
12223200,5
12223800,5
12224400,5
12225000,5
12225600,5
12226200,5
12226800,5
12227400,5
12228000,5
12228600,5
12229200,6
12229800,6
12230400,6
12231000,6
12231600,6
12232200,6
12232800,6
12233400,6
12234000,6
12234600,6
12235200,6
12235800,6
12236400,6
12237000,6
12237600,6
12238200,6
12238800,6
12239400,6
12240000,6
12240600,6
12241200,6
12241800,6
12242400,6
12243000,6
12243600,6
12244200,6
12244800,5
12245400,5
12246000,5
12246600,4
12247200,3
12247800,3
12248400,2
12249000,2
12249600,2
12250200,1
12250800,0
12251400,0
12252000,0
12252600,0
12253200,0
12253800,0
12254400,0
12255000,0
12255600,0
12256200,0
12256800,0
12257400,0
12258000,0
12258600,0
12259200,0
12259800,0
12260400,0
12261000,0
12261600,0
12262200,0
12262800,0
12263400,0
12264000,0
12264600,0
12265200,0
12265800,0
12266400,0
12267000,0
12267600,0
12268200,0
12268800,0
12269400,0
12270000,0
12270600,0
12271200,0
12271800,0
12272400,0
12273000,0
12273600,0
12274200,0
12274800,0
12275400,0
12276000,0
12276600,0
12277200,0
12277800,0
12278400,0
12279000,0
12279600,0
12280200,0
12280800,0
12281400,0
12282000,0
12282600,0
12283200,0
12283800,0
12284400,0
12285000,0
12285600,0
12286200,0
12286800,0
12287400,0
12288000,0
12288600,0
12289200,0
12289800,0
12290400,0
12291000,0
12291600,0
12292200,0
12292800,0
12293400,0
12294000,0
12294600,0
12295200,0
12295800,0
12296400,0
12297000,0
12297600,0
12298200,0
12298800,1
12299400,3
12300000,3
12300600,4
12301200,5
12301800,5
12302400,5
12303000,5
12303600,5
12304200,5
12304800,5
12305400,5
12306000,5
12306600,5
12307200,5
12307800,5
12308400,5
12309000,5
12309600,5
12310200,5
12310800,5
12311400,5
12312000,5
12312600,5
12313200,5
12313800,5
12314400,5
12315000,5
12315600,6
12316200,6
12316800,6
12317400,6
12318000,6
12318600,6
12319200,6
12319800,6
12320400,6
12321000,6
12321600,6
12322200,6
12322800,6
12323400,6
12324000,6
12324600,6
12325200,6
12325800,6
12326400,6
12327000,6
12327600,6
12328200,6
12328800,6
12329400,6
12330000,6
12330600,6
12331200,5
12331800,5
12332400,5
12333000,4
12333600,3
12334200,3
12334800,2
12335400,2
12336000,2
12336600,1
12337200,0
12337800,0
12338400,0
12339000,0
12339600,0
12340200,0
12340800,0
12341400,0
12342000,0
12342600,0
12343200,0
12343800,0
12344400,0
12345000,0
12345600,0
12346200,0
12346800,0
12347400,0
12348000,0
12348600,0
12349200,0
12349800,0
12350400,0
12351000,0
12351600,0
12352200,0
12352800,0
12353400,0
12354000,0
12354600,0
12355200,0
12355800,0
12356400,0
12357000,0
12357600,0
12358200,0
12358800,0
12359400,0
12360000,0
12360600,0
12361200,0
12361800,0
12362400,0
12363000,0
12363600,0
12364200,0
12364800,0
12365400,0
12366000,0
12366600,0
12367200,0
12367800,0
12368400,0
12369000,0
12369600,0
12370200,0
12370800,0
12371400,0
12372000,0
12372600,0
12373200,0
12373800,0
12374400,0
12375000,0
12375600,0
12376200,0
12376800,0
12377400,0
12378000,0
12378600,0
12379200,0
12379800,0
12380400,0
12381000,0
12381600,0
12382200,0
12382800,0
12383400,0
12384000,0
12384600,0
12385200,1
12385800,3
12386400,3
12387000,4
12387600,5
12388200,5
12388800,5
