,UpperCO2[eas]
11837400,894
11838000,894
11838600,894
11839200,894
11839800,894
11840400,894
11841000,894
11841600,894
11842200,894
11842800,894
11843400,894
11844000,894
11844600,894
11845200,894
11845800,894
11846400,894
11847000,894
11847600,894
11848200,894
11848800,894
11849400,894
11850000,894
11850600,894
11851200,894
11851800,894
11852400,894
11853000,894
11853600,894
11854200,894
11854800,894
11855400,894
11856000,894
11856600,894
11857200,894
11857800,894
11858400,894
11859000,894
11859600,894
11860200,894
11860800,894
11861400,894
11862000,894
11862600,894
11863200,894
11863800,894
11864400,894
11865000,894
11865600,894
11866200,894
11866800,894
11867400,894
11868000,894
11868600,894
11869200,894
11869800,894
11870400,894
11871000,894
11871600,894
11872200,894
11872800,894
11873400,894
11874000,894
11874600,894
11875200,894
11875800,894
11876400,894
11877000,894
11877600,894
11878200,894
11878800,894
11879400,894
11880000,894
11880600,894
11881200,894
11881800,894
11882400,894
11883000,894
11883600,894
11884200,894
11884800,894
11885400,894
11886000,894
11886600,894
11887200,894
11887800,894
11888400,894
11889000,894
11889600,894
11890200,894
11890800,894
11891400,894
11892000,894
11892600,894
11893200,894
11893800,894
11894400,894
11895000,894
11895600,894
11896200,894
11896800,894
11897400,894
11898000,894
11898600,894
11899200,894
11899800,894
11900400,894
11901000,894
11901600,894
11902200,894
11902800,894
11903400,894
11904000,894
11904600,894
11905200,894
11905800,894
11906400,894
11907000,894
11907600,894
11908200,894
11908800,894
11909400,894
11910000,894
11910600,894
11911200,894
11911800,894
11912400,894
11913000,894
11913600,894
11914200,894
11914800,894
11915400,894
11916000,894
11916600,894
11917200,894
11917800,894
11918400,894
11919000,894
11919600,894
11920200,894
11920800,894
11921400,894
11922000,894
11922600,894
11923200,894
11923800,894
11924400,894
11925000,894
11925600,894
11926200,894
11926800,894
11927400,894
11928000,894
11928600,894
11929200,894
11929800,894
11930400,894
11931000,894
11931600,894
11932200,894
11932800,894
11933400,894
11934000,894
11934600,894
11935200,894
11935800,894
11936400,894
11937000,894
11937600,894
11938200,894
11938800,894
11939400,894
11940000,894
11940600,894
11941200,894
11941800,894
11942400,894
11943000,894
11943600,894
11944200,894
11944800,894
11945400,894
11946000,894
11946600,894
11947200,894
11947800,894
11948400,894
11949000,894
11949600,894
11950200,894
11950800,894
11951400,894
11952000,894
11952600,894
11953200,894
11953800,894
11954400,894
11955000,894
11955600,894
11956200,894
11956800,894
11957400,894
11958000,894
11958600,894
11959200,894
11959800,894
11960400,894
11961000,894
11961600,894
11962200,894
11962800,894
11963400,894
11964000,894
11964600,894
11965200,894
11965800,894
11966400,894
11967000,894
11967600,894
11968200,894
11968800,894
11969400,894
11970000,894
11970600,894
11971200,894
11971800,894
11972400,894
11973000,894
11973600,894
11974200,894
11974800,894
11975400,894
11976000,894
11976600,894
11977200,894
11977800,894
11978400,894
11979000,894
11979600,894
11980200,894
11980800,894
11981400,894
11982000,894
11982600,894
11983200,894
11983800,894
11984400,894
11985000,894
11985600,894
11986200,894
11986800,894
11987400,894
11988000,894
11988600,894
11989200,894
11989800,894
11990400,894
11991000,894
11991600,894
11992200,894
11992800,894
11993400,894
11994000,894
11994600,894
11995200,894
11995800,894
11996400,894
11997000,894
11997600,894
11998200,894
11998800,894
11999400,894
12000000,894
12000600,894
12001200,894
12001800,894
12002400,894
12003000,894
12003600,894
12004200,894
12004800,894
12005400,894
12006000,894
12006600,894
12007200,894
12007800,894
12008400,894
12009000,894
12009600,894
12010200,894
12010800,894
12011400,894
12012000,894
12012600,894
12013200,894
12013800,894
12014400,894
