timestamp,UpperCO2[sou]
11836800,894.0
11836830,894.0
11836860,894.0
11836890,894.0
11836920,894.0
11836950,894.0
11836980,894.0
11837010,894.0
11837040,894.0
11837070,894.0
11837100,894.0
11837130,894.0
11837160,894.0
11837190,894.0
11837220,894.0
11837250,894.0
11837280,894.0
11837310,894.0
11837340,894.0
11837370,894.0
11837400,894.0
11837430,894.0
11837460,894.0
11837490,894.0
11837520,894.0
11837550,894.0
11837580,894.0
11837610,894.0
11837640,894.0
11837670,894.0
11837700,894.0
11837730,894.0
11837760,894.0
11837790,894.0
11837820,894.0
11837850,894.0
11837880,894.0
11837910,894.0
11837940,894.0
11837970,894.0
11838000,894.0
11838030,894.0
11838060,894.0
11838090,894.0
11838120,894.0
11838150,894.0
11838180,894.0
11838210,894.0
11838240,894.0
11838270,894.0
11838300,894.0
11838330,894.0
11838360,894.0
11838390,894.0
11838420,894.0
11838450,894.0
11838480,894.0
11838510,894.0
11838540,894.0
11838570,894.0
11838600,894.0
11838630,894.0
11838660,894.0
11838690,894.0
11838720,894.0
11838750,894.0
11838780,894.0
11838810,894.0
11838840,894.0
11838870,894.0
11838900,894.0
11838930,894.0
11838960,894.0
11838990,894.0
11839020,894.0
11839050,894.0
11839080,894.0
11839110,894.0
11839140,894.0
11839170,894.0
11839200,894.0
11839230,894.0
11839260,894.0
11839290,894.0
11839320,894.0
11839350,894.0
11839380,894.0
11839410,894.0
11839440,894.0
11839470,894.0
11839500,894.0
11839530,894.0
11839560,894.0
11839590,894.0
11839620,894.0
11839650,894.0
11839680,894.0
11839710,894.0
11839740,894.0
11839770,894.0
11839800,894.0
11839830,894.0
11839860,894.0
11839890,894.0
11839920,894.0
11839950,894.0
11839980,894.0
11840010,894.0
11840040,894.0
11840070,894.0
11840100,894.0
11840130,894.0
11840160,894.0
11840190,894.0
11840220,894.0
11840250,894.0
11840280,894.0
11840310,894.0
11840340,894.0
11840370,894.0
11840400,894.0
11840430,894.0
11840460,894.0
11840490,894.0
11840520,894.0
11840550,894.0
11840580,894.0
11840610,894.0
11840640,894.0
11840670,894.0
11840700,894.0
11840730,894.0
11840760,894.0
11840790,894.0
11840820,894.0
11840850,894.0
11840880,894.0
11840910,894.0
11840940,894.0
11840970,894.0
11841000,894.0
11841030,894.0
11841060,894.0
11841090,894.0
11841120,894.0
11841150,894.0
11841180,894.0
11841210,894.0
11841240,894.0
11841270,894.0
11841300,894.0
11841330,894.0
11841360,894.0
11841390,894.0
11841420,894.0
11841450,894.0
11841480,894.0
11841510,894.0
11841540,894.0
11841570,894.0
11841600,894.0
11841630,894.0
11841660,894.0
11841690,894.0
11841720,894.0
11841750,894.0
11841780,894.0
11841810,894.0
11841840,894.0
11841870,894.0
11841900,894.0
11841930,894.0
11841960,894.0
11841990,894.0
11842020,894.0
11842050,894.0
11842080,894.0
11842110,894.0
11842140,894.0
11842170,894.0
11842200,894.0
11842230,894.0
11842260,894.0
11842290,894.0
11842320,894.0
11842350,894.0
11842380,894.0
11842410,894.0
11842440,894.0
11842470,894.0
11842500,894.0
11842530,894.0
11842560,894.0
11842590,894.0
11842620,894.0
11842650,894.0
11842680,894.0
11842710,894.0
11842740,894.0
11842770,894.0
11842800,894.0
11842830,894.0
11842860,894.0
11842890,894.0
11842920,894.0
11842950,894.0
11842980,894.0
11843010,894.0
11843040,894.0
11843070,894.0
11843100,894.0
11843130,894.0
11843160,894.0
11843190,894.0
11843220,894.0
11843250,894.0
11843280,894.0
11843310,894.0
11843340,894.0
11843370,894.0
11843400,894.0
11843430,894.0
11843460,894.0
11843490,894.0
11843520,894.0
11843550,894.0
11843580,894.0
11843610,894.0
11843640,894.0
11843670,894.0
11843700,894.0
11843730,894.0
11843760,894.0
11843790,894.0
11843820,894.0
11843850,894.0
11843880,894.0
11843910,894.0
11843940,894.0
11843970,894.0
11844000,894.0
11844030,894.0
11844060,894.0
11844090,894.0
11844120,894.0
11844150,894.0
11844180,894.0
11844210,894.0
11844240,894.0
11844270,894.0
11844300,894.0
11844330,894.0
11844360,894.0
11844390,894.0
11844420,894.0
11844450,894.0
11844480,894.0
11844510,894.0
11844540,894.0
11844570,894.0
11844600,894.0
11844630,894.0
11844660,894.0
11844690,894.0
11844720,894.0
11844750,894.0
11844780,894.0
11844810,894.0
11844840,894.0
11844870,894.0
11844900,894.0
11844930,894.0
11844960,894.0
11844990,894.0
11845020,894.0
11845050,894.0
11845080,894.0
11845110,894.0
11845140,894.0
11845170,894.0
11845200,894.0
11845230,894.0
11845260,894.0
11845290,894.0
11845320,894.0
11845350,894.0
11845380,894.0
11845410,894.0
11845440,894.0
11845470,894.0
11845500,894.0
11845530,894.0
11845560,894.0
11845590,894.0
11845620,894.0
11845650,894.0
11845680,894.0
11845710,894.0
11845740,894.0
11845770,894.0
11845800,894.0
11845830,894.0
11845860,894.0
11845890,894.0
11845920,894.0
11845950,894.0
11845980,894.0
11846010,894.0
11846040,894.0
11846070,894.0
11846100,894.0
11846130,894.0
11846160,894.0
11846190,894.0
11846220,894.0
11846250,894.0
11846280,894.0
11846310,894.0
11846340,894.0
11846370,894.0
11846400,894.0
11846430,894.0
11846460,894.0
11846490,894.0
11846520,894.0
11846550,894.0
11846580,894.0
11846610,894.0
11846640,894.0
11846670,894.0
11846700,894.0
11846730,894.0
11846760,894.0
11846790,894.0
11846820,894.0
11846850,894.0
11846880,894.0
11846910,894.0
11846940,894.0
11846970,894.0
11847000,894.0
11847030,894.0
11847060,894.0
11847090,894.0
11847120,894.0
11847150,894.0
11847180,894.0
11847210,894.0
11847240,894.0
11847270,894.0
11847300,894.0
11847330,894.0
11847360,894.0
11847390,894.0
11847420,894.0
11847450,894.0
11847480,894.0
11847510,894.0
11847540,894.0
11847570,894.0
11847600,894.0
11847630,894.0
11847660,894.0
11847690,894.0
11847720,894.0
11847750,894.0
11847780,894.0
11847810,894.0
11847840,894.0
11847870,894.0
11847900,894.0
11847930,894.0
11847960,894.0
11847990,894.0
11848020,894.0
11848050,894.0
11848080,894.0
11848110,894.0
11848140,894.0
11848170,894.0
11848200,894.0
11848230,894.0
11848260,894.0
11848290,894.0
11848320,894.0
11848350,894.0
11848380,894.0
11848410,894.0
11848440,894.0
11848470,894.0
11848500,894.0
11848530,894.0
11848560,894.0
11848590,894.0
11848620,894.0
11848650,894.0
11848680,894.0
11848710,894.0
11848740,894.0
11848770,894.0
11848800,894.0
11848830,894.0
11848860,894.0
11848890,894.0
11848920,894.0
11848950,894.0
11848980,894.0
11849010,894.0
