time,hvac_oveAhu_yRet_u
11836800,1.0
11836830,1.0
11836860,1.0
11836890,1.0
11836920,1.0
11836950,1.0
11836980,1.0
11837010,1.0
11837040,1.0
11837070,1.0
11837100,1.0
11837130,1.0
11837160,1.0
11837190,1.0
11837220,1.0
11837250,1.0
11837280,1.0
11837310,1.0
11837340,1.0
11837370,1.0
11837400,1.0
11837430,1.0
11837460,1.0
11837490,1.0
11837520,1.0
11837550,1.0
11837580,1.0
11837610,1.0
11837640,1.0
11837670,1.0
11837700,1.0
11837730,1.0
11837760,1.0
11837790,1.0
11837820,1.0
11837850,1.0
11837880,1.0
11837910,1.0
11837940,1.0
11837970,1.0
11838000,1.0
11838030,1.0
11838060,1.0
11838090,1.0
11838120,1.0
11838150,1.0
11838180,1.0
11838210,1.0
11838240,1.0
11838270,1.0
11838300,1.0
11838330,1.0
11838360,1.0
11838390,1.0
11838420,1.0
11838450,1.0
11838480,1.0
11838510,1.0
11838540,1.0
11838570,1.0
11838600,1.0
11838630,1.0
11838660,1.0
11838690,1.0
11838720,1.0
11838750,1.0
11838780,1.0
11838810,1.0
11838840,1.0
11838870,1.0
11838900,1.0
11838930,1.0
11838960,1.0
11838990,1.0
11839020,1.0
11839050,1.0
11839080,1.0
11839110,1.0
11839140,1.0
11839170,1.0
11839200,1.0
11839230,1.0
11839260,1.0
11839290,1.0
11839320,1.0
11839350,1.0
11839380,1.0
11839410,1.0
11839440,1.0
11839470,1.0
11839500,1.0
11839530,1.0
11839560,1.0
11839590,1.0
11839620,1.0
11839650,1.0
11839680,1.0
11839710,1.0
11839740,1.0
11839770,1.0
11839800,1.0
11839830,1.0
11839860,1.0
11839890,1.0
11839920,1.0
11839950,1.0
11839980,1.0
11840010,1.0
11840040,1.0
11840070,1.0
11840100,1.0
11840130,1.0
11840160,1.0
11840190,1.0
11840220,1.0
11840250,1.0
11840280,1.0
11840310,1.0
11840340,1.0
11840370,1.0
11840400,1.0
11840430,1.0
11840460,1.0
11840490,1.0
11840520,1.0
11840550,1.0
11840580,1.0
11840610,1.0
11840640,1.0
11840670,1.0
11840700,1.0
11840730,1.0
11840760,1.0
11840790,1.0
11840820,1.0
11840850,1.0
11840880,1.0
11840910,1.0
11840940,1.0
11840970,1.0
11841000,1.0
11841030,1.0
11841060,1.0
11841090,1.0
11841120,1.0
11841150,1.0
11841180,1.0
11841210,1.0
11841240,1.0
11841270,1.0
11841300,1.0
11841330,1.0
11841360,1.0
11841390,1.0
11841420,1.0
11841450,1.0
11841480,1.0
11841510,1.0
11841540,1.0
11841570,1.0
11841600,1.0
11841630,1.0
11841660,1.0
11841690,1.0
11841720,1.0
11841750,1.0
11841780,1.0
11841810,1.0
11841840,1.0
11841870,1.0
11841900,1.0
11841930,1.0
11841960,1.0
11841990,1.0
11842020,1.0
11842050,1.0
11842080,1.0
11842110,1.0
11842140,1.0
11842170,1.0
11842200,1.0
11842230,1.0
11842260,1.0
11842290,1.0
11842320,1.0
11842350,1.0
11842380,1.0
11842410,1.0
11842440,1.0
11842470,1.0
11842500,1.0
11842530,1.0
11842560,1.0
11842590,1.0
11842620,1.0
11842650,1.0
11842680,1.0
11842710,1.0
11842740,1.0
11842770,1.0
11842800,1.0
11842830,1.0
11842860,1.0
11842890,1.0
11842920,1.0
11842950,1.0
11842980,1.0
11843010,1.0
11843040,1.0
11843070,1.0
11843100,1.0
11843130,1.0
11843160,1.0
11843190,1.0
11843220,1.0
11843250,1.0
11843280,1.0
11843310,1.0
11843340,1.0
11843370,1.0
11843400,1.0
11843430,1.0
11843460,1.0
11843490,1.0
11843520,1.0
11843550,1.0
11843580,1.0
11843610,1.0
11843640,1.0
11843670,1.0
11843700,1.0
11843730,1.0
11843760,1.0
11843790,1.0
11843820,1.0
11843850,1.0
11843880,1.0
11843910,1.0
11843940,1.0
11843970,1.0
11844000,1.0
11844030,1.0
11844060,1.0
11844090,1.0
11844120,1.0
11844150,1.0
11844180,1.0
11844210,1.0
11844240,1.0
11844270,1.0
11844300,1.0
11844330,1.0
11844360,1.0
11844390,1.0
11844420,1.0
11844450,1.0
11844480,1.0
11844510,1.0
11844540,1.0
11844570,1.0
11844600,1.0
11844630,1.0
11844660,1.0
11844690,1.0
11844720,1.0
11844750,1.0
11844780,1.0
11844810,1.0
11844840,1.0
11844870,1.0
11844900,1.0
11844930,1.0
11844960,1.0
11844990,1.0
11845020,1.0
11845050,1.0
11845080,1.0
11845110,1.0
11845140,1.0
11845170,1.0
11845200,1.0
11845230,1.0
11845260,1.0
11845290,1.0
11845320,1.0
11845350,1.0
11845380,1.0
11845410,1.0
11845440,1.0
11845470,1.0
11845500,1.0
11845530,1.0
11845560,1.0
11845590,1.0
11845620,1.0
11845650,1.0
11845680,1.0
11845710,1.0
11845740,1.0
11845770,1.0
11845800,1.0
11845830,1.0
11845860,1.0
11845890,1.0
11845920,1.0
11845950,1.0
11845980,1.0
11846010,1.0
11846040,1.0
11846070,1.0
11846100,1.0
11846130,1.0
11846160,1.0
11846190,1.0
11846220,1.0
11846250,1.0
11846280,1.0
11846310,1.0
11846340,1.0
11846370,1.0
11846400,1.0
11846430,1.0
11846460,1.0
11846490,1.0
11846520,1.0
11846550,1.0
11846580,1.0
11846610,1.0
11846640,1.0
11846670,1.0
11846700,1.0
11846730,1.0
11846760,1.0
11846790,1.0
11846820,1.0
11846850,1.0
11846880,1.0
11846910,1.0
11846940,1.0
11846970,1.0
11847000,1.0
11847030,1.0
11847060,1.0
11847090,1.0
11847120,1.0
11847150,1.0
11847180,1.0
11847210,1.0
11847240,1.0
11847270,1.0
11847300,1.0
11847330,1.0
11847360,1.0
11847390,1.0
11847420,1.0
11847450,1.0
11847480,1.0
11847510,1.0
11847540,1.0
11847570,1.0
11847600,1.0
11847630,1.0
11847660,1.0
11847690,1.0
11847720,1.0
11847750,1.0
11847780,1.0
11847810,1.0
11847840,1.0
11847870,1.0
11847900,1.0
11847930,1.0
11847960,1.0
11847990,1.0
11848020,1.0
11848050,1.0
11848080,1.0
11848110,1.0
11848140,1.0
11848170,1.0
11848200,1.0
11848230,1.0
11848260,1.0
11848290,1.0
11848320,1.0
11848350,1.0
11848380,1.0
11848410,1.0
11848440,1.0
11848470,1.0
11848500,1.0
11848530,1.0
11848560,1.0
11848590,1.0
11848620,1.0
11848650,1.0
11848680,1.0
11848710,1.0
11848740,1.0
11848770,1.0
11848800,1.0
11848830,1.0
11848860,1.0
11848890,1.0
11848920,1.0
11848950,1.0
11848980,1.0
11849010,1.0
11849040,1.0
11849070,1.0
11849100,1.0
11849130,1.0
11849160,1.0
11849190,1.0
11849220,1.0
11849250,1.0
11849280,1.0
11849310,1.0
11849340,1.0
11849370,1.0
11849400,1.0
11849430,1.0
11849460,1.0
11849490,1.0
11849520,1.0
11849550,1.0
11849580,1.0
11849610,1.0
11849640,1.0
11849670,1.0
11849700,1.0
11849730,1.0
11849760,1.0
11849790,1.0
11849820,1.0
11849850,1.0
11849880,1.0
11849910,1.0
11849940,1.0
11849970,1.0
11850000,1.0
11850030,1.0
11850060,1.0
11850090,1.0
11850120,1.0
11850150,1.0
11850180,1.0
11850210,1.0
11850240,1.0
11850270,1.0
11850300,1.0
11850330,1.0
11850360,1.0
11850390,1.0
11850420,1.0
11850450,1.0
11850480,1.0
11850510,1.0
11850540,1.0
11850570,1.0
11850600,1.0
11850630,1.0
11850660,1.0
11850690,1.0
11850720,1.0
11850750,1.0
11850780,1.0
11850810,1.0
11850840,1.0
11850870,1.0
11850900,1.0
11850930,1.0
11850960,1.0
11850990,1.0
11851020,1.0
11851050,1.0
11851080,1.0
11851110,1.0
11851140,1.0
11851170,1.0
11851200,1.0
11851230,1.0
11851260,1.0
11851290,1.0
11851320,1.0
11851350,1.0
11851380,1.0
11851410,1.0
11851440,1.0
11851470,1.0
11851500,1.0
11851530,1.0
11851560,1.0
11851590,1.0
11851620,1.0
11851650,1.0
11851680,1.0
11851710,1.0
11851740,1.0
11851770,1.0
11851800,1.0
11851830,1.0
11851860,1.0
11851890,1.0
11851920,1.0
11851950,1.0
11851980,1.0
11852010,1.0
11852040,1.0
11852070,1.0
11852100,1.0
11852130,1.0
11852160,1.0
11852190,1.0
11852220,1.0
11852250,1.0
11852280,1.0
11852310,1.0
11852340,1.0
11852370,1.0
11852400,1.0
11852430,1.0
11852460,1.0
11852490,1.0
11852520,1.0
11852550,1.0
11852580,1.0
11852610,1.0
11852640,1.0
11852670,1.0
11852700,1.0
11852730,1.0
11852760,1.0
11852790,1.0
11852820,1.0
11852850,1.0
11852880,1.0
11852910,1.0
11852940,1.0
11852970,1.0
11853000,1.0
11853030,1.0
11853060,1.0
11853090,1.0
11853120,1.0
11853150,1.0
11853180,1.0
11853210,1.0
11853240,1.0
11853270,1.0
11853300,1.0
11853330,1.0
11853360,1.0
11853390,1.0
11853420,1.0
11853450,1.0
11853480,1.0
11853510,1.0
11853540,1.0
11853570,1.0
11853600,1.0
11853630,1.0
11853660,1.0
11853690,1.0
11853720,1.0
11853750,1.0
11853780,1.0
11853810,1.0
11853840,1.0
11853870,1.0
11853900,1.0
11853930,1.0
11853960,1.0
11853990,1.0
11854020,1.0
11854050,1.0
11854080,1.0
11854110,1.0
11854140,1.0
11854170,1.0
11854200,1.0
11854230,1.0
11854260,1.0
11854290,1.0
11854320,1.0
11854350,1.0
11854380,1.0
11854410,1.0
11854440,1.0
11854470,1.0
11854500,1.0
11854530,1.0
11854560,1.0
11854590,1.0
11854620,1.0
11854650,1.0
11854680,1.0
11854710,1.0
11854740,1.0
11854770,1.0
11854800,1.0
11854830,1.0
11854860,1.0
11854890,1.0
11854920,1.0
11854950,1.0
11854980,1.0
11855010,1.0
11855040,1.0
11855070,1.0
11855100,1.0
11855130,1.0
11855160,1.0
11855190,1.0
11855220,1.0
11855250,1.0
11855280,1.0
11855310,1.0
11855340,1.0
11855370,1.0
11855400,1.0
11855430,1.0
11855460,1.0
11855490,1.0
11855520,1.0
11855550,1.0
11855580,1.0
11855610,1.0
11855640,1.0
11855670,1.0
11855700,1.0
11855730,1.0
11855760,1.0
11855790,1.0
11855820,1.0
11855850,1.0
11855880,1.0
11855910,1.0
11855940,1.0
11855970,1.0
11856000,1.0
11856030,1.0
11856060,1.0
11856090,1.0
11856120,1.0
11856150,1.0
11856180,1.0
11856210,1.0
11856240,1.0
11856270,1.0
11856300,1.0
11856330,1.0
11856360,1.0
11856390,1.0
11856420,1.0
11856450,1.0
11856480,1.0
11856510,1.0
11856540,1.0
11856570,1.0
11856600,1.0
11856630,1.0
11856660,1.0
11856690,1.0
11856720,1.0
11856750,1.0
11856780,1.0
11856810,1.0
11856840,1.0
11856870,1.0
11856900,1.0
11856930,1.0
11856960,1.0
11856990,1.0
11857020,1.0
11857050,1.0
11857080,1.0
11857110,1.0
11857140,1.0
11857170,1.0
11857200,1.0
11857230,1.0
11857260,1.0
11857290,1.0
11857320,1.0
11857350,1.0
11857380,1.0
11857410,1.0
11857440,1.0
11857470,1.0
11857500,1.0
11857530,1.0
11857560,1.0
11857590,1.0
11857620,1.0
11857650,1.0
11857680,1.0
11857710,1.0
11857740,1.0
11857770,1.0
11857800,1.0
11857830,1.0
11857860,1.0
11857890,1.0
11857920,1.0
11857950,1.0
11857980,1.0
11858010,1.0
11858040,1.0
11858070,1.0
11858100,1.0
11858130,1.0
11858160,1.0
11858190,1.0
11858220,1.0
11858250,1.0
11858280,1.0
11858310,1.0
11858340,1.0
11858370,1.0
11858400,1.0
11858430,0.5660315398397949
11858460,0.5918937285559971
11858490,0.5970455104646313
11858520,0.5967635943010249
11858550,0.5949930446133183
11858580,0.5928002180440131
11858610,0.59047820909395
11858640,0.5881075176149351
11858670,0.5857101718359287
11858700,0.5832917439280569
11858730,0.5808534266158514
11858760,0.5783951635272355
11858790,0.5759162628573429
11858820,0.5734166075442506
11858850,0.5708951772065582
11858880,0.5683511946730929
11858910,0.5657839077115947
11858940,0.5631929284683406
11858970,0.5605772888216454
11859000,0.5579359986983854
11859030,0.5552687691368862
11859060,0.5525742513657221
11859090,0.5498514353357324
11859120,0.547100330327706
11859150,0.5443204851764721
11859180,0.5415099685329401
11859210,0.538668842129185
