time,hvac_oveZonActEas_yReaHea_u
11836800,0
11836830,0
11836860,0
11836890,0
11836920,0
11836950,0
11836980,0
11837010,0
11837040,0
11837070,0
11837100,0
11837130,0
11837160,0
11837190,0
11837220,0
11837250,0
11837280,0
11837310,0
11837340,0
11837370,0
11837400,0
11837430,0
11837460,0
11837490,0
11837520,0
11837550,0
11837580,0
11837610,0
11837640,0
11837670,0
11837700,0
11837730,0
11837760,0
11837790,0
11837820,0
11837850,0
11837880,0
11837910,0
11837940,0
11837970,0
11838000,0
11838030,0
11838060,0
11838090,0
11838120,0
11838150,0
11838180,0
11838210,0
11838240,0
11838270,0
11838300,0
11838330,0
11838360,0
11838390,0
11838420,0
11838450,0
11838480,0
11838510,0
11838540,0
11838570,0
11838600,0
11838630,0
11838660,0
11838690,0
11838720,0
11838750,0
11838780,0
11838810,0
11838840,0
11838870,0
11838900,0
11838930,0
11838960,0
11838990,0
11839020,0
11839050,0
11839080,0
11839110,0
11839140,0
11839170,0
11839200,0
11839230,0
11839260,0
11839290,0
11839320,0
11839350,0
11839380,0
11839410,0
11839440,0
11839470,0
11839500,0
11839530,0
11839560,0
11839590,0
11839620,0
11839650,0
11839680,0
11839710,0
11839740,0
11839770,0
11839800,0
11839830,0
11839860,0
11839890,0
11839920,0
11839950,0
11839980,0
11840010,0
11840040,0
11840070,0
11840100,0
11840130,0
11840160,0
11840190,0
11840220,0
11840250,0
11840280,0
11840310,0
11840340,0
11840370,0
11840400,0
11840430,0
11840460,0
11840490,0
11840520,0
11840550,0
11840580,0
11840610,0
11840640,0
11840670,0
11840700,0
11840730,0
11840760,0
11840790,0
11840820,0
11840850,0
11840880,0
11840910,0
11840940,0
11840970,0
11841000,0
11841030,0
11841060,0
11841090,0
11841120,0
11841150,0
11841180,0
11841210,0
11841240,0
11841270,0
11841300,0
11841330,0
11841360,0
11841390,0
11841420,0
11841450,0
11841480,0
11841510,0
11841540,0
11841570,0
11841600,0
11841630,0
11841660,0
11841690,0
11841720,0
11841750,0
11841780,0
11841810,0
11841840,0
11841870,0
11841900,0
11841930,0
11841960,0
11841990,0
11842020,0
11842050,0
11842080,0
11842110,0
11842140,0
11842170,0
11842200,0
11842230,0
11842260,0
11842290,0
11842320,0
11842350,0
11842380,0
11842410,0
11842440,0
11842470,0
11842500,0
11842530,0
11842560,0
11842590,0
11842620,0
11842650,0
11842680,0
11842710,0
11842740,0
11842770,0
11842800,0
11842830,0
11842860,0
11842890,0
11842920,0
11842950,0
11842980,0
11843010,0
11843040,0
11843070,0
11843100,0
11843130,0
11843160,0
11843190,0
11843220,0
11843250,0
11843280,0
11843310,0
11843340,0
11843370,0
11843400,0
11843430,0
11843460,0
11843490,0
11843520,0
11843550,0
11843580,0
11843610,0
11843640,0
11843670,0
11843700,0
11843730,0
11843760,0
11843790,0
11843820,0
11843850,0
11843880,0
11843910,0
11843940,0
11843970,0
11844000,0
11844030,0
11844060,0
11844090,0
11844120,0
11844150,0
11844180,0
11844210,0
11844240,0
11844270,0
11844300,0
11844330,0
11844360,0
11844390,0
11844420,0
11844450,0
11844480,0
11844510,0
11844540,0
11844570,0
11844600,0
11844630,0
11844660,0
11844690,0
11844720,0
11844750,0
11844780,0
11844810,0
11844840,0
11844870,0
11844900,0
11844930,0
11844960,0
11844990,0
11845020,0
11845050,0
11845080,0
11845110,0
11845140,0
11845170,0
11845200,0
11845230,0
11845260,0
11845290,0
11845320,0
11845350,0
11845380,0
11845410,0
11845440,0
11845470,0
11845500,0
11845530,0
11845560,0
11845590,0
11845620,0
11845650,0
11845680,0
11845710,0
11845740,0
11845770,0
11845800,0
11845830,0
11845860,0
11845890,0
11845920,0
11845950,0
11845980,0
11846010,0
11846040,0
11846070,0
11846100,0
11846130,0
11846160,0
11846190,0
11846220,0
11846250,0
11846280,0
11846310,0
11846340,0
11846370,0
11846400,0
11846430,0
11846460,0
11846490,0
11846520,0
11846550,0
11846580,0
11846610,0
11846640,0
11846670,0
11846700,0
11846730,0
11846760,0
11846790,0
11846820,0
11846850,0
11846880,0
11846910,0
11846940,0
11846970,0
11847000,0
11847030,0
11847060,0
11847090,0
11847120,0
11847150,0
11847180,0
11847210,0
11847240,0
11847270,0
11847300,0
11847330,0
11847360,0
11847390,0
11847420,0
11847450,0
11847480,0
11847510,0
11847540,0
11847570,0
11847600,0
11847630,0
11847660,0
11847690,0
11847720,0
11847750,0
11847780,0
11847810,0
11847840,0
11847870,0
11847900,0
11847930,0
11847960,0
11847990,0
11848020,0
11848050,0
11848080,0
11848110,0
11848140,0
11848170,0
11848200,0
11848230,0
11848260,0
11848290,0
11848320,0
11848350,0
11848380,0
11848410,0
11848440,0
11848470,0
11848500,0
11848530,0
11848560,0
11848590,0
11848620,0
11848650,0
11848680,0
11848710,0
11848740,0
11848770,0
11848800,0
11848830,0
11848860,0
11848890,0
11848920,0
11848950,0
11848980,0
11849010,0
11849040,0
11849070,0
11849100,0
11849130,0
11849160,0
11849190,0
