time,hvac_reaAhu_PFanSup_y
11836800,-3.9508475285325535e-16
11836830,-3.864018365181513e-16
11836860,-3.735583561058099e-16
11836890,-3.609319486018461e-16
11836920,-3.485226140062599e-16
11836950,-3.403703203360788e-16
11836980,-3.2435516354022023e-16
11837010,-3.125970476697669e-16
11837040,-3.010560047076911e-16
11837070,-2.8973203465399284e-16
11837100,-2.74971076884316e-16
11837130,-2.6415361028349886e-16
11837160,-2.5706256194316386e-16
11837190,-2.4660688352297603e-16
11837220,-2.330036479313131e-16
11837250,-2.1978631973232132e-16
11837280,-2.1332237090507718e-16
11837310,-2.1012657530951806e-16
11837340,-2.0068390379509242e-16
11837370,-1.8843134407777892e-16
11837400,-1.8542850217855544e-16
11837430,-1.7656469175313671e-16
11837460,-1.650839468211658e-16
11837490,-1.6227405861827796e-16
11837520,-1.5127569792714617e-16
11837550,-1.4328017913523783e-16
11837580,-1.4066324462868565e-16
11837610,-1.3550173325170715e-16
11837640,-1.2546814104225356e-16
11837670,-1.2302004101999505e-16
11837700,-1.1819619861160392e-16
11837730,-1.1114132908933187e-16
11837760,-1.0430353247543744e-16
11837790,-1.0207250536155654e-16
11837820,-9.768280876992059e-17
11837850,-9.127915797278136e-17
11837880,-8.713065350156498e-17
11837910,-8.30786258785164e-17
11837940,-7.912307510363567e-17
11837970,-7.337064303162923e-17
11838000,-7.337064303162923e-17
11838030,-6.783528386800041e-17
11838060,-6.603840257087472e-17
11838090,-6.079247395174935e-17
11838120,-5.909206950279147e-17
11838150,-5.576361824100158e-17
11838180,-5.413557142816958e-17
11838210,-4.939614626192528e-17
11838240,-4.635712554463886e-17
11838270,-4.341458167552026e-17
11838300,-4.19794885590239e-17
11838330,-4.056851465456949e-17
11838360,-3.6480308213457996e-17
11838390,-3.516581115717141e-17
11838420,-3.2609174680724106e-17
11838450,-3.136703526056339e-17
11838480,-3.0149015052444625e-17
11838510,-2.778533227233297e-17
11838540,-2.6639669700340074e-17
11838570,-2.4420702192480148e-17
11838600,-2.3347397256613118e-17
11838630,-2.2298211532788045e-17
11838660,-2.1273145021004925e-17
11838690,-1.9295369633564562e-17
11838720,-1.8342660757907308e-17
11838750,-1.7414071094292018e-17
11838780,-1.650960064271868e-17
11838810,-1.5629249403187295e-17
11838840,-1.3940904560250396e-17
11838870,-1.3132910956844879e-17
11838900,-1.3132910956844879e-17
11838930,-1.1589281386159715e-17
11838960,-1.0853645418880066e-17
11838990,-1.0142128663642372e-17
11839020,-8.791452789292853e-18
11839050,-8.152293670181026e-18
11839080,-8.152293670181026e-18
11839110,-6.946333068083242e-18
11839140,-6.946333068083242e-18
11839170,-5.318286255251231e-18
11839200,-5.8368493141532794e-18
11839230,-5.8368493141532794e-18
11839260,-4.8238424083911405e-18
11839290,-3.907312350796823e-18
11839320,-3.485226140062599e-18
11839350,-2.7134113547200164e-18
11839380,-2.7134113547200164e-18
11839410,-2.7134113547200164e-18
11839440,-2.0380734175452566e-18
11839470,-1.7365832670208105e-18
11839500,-1.4592123285383199e-18
11839530,-1.2059606020977851e-18
11839560,-9.76828087699206e-19
11839590,-9.76828087699206e-19
11839620,-5.909206950279147e-19
11839650,-4.341458167552026e-19
11839680,-3.014901505244463e-19
11839710,-1.9295369633564563e-19
11839740,-4.82384240839114e-20
11839770,-1.0853645418880066e-19
11839800,0.0
11839830,-1.205960602097785e-20
11839860,-4.82384240839114e-20
11839890,-1.0853645418880066e-19
11839920,-4.341458167552026e-19
11839950,-3.014901505244463e-19
11839980,-5.909206950279147e-19
11840010,-5.909206950279147e-19
11840040,-7.718147853425825e-19
11840070,-1.4592123285383199e-18
11840100,-1.7365832670208105e-18
11840130,-1.7365832670208105e-18
11840160,-2.7134113547200164e-18
11840190,-3.485226140062599e-18
11840220,-4.3535177735730044e-18
11840250,-4.8238424083911405e-18
11840280,-5.318286255251231e-18
11840310,-5.8368493141532794e-18
11840340,-7.537253763111156e-18
11840370,-9.454731120446635e-18
11840400,-1.0853645418880066e-17
11840430,-1.0853645418880066e-17
11840460,-1.1589281386159715e-17
11840490,-1.1589281386159715e-17
11840520,-1.234903656548132e-17
11840550,-1.3132910956844877e-17
11840580,-1.234903656548132e-17
11840610,-1.3132910956844877e-17
11840640,-1.3940904560250396e-17
11840670,-1.3940904560250396e-17
11840700,-1.3940904560250396e-17
11840730,-1.5629249403187295e-17
11840760,-1.650960064271868e-17
11840790,-1.7414071094292018e-17
11840820,-1.8342660757907308e-17
11840850,-1.7414071094292018e-17
11840880,-1.9295369633564562e-17
11840910,-1.8342660757907308e-17
11840940,-2.0272197721263765e-17
11840970,-2.1273145021004925e-17
11841000,-2.2298211532788045e-17
11841030,-2.0272197721263765e-17
11841060,-2.1273145021004925e-17
11841090,-2.1273145021004925e-17
11841120,-2.3347397256613118e-17
11841150,-2.3347397256613118e-17
11841180,-2.4420702192480148e-17
11841210,-2.5518126340389135e-17
11841240,-2.6639669700340074e-17
11841270,-2.6639669700340074e-17
11841300,-2.6639669700340074e-17
11841330,-2.895511405636781e-17
11841360,-3.0149015052444625e-17
11841390,-3.0149015052444625e-17
11841420,-3.136703526056339e-17
11841450,-3.2609174680724106e-17
11841480,-3.387543331292679e-17
11841510,-3.387543331292679e-17
11841540,-3.6480308213457996e-17
11841570,-3.6480308213457996e-17
11841600,-3.516581115717141e-17
11841630,-3.781892448178654e-17
11841660,-3.781892448178654e-17
11841690,-4.056851465456949e-17
11841720,-4.19794885590239e-17
11841750,-4.19794885590239e-17
11841780,-4.19794885590239e-17
11841810,-4.635712554463886e-17
11841840,-4.635712554463886e-17
11841870,-4.487379400405858e-17
11841900,-4.487379400405858e-17
11841930,-4.786457629726109e-17
11841960,-5.095183543863142e-17
11841990,-4.939614626192528e-17
11842020,-5.095183543863142e-17
11842050,-5.2531643827379514e-17
11842080,-5.2531643827379514e-17
11842110,-5.2531643827379514e-17
11842140,-5.413557142816957e-17
11842170,-5.576361824100158e-17
11842200,-5.576361824100158e-17
11842230,-5.741578426587555e-17
11842260,-5.741578426587555e-17
11842290,-5.576361824100158e-17
11842320,-5.576361824100158e-17
11842350,-5.741578426587555e-17
11842380,-5.576361824100158e-17
11842410,-5.576361824100158e-17
11842440,-5.576361824100158e-17
11842470,-5.576361824100158e-17
11842500,-5.576361824100158e-17
11842530,-5.576361824100158e-17
11842560,-5.413557142816958e-17
11842590,-5.095183543863142e-17
11842620,-4.786457629726109e-17
11842650,-4.786457629726109e-17
11842680,-5.095183543863141e-17
11842710,-5.2531643827379514e-17
11842740,-5.2531643827379514e-17
11842770,-5.095183543863142e-17
11842800,-4.635712554463886e-17
11842830,-4.341458167552026e-17
11842860,-3.6480308213457996e-17
