time,hvac_reaAhu_THeaCoiRet_y
11836800,285.95249214999865
11836830,285.95249214999865
11836860,285.95249214999865
11836890,285.95249214999865
11836920,285.95249214999865
11836950,285.95249214999865
11836980,285.95249214999865
11837010,285.95249214999865
11837040,285.95249214999865
11837070,285.95249214999865
11837100,285.95249214999865
11837130,285.95249214999865
11837160,285.95249214999865
11837190,285.95249214999865
11837220,285.95249214999865
11837250,285.95249214999865
11837280,285.95249214999865
11837310,285.95249214999865
11837340,285.95249214999865
11837370,285.95249214999865
11837400,285.95249214999865
11837430,286.71643265199975
11837460,286.7040571849441
11837490,286.7064655694739
11837520,286.70889241275694
11837550,286.7113151044132
11837580,286.71374129207993
11837610,286.71616773051466
11837640,286.718592930342
11837670,286.7210178823163
11837700,286.7234427492488
11837730,286.7258676325818
11837760,286.7282924888828
11837790,286.73071732441645
11837820,286.7331421233477
11837850,286.7355668915514
11837880,286.7379916246036
11837910,286.7404163256992
11837940,286.7428409928529
11837970,286.74526562752646
11838000,286.7476902287087
11838030,286.7501147872685
11838060,286.7525393163012
11838090,286.7549638171002
11838120,286.7573882861142
11838150,286.7598127220958
11838180,286.7622371143077
11838210,286.76466148409645
11838240,286.7670858125832
11838270,286.7695101109413
11838300,286.77193438152733
11838330,286.7743586190745
11838360,286.77678282355254
11838390,286.77920699496013
11838420,286.78163112962267
11838450,286.7840552229781
11838480,286.7864792939904
11838510,286.7889033329171
11838540,286.79132733891163
11838570,286.79375131188374
11838600,286.7961752518038
11838630,286.79859915286397
11838660,286.8010230211473
11838690,286.8034468600388
11838720,286.8058706670895
11838750,286.80829444148344
11838780,286.8107181829488
11838810,286.81314189139545
11838840,286.8155655667935
11838870,286.81798920913343
11838900,286.8204128184122
11838930,286.8228363946292
11838960,286.8252599377845
11838990,286.8276834478784
11839020,286.83010692491143
11839050,286.8325303688839
11839080,286.83495377979625
11839110,286.83737715764903
11839140,286.8398005024426
11839170,286.84222381417743
11839200,286.844647092854
11839230,286.8470703296568
11839260,286.8494935410032
11839290,286.8519167204935
11839320,286.8543398578496
11839350,286.8567629657324
11839380,286.85918604423273
11839410,286.8616090909022
11839440,286.8640321049252
11839470,286.86645508602993
11839500,286.8688780341263
11839530,286.87130094918444
11839560,286.8737238311947
11839590,286.8761466801543
11839620,286.8785694960625
11839650,286.88099227891934
11839680,286.8834150287252
11839710,286.8858377454805
11839740,286.8882604291856
11839770,286.8906830798411
11839800,286.8931056974472
11839830,286.89552827373603
11839860,286.89795081999523
11839890,286.9003733372813
11839920,286.90279582260257
11839950,286.9052182749556
11839980,286.90764069427496
11840010,286.9100630805488
11840040,286.9124854337772
11840070,286.9149077539604
11840100,286.917330041099
11840130,286.91975229519323
11840160,286.9221745083069
11840190,286.9245966962761
11840220,286.9270188429772
11840250,286.9294409569113
11840280,286.93186304414735
11840310,286.9342850934939
11840340,286.936707113835
11840370,286.9391291030515
11840400,286.9415510597473
