time,hvac_reaAhu_THeaCoiSup_y
11836800,285.9533007480159
11836830,285.9533007480159
11836860,285.9533007480159
11836890,285.9533007480159
11836920,285.9533007480159
11836950,285.9533007480159
11836980,285.9533007480159
11837010,285.9533007480159
11837040,285.9533007480159
11837070,285.9533007480159
11837100,285.9533007480159
11837130,285.9533007480159
11837160,285.9533007480159
11837190,285.9533007480159
11837220,285.9533007480159
11837250,285.9533007480159
11837280,285.9533007480159
11837310,285.9533007480159
11837340,285.9533007480159
11837370,285.9533007480159
11837400,285.9533007480159
11837430,286.71643349971805
11837460,286.7040571849274
11837490,286.70646556947423
11837520,286.70889241293276
11837550,286.7113151044941
11837580,286.7137412920874
11837610,286.7161677305102
11837640,286.7185929303353
11837670,286.721017882316
11837700,286.7234427492476
11837730,286.72586763258255
11837760,286.7282924888824
11837790,286.73071732441684
11837820,286.7331421233475
11837850,286.73556689155157
11837880,286.73799162460347
11837910,286.74041632569924
11837940,286.74284099285285
11837970,286.7452656275265
11838000,286.7476902287087
11838030,286.7501147872685
11838060,286.7525393163012
11838090,286.7549638171002
11838120,286.7573882861142
11838150,286.7598127220958
11838180,286.7622371143077
11838210,286.76466148409645
11838240,286.7670858125832
11838270,286.7695101109413
11838300,286.77193438152733
11838330,286.7743586190745
11838360,286.77678282355254
11838390,286.77920699496013
11838420,286.78163112962267
11838450,286.7840552229781
11838480,286.7864792939904
11838510,286.7889033329171
11838540,286.79132733891163
11838570,286.79375131188374
11838600,286.7961752518038
11838630,286.79859915286397
11838660,286.8010230211473
11838690,286.8034468600388
11838720,286.8058706670895
11838750,286.80829444148344
11838780,286.8107181829488
11838810,286.81314189139545
11838840,286.8155655667935
11838870,286.81798920913343
11838900,286.8204128184122
11838930,286.8228363946292
11838960,286.8252599377845
11838990,286.8276834478784
11839020,286.83010692491143
11839050,286.8325303688839
11839080,286.83495377979625
11839110,286.83737715764903
11839140,286.8398005024426
11839170,286.84222381417743
11839200,286.844647092854
11839230,286.8470703296568
11839260,286.8494935410032
11839290,286.8519167204935
11839320,286.8543398578496
11839350,286.8567629657324
11839380,286.85918604423273
11839410,286.8616090909022
11839440,286.8640321049252
11839470,286.86645508602993
11839500,286.8688780341263
11839530,286.87130094918444
11839560,286.8737238311947
11839590,286.8761466801543
11839620,286.8785694960625
11839650,286.88099227891934
11839680,286.8834150287252
11839710,286.8858377454805
11839740,286.8882604291856
11839770,286.8906830798411
11839800,286.8931056974472
11839830,286.89552827373603
11839860,286.89795081999523
11839890,286.9003733372813
11839920,286.90279582260257
11839950,286.9052182749556
11839980,286.90764069427496
11840010,286.9100630805488
11840040,286.9124854337772
11840070,286.9149077539604
11840100,286.917330041099
11840130,286.91975229519323
11840160,286.9221745083069
11840190,286.9245966962761
11840220,286.9270188429772
11840250,286.9294409569113
11840280,286.93186304414735
11840310,286.9342850934939
11840340,286.936707113835
11840370,286.9391291030515
11840400,286.9415510597473
11840430,286.9439729770241
11840460,286.9463948653229
11840490,286.94881672242445
11840520,286.95123854695674
11840550,286.9536603384751
11840580,286.95608209695934
11840610,286.9585038224067
11840640,286.9609255148174
11840670,286.96334717419205
11840700,286.9657688005308
11840730,286.9681903938343
11840760,286.9706119541029
11840790,286.97303348133727
11840820,286.97545497553773
11840850,286.9778764367047
11840880,286.98029786483875
11840910,286.98271925994015
11840940,286.98514062200945
11840970,286.98756195104704
11841000,286.9899832470534
11841030,286.9924045033702
11841060,286.9948257311119
11841090,286.9972469274791
11841120,286.99966809133986
11841150,287.0020892221939
11841180,287.0045103200237
11841210,287.00693138482404
11841240,287.00935241659687
11841270,287.0117734153426
11841300,287.0141943810616
11841330,287.01661531375436
11841360,287.01903621342126
11841390,287.0214570800629
11841420,287.0238779136795
11841450,287.02629871427166
11841480,287.02871948183986
11841510,287.0311402163845
11841540,287.0335609179059
11841570,287.0359815864047
11841600,287.0384022218813
11841630,287.0408228157683
11841660,287.0432433783926
11841690,287.04566391355183
11841720,287.0480844169047
11841750,287.0505048794752
11841780,287.0529253121462
11841810,287.0553457109765
11841840,287.0577660804575
11841870,287.06018641814336
11841900,287.06260672321923
11841930,287.06502699541375
11841960,287.0674472346368
11841990,287.0698674408585
11842020,287.07228761406935
11842050,287.07470775426646
11842080,287.07712786144907
11842110,287.07954793561737
11842140,287.0819679767716
11842170,287.0843879849122
11842200,287.0868079600396
11842230,287.08922789258446
11842260,287.09164779625416
11842290,287.0940676680133
11842320,287.0964875061299
11842350,287.0989073110544
11842380,287.1013270799296
11842410,287.1037468135676
11842440,287.10616652018484
11842470,287.1085861911611
11842500,287.11100582767193
11842530,287.1134254294307
11842560,287.115844999571
11842590,287.1182645373912
11842620,287.12068404923144
11842650,287.1231035291836
11842680,287.1255229761592
11842710,287.1279423901315
11842740,287.1303617673531
11842770,287.13278110840156
11842800,287.135200416374
11842830,287.1376196906709
11842860,287.140038935921
11842890,287.1424581513035
11842920,287.14487732802354
11842950,287.14729647246855
11842980,287.14971558757907
11843010,287.1521346709108
11843040,287.15455372164945
11843070,287.1569727395237
11843100,287.1593917244436
11843130,287.1618106763792
11843160,287.16422959532116
11843190,287.1666484812664
11843220,287.1690673342143
11843250,287.1714861541649
11843280,287.1739049411186
11843310,287.17632369507584
11843340,287.1787424160369
11843370,287.18116110400234
11843400,287.1835797589726
11843430,287.18599837511016
11843460,287.18841695859237
11843490,287.19083551274684
11843520,287.19325403512994
11843550,287.1956725249275
11843580,287.19809098186835
11843610,287.2005094058623
11843640,287.2029277968799
11843670,287.2053461549113
11843700,287.20776447995365
11843730,287.21018277200636
11843760,287.2126010310694
11843790,287.2150192571433
11843820,287.21743745022815
11843850,287.21985561032466
11843880,287.22227373743317
11843910,287.2246918315541
11843940,287.2271098926879
11843970,287.2295279208351
11844000,287.2319459159961
11844030,287.23436387238786
11844060,287.2367817975566
11844090,287.2391996933545
11844120,287.24161755650744
11844150,287.24403538672175
11844180,287.24645318396756
11844210,287.24887094823544
11844240,287.25128867952236
11844270,287.25370637782765
11844300,287.25612404315154
11844330,287.2585416754942
11844360,287.2609592748561
11844390,287.2633768412376
