time,hvac_reaAhu_V_flow_ret_y
11836800,1.997212194165552e-07
11836830,1.9859149147437886e-07
11836860,1.9673245963843823e-07
11836890,1.9453476081127597e-07
11836920,1.920180034586088e-07
11836950,1.891482806323569e-07
11836980,1.8606575522223098e-07
11837010,1.8281910943686258e-07
11837040,1.7946966969737583e-07
11837070,1.760383027481903e-07
11837100,1.7253829046749003e-07
11837130,1.690292926034404e-07
11837160,1.655051764574194e-07
11837190,1.6198696988002673e-07
11837220,1.5848467772493873e-07
11837250,1.5500362682084936e-07
11837280,1.5154803489285827e-07
11837310,1.4811868022300525e-07
11837340,1.447301747846792e-07
11837370,1.4136526307112334e-07
11837400,1.3804463324228587e-07
11837430,1.3473831496252938e-07
11837460,1.314720771419081e-07
11837490,1.282278582132635e-07
11837520,1.2501693052646782e-07
11837550,1.2183758861521678e-07
11837580,1.1867626222379244e-07
11837610,1.155429284348965e-07
11837640,1.1243521639786988e-07
11837670,1.0934707502646543e-07
11837700,1.0628635712231485e-07
11837730,1.032400979152318e-07
11837760,1.0022794627396639e-07
11837790,9.722313446666717e-08
11837820,9.424088650206294e-08
11837850,9.12842494799247e-08
11837880,8.834612984639985e-08
11837910,8.542340932870102e-08
11837940,8.252529971205983e-08
11837970,7.965056781872486e-08
11838000,7.679710897685659e-08
11838030,7.396039221703163e-08
11838060,7.11477963613282e-08
11838090,6.83662860922449e-08
11838120,6.559615057636173e-08
11838150,6.285973498873634e-08
11838180,6.01410838779321e-08
11838210,5.7455712919285244e-08
11838240,5.478906939777837e-08
11838270,5.215170337421869e-08
11838300,4.954413983114639e-08
11838330,4.6954607310801055e-08
11838360,4.439873963544683e-08
11838390,4.1867872753681956e-08
11838420,3.936218105700948e-08
11838450,3.6891153671603955e-08
11838480,3.443909806822127e-08
11838510,3.202107909729052e-08
11838540,2.9626812994767654e-08
11838570,2.7252611101105086e-08
11838600,2.4914148556695187e-08
11838630,2.2595727594900268e-08
11838660,2.0300778707060064e-08
11838690,1.8027194850262074e-08
11838720,1.578737823671718e-08
11838750,1.3547605379575195e-08
11838780,1.133399180929064e-08
11838810,9.144392953282747e-09
11838840,6.972090935186671e-09
11838870,4.810644771956034e-09
11838900,2.6635601247745208e-09
11838930,5.243921603201599e-10
11838960,-1.5962658918008715e-09
11838990,-3.71216022113496e-09
11839020,-5.827767098684358e-09
11839050,-7.940309041168074e-09
11839080,-1.0050772784727998e-08
11839110,-1.2162114397417474e-08
