time,hvac_reaAhu_V_flow_sup_y
11836800,7.350004732817494e-08
11836830,7.268789210907908e-08
11836860,7.146965928043526e-08
11836890,7.025142645179143e-08
11836920,6.903319362314763e-08
11836950,6.822103840405173e-08
11836980,6.659672796586e-08
11837010,6.537849513721619e-08
11837040,6.41602623085724e-08
11837070,6.294202947992857e-08
11837100,6.131771904173684e-08
11837130,6.009948621309305e-08
11837160,5.928733099399718e-08
11837190,5.806909816535338e-08
11837220,5.6444787727161634e-08
11837250,5.482047728896989e-08
11837280,5.4008322069874024e-08
11837310,5.3602244460326094e-08
11837340,5.23840116316823e-08
11837370,5.0759701193490575e-08
11837400,5.0353623583942645e-08
11837430,4.9135390755298844e-08
11837460,4.7511080317107126e-08
11837490,4.710500270755919e-08
11837520,4.5480692269367465e-08
11837550,4.426245944072368e-08
11837580,4.385638183117574e-08
11837610,4.304422661207989e-08
11837640,4.141991617388817e-08
11837670,4.101383856434024e-08
11837700,4.0201683345244376e-08
11837730,3.898345051660061e-08
11837760,3.776521768795681e-08
11837790,3.735914007840888e-08
11837820,3.654698485931303e-08
11837850,3.532875203066925e-08
11837880,3.4516596811573396e-08
11837910,3.370444159247754e-08
11837940,3.2892286373381685e-08
11837970,3.16740535447379e-08
11838000,3.1674053544737896e-08
11838030,3.045582071609412e-08
11838060,3.00497431065462e-08
11838090,2.8831510277902423e-08
11838120,2.8425432668354494e-08
11838150,2.761327744925864e-08
11838180,2.7207199839710722e-08
11838210,2.598896701106695e-08
11838240,2.5176811791971094e-08
11838270,2.436465657287525e-08
11838300,2.3958578963327326e-08
11838330,2.3552501353779396e-08
11838360,2.233426852513562e-08
11838390,2.1928190915587702e-08
11838420,2.111603569649186e-08
11838450,2.0709958086943933e-08
11838480,2.030388047739601e-08
11838510,1.949172525830016e-08
11838540,1.9085647648752242e-08
11838570,1.8273492429656396e-08
11838600,1.7867414820108476e-08
11838630,1.746133721056055e-08
11838660,1.705525960101263e-08
11838690,1.6243104381916785e-08
11838720,1.583702677236886e-08
11838750,1.5430949162820943e-08
11838780,1.502487155327302e-08
11838810,1.4618793943725099e-08
11838840,1.3806638724629256e-08
11838870,1.3400561115081335e-08
11838900,1.3400561115081333e-08
11838930,1.2588405895985493e-08
11838960,1.218232828643757e-08
11838990,1.1776250676889649e-08
11839020,1.096409545779381e-08
11839050,1.0558017848245888e-08
11839080,1.055801784824589e-08
11839110,9.745862629150048e-09
11839140,9.745862629150048e-09
11839170,8.527629800506289e-09
11839200,8.933707410054208e-09
11839230,8.933707410054207e-09
11839260,8.12155219095837e-09
11839290,7.3093969718625295e-09
11839320,6.903319362314609e-09
11839350,6.0911641432187725e-09
11839380,6.091164143218772e-09
11839410,6.0911641432187725e-09
11839440,5.279008924122934e-09
11839470,4.8729313145750155e-09
11839500,4.466853705027098e-09
11839530,4.060776095479178e-09
11839560,3.6546984859312606e-09
11839590,3.6546984859312598e-09
