time,hvac_reaZonCor_V_flow_y
11836800,-2.1366982798639982e-07
11836830,-2.1132433734795467e-07
11836860,-2.085228434117044e-07
11836890,-2.0552299908868065e-07
11836920,-2.023391185150433e-07
11836950,-1.9895484287786715e-07
11836980,-1.9545196672338234e-07
11837010,-1.9187343217686092e-07
11837040,-1.8825400188894789e-07
11837070,-1.846100347388347e-07
11837100,-1.8094562043167913e-07
11837130,-1.7730574587175282e-07
11837160,-1.736842764388895e-07
11837190,-1.7009348125341668e-07
11837220,-1.6653744999111645e-07
11837250,-1.6302027232601006e-07
11837280,-1.595521725079643e-07
11837310,-1.5612906077124564e-07
11837340,-1.527529819287516e-07
11837370,-1.4941575650169556e-07
11837400,-1.4613783303012717e-07
11837430,-1.4289058345602766e-07
11837460,-1.3969036660458708e-07
11837490,-1.3653513757762466e-07
11837520,-1.334208066214538e-07
11837550,-1.3034941855640467e-07
11837580,-1.2731892848918663e-07
11837610,-1.2432524667152948e-07
11837640,-1.2136837307074754e-07
11837670,-1.184503525114425e-07
11837700,-1.1557118496214647e-07
11837730,-1.1272064611189367e-07
11837760,-1.099130499247234e-07
11837790,-1.0713612723615419e-07
11837820,-1.0439192287542067e-07
11837850,-1.0168248167181722e-07
11837880,-9.900780359942609e-08
11837910,-9.636379892270893e-08
11837940,-9.375455732794899e-08
11837970,-9.117598908145088e-08
11838000,-8.863831843440122e-08
11838030,-8.612518652604049e-08
11838060,-8.3648862463108e-08
11838090,-8.120730136936963e-08
11838120,-7.879641351543886e-08
11838150,-7.642233344409471e-08
11838180,-7.407892657320351e-08
11838210,-7.177028259208363e-08
11838240,-6.94943566283245e-08
11838270,-6.725319351789538e-08
11838300,-6.505088295051655e-08
11838330,-6.287515578760037e-08
11838360,-6.07341914275471e-08
11838390,-5.862798985447055e-08
11838420,-5.6554506199766984e-08
11838450,-5.4517830155170815e-08
11838480,-5.250978229377773e-08
11838510,-5.053649716147304e-08
11838540,-4.859592989197129e-08
11838570,-4.6679901061182814e-08
11838600,-4.480272462726944e-08
11838630,-4.295213146151715e-08
11838660,-4.113221125850819e-08
11838690,-3.933682944972596e-08
11838720,-3.7576210288009743e-08
11838750,-3.5831950090881715e-08
11838780,-3.411631796444036e-08
11838810,-3.242726904722852e-08
11838840,-3.076071362604e-08
11838870,-2.9116651692912295e-08
11838900,-2.7495083240180648e-08
11838930,-2.588578399945877e-08
11838960,-2.430306792934579e-08
11838990,-2.2734665909988827e-08
11839020,-2.117648823100391e-08
11839050,-1.9634669442736294e-08
11839080,-1.810511983518977e-08
11839110,-1.6583749698776487e-08
11839140,-1.5068514176235377e-08
11839170,-1.3563502966354399e-08
11839200,-1.2064626360134051e-08
11839230,-1.056166009312024e-08
11839260,-9.062783568273483e-09
11839290,-7.55981737332126e-09
11839320,-6.0588960592564255e-09
11839350,-4.545705658430785e-09
11839380,-3.026380721843057e-09
11839410,-1.5009212448132568e-09
11839440,4.498674020333176e-11
11839470,1.6031638306915687e-09
11839500,3.177699735280178e-09
11839530,4.770639310939478e-09
11839560,6.392206822173645e-09
11839590,8.034222867308495e-09
11839620,9.70895656329991e-09
11839650,1.1406183657222927e-08
11839680,1.3146352674321318e-08
11839710,1.491923936251847e-08
11839740,1.67350679889249e-08
11839770,1.8589748858053417e-08
11839800,2.0493506238444684e-08
11839830,2.2446340139859612e-08
11839860,2.445234027676015e-08
11839890,2.651150666052159e-08
11839920,2.8638153267834333e-08
11839950,3.0822055851990754e-08
11839980,3.3077528392315646e-08
11840010,3.5404570905012406e-08
11840040,3.7805228259734924e-08
11840070,4.029381444137893e-08
11840100,4.28601052095693e-08
11840130,4.551841455325186e-08
11840160,4.8274877054834416e-08
11840190,5.113153759430305e-08
11840220,5.4088396201372595e-08
11840250,5.71597668766875e-08
11840280,6.034360480338594e-08
11840310,6.365217913679604e-08
11840340,6.709571418424199e-08
11840370,7.06660305808702e-08
11840400,7.43815320542986e-08
11840430,7.58988168104341e-08
11840460,7.719321277482053e-08
11840490,7.856122366246995e-08
11840520,7.994150388328256e-08
11840550,8.132791888272668e-08
11840580,8.273682749630673e-08
11840610,8.416005031691373e-08
11840640,8.559963220567782e-08
11840670,8.705352831617036e-08
11840700,8.8521738655872e-08
11840730,9.001244264973925e-08
11840760,9.151541603480139e-08
11840790,9.303679338241859e-08
11840820,9.457657470152892e-08
11840850,9.613067029162108e-08
11840880,9.77093044360554e-08
11840910,9.930225287012768e-08
11840940,1.0091565016849563e-07
11840970,1.0255154119693032e-07
11841000,1.0420788111099744e-07
11841030,1.0587649049903305e-07
11841060,1.0757168336094866e-07
11841090,1.0928936999756143e-07
11841120,1.11029550420953e-07
11841150,1.1278813493101851e-07
11841180,1.145712581086022e-07
11841210,1.1637483025397592e-07
11841240,1.181988513798235e-07
11841270,1.200474112127895e-07
11841300,1.219205097670437e-07
11841330,1.238161021998594e-07
11841360,1.2573214366812007e-07
11841390,1.276686341858052e-07
11841420,1.2962761862482054e-07
11841450,1.3160909700013704e-07
11841480,1.3360897961087526e-07
11841510,1.3562931132960095e-07
11841540,1.3767213702978696e-07
11841570,1.397272324342716e-07
11841600,1.4180277699131193e-07
11841630,1.4389468099845807e-07
11841660,1.4599885475180644e-07
11841690,1.4811529826463887e-07
11841720,1.5024401155020342e-07
11841750,1.523768151826102e-07
11841780,1.5451779889239065e-07
11841810,1.5666082811060727e-07
11841840,1.588038579863124e-07
11841870,1.609387090855173e-07
11841900,1.630653814136001e-07
11841930,1.651818301143069e-07
11841960,1.6727987574603358e-07
11841990,1.6935133886280687e-07
11842020,1.7139826432267687e-07
11842050,1.734104278118531e-07
11842080,1.7537964987291007e-07
11842110,1.772997959057402e-07
11842140,1.7916473130589116e-07
11842170,1.8096627660149935e-07
11842200,1.8269216258877015e-07
11842230,1.8433420978288394e-07
11842260,1.8588832842025778e-07
11842290,1.87334069822079e-07
11842320,1.8866938907440897e-07
11842350,1.89839074789203e-07
11842380,1.9090242795875502e-07
11842410,1.916754106897461e-07
11842440,1.925874445338238e-07
11842470,1.9318252453857956e-07
11842500,1.9349336841028996e-07
11842530,1.9374695613343312e-07
11842560,1.937408459078243e-07
11842590,1.9354047333146603e-07
11842620,1.929720246322386e-07
11842650,1.9223589659986476e-07
11842680,1.966282955515677e-07
11842710,1.9948500063578197e-07
11842740,2.0058312046641573e-07
11842770,2.0027846115735558e-07
11842800,1.979514268524462e-07
11842830,1.9412754777042668e-07
11842860,1.891605854688688e-07
11842890,1.828399178947489e-07
11842920,1.7520848675537594e-07
11842950,1.6671002827884847e-07
11842980,1.5762877913413874e-07
11843010,1.4827146974698507e-07
11843040,1.390000422099049e-07
11843070,1.3023165027972329e-07
11843100,1.2244683885107068e-07
11843130,1.1531024957347504e-07
11843160,1.0615537125860633e-07
11843190,9.556499175697392e-08
11843220,8.428139911586817e-08
11843250,7.271765739680917e-08
11843280,6.120912568438783e-08
11843310,5.008707338798618e-08
11843340,3.9656186618745777e-08
11843370,3.019252328123957e-08
11843400,2.1943513044993985e-08
11843430,1.514022655327279e-08
11843460,9.97283696009114e-09
11843490,6.6028891592581775e-09
11843520,5.120357500418996e-09
11843550,5.588632975749874e-09
11843580,2.4374864471003532e-09
11843610,-4.43328067159717e-09
11843640,-9.664060956265996e-09
11843670,-1.4545168082783564e-08
11843700,-1.9191114801547585e-08
11843730,-2.3593721601931814e-08
11843760,-2.7742764110798828e-08
11843790,-3.163824231795856e-08
11843820,-3.528015622025196e-08
11843850,-3.867055069181139e-08
11843880,-4.180942574182985e-08
11843910,-4.47070057379412e-08
11843940,-4.73612458280186e-08
11843970,-4.9788504998398745e-08
11844000,-5.2001052495720534e-08
11844030,-4.393812698312366e-08
11844060,-2.834599042643383e-08
11844090,-1.56637051952916e-08
11844120,-3.2165806642065423e-09
11844150,9.285755050141018e-09
11844180,2.1808539477776748e-08
11844210,3.431905502017234e-08
11844240,4.681525712899701e-08
11844270,5.9301235864967124e-08
11844300,7.17790364178571e-08
11844330,8.426092832899474e-08
11844360,9.676940549466586e-08
11844390,1.0930446824128688e-07
11844420,1.218824758642154e-07
11844450,1.3451774279666972e-07
11844480,1.4722662835300352e-07
11844510,1.6001731237504265e-07
11844540,1.7290819907309946e-07
11844570,1.8590133370030165e-07
11844600,1.9900285126404769e-07
11844630,2.1220866242293772e-07
11844660,2.2552694707747135e-07
11844690,2.389352120481659e-07
11844720,2.524150538941768e-07
11844750,2.659419345447889e-07
11844780,2.794729120458093e-07
11844810,2.929507302843187e-07
11844840,3.063058638397322e-07
11844870,3.1943197945804506e-07
11844900,3.322206988811311e-07
11844930,3.4454523982040703e-07
11844960,3.5594346005956156e-07
11844990,3.658755115359831e-07
11845020,3.762738023013813e-07
11845050,3.842652791046089e-07
11845080,3.9063312828523577e-07
11845110,3.948865772081574e-07
11845140,3.962363001536298e-07
11845170,4.083707224471337e-07
11845200,4.1489195708881493e-07
11845230,4.1204764008342724e-07
11845260,4.0125281883166875e-07
11845290,3.7368586241340547e-07
11845320,3.3541596853849474e-07
11845350,2.8763938706180143e-07
11845380,2.3344797905221968e-07
11845410,1.7792737227768406e-07
11845440,1.268645938599509e-07
11845470,6.727463712994721e-08
11845500,-4.2554035266480175e-09
11845530,-7.636005366034298e-08
11845560,-1.4223188523458803e-07
11845590,-1.9631494373441682e-07
11845620,-2.3381806841897923e-07
11845650,-2.5115249778480655e-07
11845680,-2.574077460257382e-07
11845710,-2.908087948592039e-07
11845740,-3.1556406550163576e-07
11845770,-3.3376752166807427e-07
11845800,-3.474517795447076e-07
11845830,-3.570708064329558e-07
11845860,-3.630581206124294e-07
11845890,-3.659085863660054e-07
11845920,-3.6609661865286837e-07
11845950,-3.640823176993962e-07
11845980,-3.602848855789502e-07
11846010,-3.5507035699648957e-07
11846040,-3.4875773399483706e-07
11846070,-3.416128514059863e-07
11846100,-3.338545115663146e-07
11846130,-3.2566879852120183e-07
11846160,-3.171968088410337e-07
11846190,-3.0855101068407874e-07
11846220,-2.998234233391684e-07
11846250,-2.9109584162503737e-07
11846280,-2.8234577178594053e-07
11846310,-2.7368363675663755e-07
11846340,-2.651237504101723e-07
11846370,-2.566517984144684e-07
11846400,-2.4826778055066716e-07
11846430,-2.3996965173451865e-07
11846460,-2.3176354636932596e-07
11846490,-2.2363719503144983e-07
11846520,-2.1557014883387537e-07
11846550,-2.0755627299335393e-07
11846580,-1.9958125325959658e-07
11846610,-1.91630775394736e-07
11846640,-1.8370688411908023e-07
11846670,-1.7578913060545934e-07
11846700,-1.6787546984988945e-07
11846730,-1.5996590171808955e-07
11846760,-1.520502017395967e-07
11846790,-1.4413450438573035e-07
11846820,-1.362188095242702e-07
11846850,-1.2831538622314526e-07
11846880,-1.204201446133286e-07
11846910,-1.1254944349082555e-07
11846940,-1.0470737244930823e-07
11846970,-9.691029027809437e-08
11847000,-8.917251089712881e-08
11847030,-8.15042584930733e-08
11847060,-7.392189184964535e-08
11847090,-6.643154542275878e-08
11847120,-5.90577574597783e-08
11847150,-5.1808707285835695e-08
11847180,-4.469870882605866e-08
11847210,-3.773798627938409e-08
11847240,-3.094085358035083e-08
11847270,-2.4327759264115845e-08
11847300,-1.7923241601712306e-08
11847330,-1.1776377248931485e-08
11847360,-5.766519084517146e-09
11847390,7.36151365870704e-11
11847420,5.752204949295482e-09
11847450,1.1216083934713483e-08
11847480,1.6508194317113052e-08
11847510,2.164489507076359e-08
11847540,2.6640500299832855e-08
11847570,3.1521593293999116e-08
11847600,3.6296353555605544e-08
11847630,3.6541737992123665e-08
11847660,3.3114544749635245e-08
11847690,3.0773174713700203e-08
11847720,2.872013054879315e-08
11847750,2.6654817099937487e-08
11847780,2.4564965184417387e-08
11847810,2.2462844001412997e-08
