time,hvac_reaZonEas_V_flow_y
11836800,-4.277496913821398e-08
11836830,-4.230542090756792e-08
11836860,-4.174458450968574e-08
11836890,-4.114403997073025e-08
11836920,-4.050665286483637e-08
11836950,-3.982914829013979e-08
11836980,-3.912790085237515e-08
11837010,-3.841150721725119e-08
11837040,-3.7686926585898554e-08
11837070,-3.695743387344746e-08
11837100,-3.6223847805749655e-08
11837130,-3.5495174396709764e-08
11837160,-3.477018554505226e-08
11837190,-3.4051337429304154e-08
11837220,-3.3339448769436374e-08
11837250,-3.263533828506739e-08
11837280,-3.1941052788218504e-08
11837310,-3.125577354091122e-08
11837340,-3.0579909898127484e-08
11837370,-2.9911824394456514e-08
11837400,-2.9255610662011847e-08
11837430,-2.8605537595425095e-08
11837460,-2.796488009901584e-08
11837490,-2.7333228800729088e-08
11837520,-2.6709764964998048e-08
11837550,-2.6094897948292642e-08
11837580,-2.5488218379536842e-08
11837610,-2.4888907524248142e-08
11837640,-2.4296965375883154e-08
11837670,-2.371280129176693e-08
11837700,-2.3136415265599846e-08
11837730,-2.2565760473129077e-08
11837760,-2.2003702454032345e-08
11837790,-2.144778502094341e-08
11837820,-2.0898417532114803e-08
11837850,-2.0356009345811028e-08
11837880,-1.9820560456843562e-08
11837910,-1.9291252133278713e-08
11837940,-1.8768903097189705e-08
11837970,-1.8252694617011793e-08
11838000,-1.774467350503051e-08
11838030,-1.7241564849805527e-08
11838060,-1.674582482714357e-08
11838090,-1.625704406938319e-08
11838120,-1.5774403845822248e-08
11838150,-1.5299132242243954e-08
11838180,-1.4830001164986616e-08
11838210,-1.4367829336731051e-08
11838240,-1.3912207390581249e-08
11838270,-1.3463544686137971e-08
11838300,-1.3022659946162478e-08
11838330,-1.2587096988472274e-08
11838360,-1.2158493262385482e-08
11838390,-1.1736848764721817e-08
11838420,-1.1321754129347367e-08
11838450,-1.0914028079426617e-08
11838480,-1.051203315993516e-08
11838510,-1.0116997457278062e-08
11838540,-9.728511605785499e-09
11838570,-9.344938150996544e-09
11838600,-8.969142631412291e-09
11838630,-8.598668866826856e-09
11838660,-8.234335580974838e-09
11838690,-7.87491468292058e-09
11838720,-7.522452985280458e-09
11838750,-7.173266219866318e-09
11838780,-6.8298105623566e-09
11838810,-6.491676648048076e-09
11838840,-6.158045749477786e-09
11838870,-5.828917865051698e-09
11838900,-5.50429299323539e-09
11838930,-5.182124318300101e-09
11838960,-4.865277378834473e-09
11838990,-4.5512959964065485e-09
11839020,-4.2393614441183515e-09
11839050,-3.9307018092677835e-09
11839080,-3.624498365034496e-09
11839110,-3.3199323846798864e-09
11839140,-3.016594504340754e-09
11839170,-2.7153034485936484e-09
11839200,-2.4152404908177515e-09
11839230,-2.114358816071495e-09
11839260,-1.8142958745859322e-09
11839290,-1.5134142142658225e-09
11839320,-1.2129419225387129e-09
11839350,-9.100134590044121e-10
11839380,-6.058569110916412e-10
11839410,-3.004722778635046e-10
11839440,9.005981059472977e-12
11839470,3.209404155354007e-10
11839500,6.361497521108693e-10
11839530,9.550433545908752e-10
11839560,1.2796680379270123e-09
11839590,1.6083863521457426e-09
11839620,1.9436544750990654e-09
11839650,2.283425594153454e-09
11839680,2.631793338458456e-09
11839710,2.986710895550375e-09
11839740,3.3502250809025727e-09
11839770,3.7215171705992892e-09
11839800,4.102633980400188e-09
11839830,4.493575512259325e-09
11839860,4.895160493891056e-09
11839890,5.307388927572623e-09
11839920,5.733126355514391e-09
11839950,6.170325966327495e-09
11839980,6.621853302749684e-09
11840010,7.087708368024748e-09
11840040,7.568300528496829e-09
11840070,8.066495328018938e-09
11840100,8.580245956469922e-09
11840130,9.112417958513585e-09
11840160,9.66423942786649e-09
11840190,1.0236119732941206e-08
11840220,1.0828058879686403e-08
11840250,1.144292241510785e-08
11840280,1.2080300983429952e-08
11840310,1.2742650770186518e-08
11840340,1.3432018598901362e-08
11840370,1.414676702697213e-08
11840400,1.4890580331623663e-08
11840430,1.5194328451932482e-08
11840460,1.545345604121843e-08
11840490,1.5727320741964425e-08
11840520,1.600364166384538e-08
11840550,1.62811907187253e-08
11840580,1.656324281298863e-08
11840610,1.6848160495573845e-08
11840640,1.7136353131118697e-08
11840670,1.7427411357928552e-08
11840700,1.772133517750097e-08
11840730,1.8019762044470423e-08
11840760,1.832064514419231e-08
11840790,1.862521256817154e-08
11840820,1.893346431819745e-08
11840850,1.9244581669348487e-08
11840880,1.9560611440351102e-08
11840910,1.9879506816213645e-08
11840940,2.020249588910118e-08
11840970,2.0529988024580547e-08
11841000,2.0861573861356355e-08
11841030,2.1195615947455195e-08
11841060,2.1534979829736115e-08
11841090,2.1878846783543507e-08
11841120,2.2227216811296025e-08
11841150,2.257927118815349e-08
11841180,2.2936238007519443e-08
11841210,2.3297298544629135e-08
11841240,2.366245280202174e-08
11841270,2.4032519509850492e-08
11841300,2.440749867095206e-08
11841330,2.478698092437291e-08
11841360,2.517055690908145e-08
11841390,2.5558226627876274e-08
11841420,2.5950399447552326e-08
11841450,2.6347075371106666e-08
11841480,2.6747435673544037e-08
11841510,2.7151889721791544e-08
11841540,2.7560846882957823e-08
11841570,2.797226033955738e-08
11841600,2.8387767550889243e-08
11841630,2.880654979164378e-08
11841660,2.9227788336220352e-08
11841690,2.965148318727786e-08
11841720,3.007763434746846e-08
11841750,3.050460436197082e-08
11841780,3.0933211961716286e-08
11841810,3.1362229055684935e-08
11841840,3.179124628127747e-08
11841870,3.2218626182051215e-08
11841900,3.264436875908284e-08
11841930,3.306806464871078e-08
11841960,3.348807639296784e-08
11841990,3.390276653301216e-08
11842020,3.43125444328649e-08
11842050,3.471536326770776e-08
11842080,3.510958557640622e-08
11842110,3.5493983261700376e-08
11842140,3.586732822546053e-08
11842170,3.622798300366178e-08
11842200,3.657349140106772e-08
11842230,3.690221595105977e-08
11842260,3.721333791608996e-08
11842290,3.7502763636265463e-08
11842320,3.7770083736376705e-08
11842350,3.800424534367163e-08
11842380,3.821712003655294e-08
11842410,3.8371864919225947e-08
11842440,3.855444670862072e-08
11842470,3.867357690626293e-08
11842500,3.8735805331981796e-08
11842530,3.878657154045166e-08
11842560,3.8785348322769e-08
11842590,3.8745235355717726e-08
11842620,3.863143652976623e-08
11842650,3.8484069659285244e-08
11842680,3.936339235717115e-08
11842710,3.99352815797432e-08
11842740,4.015511627661209e-08
11842770,4.0094125950249555e-08
11842800,3.962827252810706e-08
11842830,3.8862762903921565e-08
11842860,3.78684172765486e-08
11842890,3.66030708167148e-08
11842920,3.5075320106456064e-08
11842950,3.337399754499926e-08
11842980,3.155600501155596e-08
11843010,2.9682747453274512e-08
11843040,2.782668274585577e-08
11843070,2.6071321693058195e-08
11843100,2.4512865491049993e-08
11843130,2.3084178113996957e-08
11843160,2.1251445616980403e-08
11843190,1.9131337407911525e-08
11843220,1.6872453542370164e-08
11843250,1.4557486100235519e-08
11843280,1.2253571254306436e-08
11843310,1.0027026457525564e-08
11843340,7.938847401815078e-09
11843370,6.044298643990265e-09
11843400,4.392913600058488e-09
11843430,3.0309507414543934e-09
11843460,1.9964811934771185e-09
11843490,1.321844935581141e-09
11843520,1.0250541038999005e-09
11843550,1.118799061689335e-09
11843580,4.879650465023487e-10
11843610,-8.875068871243706e-10
11843640,-1.93466673816206e-09
11843670,-2.9118248547979506e-09
11843700,-3.841905762269673e-09
11843730,-4.723271988792367e-09
11843760,-5.5538766976669446e-09
11843790,-6.333719886853432e-09
11843820,-7.062801555719419e-09
11843850,-7.741531071505602e-09
11843880,-8.369908436052342e-09
11843910,-8.949980484956964e-09
11843940,-9.481337855384097e-09
11843970,-9.967255483913595e-09
11844000,-1.0410189574358956e-08
11844030,-8.79605718507748e-09
11844060,-5.674637720773529e-09
11844090,-3.135746926146853e-09
11844120,-6.43933399201165e-10
11844150,1.8589329595008538e-09
11844180,4.365892984997387e-09
11844210,6.870396879029537e-09
11844240,9.372035339579438e-09
11844270,1.1871627163678781e-08
11844300,1.436958178175724e-08
11844330,1.6868355456622644e-08
11844360,1.9372451284142537e-08
11844390,2.1881869329662836e-08
11844420,2.4399884591626877e-08
11844450,2.6929362703638232e-08
11844480,2.9473578667943095e-08
11844510,3.20341700226298e-08
11844540,3.461482114155469e-08
11844570,3.7215941467830284e-08
11844600,3.983875918025282e-08
11844630,4.248245562579195e-08
11844660,4.514866835428202e-08
11844690,4.783289441335369e-08
11844720,5.053144958319183e-08
11844750,5.3239421540763035e-08
11844780,5.594821365460728e-08
11844810,5.864636371461198e-08
11844840,6.1319953294634e-08
11844870,6.39476953383712e-08
11844900,6.650789339625799e-08
11844930,6.897516668087793e-08
11844960,7.125699806322656e-08
11844990,7.324531433317798e-08
11845020,7.532696793290099e-08
11845050,7.692679686920065e-08
11845080,7.82015887045526e-08
11845110,7.9053094731976e-08
11845140,7.932329833480473e-08
11845170,8.175251140623437e-08
11845200,8.305800976868319e-08
11845230,8.248860053916625e-08
11845260,8.032756474741238e-08
11845290,7.480888332599636e-08
11845320,6.714756050447835e-08
11845350,5.758307581586335e-08
11845380,4.6734394806424024e-08
11845410,3.561961896887883e-08
11845440,2.5397264266234433e-08
11845470,1.3467837523607688e-08
11845500,-8.518973232598933e-10
11845530,-1.5286664333915385e-08
11845560,-2.8473671546020723e-08
11845590,-3.9300661861085916e-08
11845620,-4.680848370044667e-08
11845650,-5.0278696075022124e-08
11845680,-5.15309461141561e-08
11845710,-5.821756558916412e-08
11845740,-6.317337028895335e-08
11845770,-6.681755479111806e-08
11845800,-6.955703239480486e-08
11845830,-7.148268367726226e-08
11845860,-7.268129548718088e-08
11845890,-7.325193564628892e-08
11845920,-7.328957818732219e-08
11845950,-7.288633144943775e-08
11845980,-7.212611629277615e-08
11846010,-7.108220990090463e-08
11846040,-6.98184738993291e-08
11846070,-6.838812626852694e-08
11846100,-6.683496946425011e-08
11846130,-6.519625600536503e-08
11846160,-6.350023228257942e-08
11846190,-6.176941351034491e-08
11846220,-6.002222120505897e-08
11846250,-5.827503002700948e-08
11846280,-5.6523336908463936e-08
11846310,-5.478924762669101e-08
11846340,-5.3075627703151916e-08
11846370,-5.137961152449082e-08
11846400,-4.970119904689405e-08
11846430,-4.8039980861057006e-08
11846460,-4.6397185024841e-08
11846490,-4.477035529899847e-08
11846520,-4.3155397981956226e-08
11846550,-4.1551084939790976e-08
11846580,-3.9954550575520194e-08
11846610,-3.8362929294647946e-08
11846640,-3.677663043362059e-08
11846670,-3.519156030284538e-08
11846700,-3.36073095090864e-08
11846730,-3.20238780254617e-08
11846760,-3.043921899578838e-08
11846790,-2.8854560491544037e-08
11846820,-2.7269902486259232e-08
11846850,-2.568770114797117e-08
11846880,-2.4107137718022854e-08
11846910,-2.2531487094891342e-08
11846940,-2.096156798210984e-08
11846970,-1.9400655276816606e-08
11847000,-1.785161450986201e-08
11847030,-1.6316492480614214e-08
11847060,-1.4798564085090356e-08
11847090,-1.3299057391683942e-08
11847120,-1.1822884758792132e-08
11847150,-1.0371683621065303e-08
11847180,-8.94831951039138e-09
11847210,-7.554839228595925e-09
