time,hvac_reaZonSou_V_flow_y
11836800,-4.504410232165478e-08
11836830,-4.4549645423793984e-08
11836860,-4.395905768987216e-08
11836890,-4.3326655371263475e-08
11836920,-4.265545605552304e-08
11836950,-4.194201111328558e-08
11836980,-4.120356379290517e-08
11837010,-4.044916679734365e-08
11837040,-3.968614850051033e-08
11837070,-3.8917957545740186e-08
11837100,-3.8145456090780625e-08
11837130,-3.737812790195583e-08
11837160,-3.661467972948375e-08
11837190,-3.585769804763002e-08
11837220,-3.510804500794932e-08
11837250,-3.436658276162518e-08
11837280,-3.363546670027978e-08
11837310,-3.2913834653395617e-08
11837340,-3.220211769148111e-08
11837370,-3.149859148460688e-08
11837400,-3.080756682451646e-08
11837430,-3.012300858127682e-08
11837460,-2.9448365386838773e-08
11837490,-2.8783206152715183e-08
11837520,-2.8126668710928197e-08
11837550,-2.747918413355311e-08
11837580,-2.6840321333133685e-08
11837610,-2.6209218142833875e-08
11837640,-2.5585874555763183e-08
11837670,-2.4970721644897385e-08
11837700,-2.4363759403602684e-08
11837730,-2.376283242737648e-08
11837760,-2.3170958267488848e-08
11837790,-2.2585550440365977e-08
11837820,-2.2007040019960344e-08
11837850,-2.1435858080237018e-08
11837880,-2.0872004615732235e-08
11837910,-2.0314617462293977e-08
11837940,-1.976455877369071e-08
11837970,-1.922096638615894e-08
11838000,-1.86859956915991e-08
11838030,-1.8156198050561912e-08
11838060,-1.7634159934448453e-08
11838090,-1.7119450259398206e-08
11838120,-1.6611206862556022e-08
11838150,-1.6110722977389824e-08
11838180,-1.5616705362135267e-08
11838210,-1.5130016171200667e-08
11838240,-1.4650224321531547e-08
11838270,-1.4177760888500133e-08
11838300,-1.371348802659944e-08
11838330,-1.3254819257714402e-08
11838360,-1.2803478894828006e-08
11838390,-1.2359466934591256e-08
11838420,-1.192235229475221e-08
11838450,-1.1492997130228503e-08
11838480,-1.1069677122028151e-08
11838510,-1.0653685504273913e-08
11838540,-1.0244591195202561e-08
11838570,-9.840669876415474e-09
11838600,-9.444939097943675e-09
11838630,-9.05481238375356e-09
11838660,-8.67115188936312e-09
11838690,-8.292664375878665e-09
11838720,-7.921505235549036e-09
11838750,-7.553794756557e-09
11838780,-7.192119410168548e-09
11838810,-6.836048115638311e-09
11838840,-6.484718713522152e-09
11838870,-6.1381312021414835e-09
11838900,-5.796285579880484e-09
11838930,-5.45702645121281e-09
11838960,-5.123371366261677e-09
11838990,-4.792733850861506e-09
11839020,-4.464251746163118e-09
11839050,-4.139218287229474e-09
11839080,-3.816771315293137e-09
11839110,-3.4960486716727575e-09
11839140,-3.176619276507558e-09
11839170,-2.859345286202146e-09
11839200,-2.5433645421992004e-09
11839230,-2.226521649801333e-09
11839260,-1.910540922952894e-09
11839290,-1.5936980457464538e-09
11839320,-1.277286253381496e-09
11839350,-9.582879938271597e-10
11839380,-6.379965022841644e-10
11839410,-3.1641177776591396e-10
11839440,9.48373173663788e-12
11839470,3.379657123730331e-10
11839500,6.698963226224265e-10
11839530,1.0057066422843018e-09
11839560,1.347552066066606e-09
11839590,1.6937082802961647e-09
11839620,2.046761758527831e-09
11839650,2.4045571084946938e-09
11839680,2.7714051188190274e-09
11839710,3.1451503974127608e-09
11839740,3.5279483395332886e-09
11839770,3.918936789471846e-09
11839800,4.320271142787316e-09
11839830,4.731951401537417e-09
11839860,5.154839725431011e-09
11839890,5.588936116866146e-09
11839920,6.037258129779885e-09
11839950,6.497650373216004e-09
11839980,6.973130401666926e-09
11840010,7.46369821854852e-09
11840040,7.96978490633411e-09
11840070,8.494408020690546e-09
11840100,9.035412171996563e-09
11840130,9.595814916772815e-09
11840160,1.0176909496841426e-08
11840190,1.0779126996853869e-08
11840220,1.1402467423074384e-08
11840250,1.2049948334489824e-08
11840280,1.2721138659756052e-08
11840310,1.3418624880517229e-08
11840340,1.4144562400508274e-08
11840370,1.4897226913818211e-08
11840400,1.568049814178036e-08
11840430,1.6000359539388655e-08
11840460,1.6273233369138124e-08
11840490,1.6561626086917356e-08
11840520,1.685260532383047e-08
11840550,1.7144877843931966e-08
11840580,1.7441892281347063e-08
11840610,1.774192432125686e-08
11840640,1.8045405044337795e-08
11840670,1.8351903373012677e-08
11840700,1.8661419308858532e-08
11840730,1.8975677170456705e-08
11840760,1.929252156342253e-08
11840790,1.961324572724915e-08
11840820,1.9937849663820827e-08
11840850,2.0265471216369647e-08
11840880,2.059826578357866e-08
11840910,2.0934077970697745e-08
11840940,2.1274201017915217e-08
11840970,2.1619066006885863e-08
11841000,2.1968241860452926e-08
11841030,2.2320004262837297e-08
11841060,2.2677370772871296e-08
11841090,2.303947923406709e-08
11841120,2.3406329648971617e-08
11841150,2.3777059860902666e-08
11841180,2.4152963111352727e-08
11841210,2.4533177243719006e-08
11841240,2.4917702260675385e-08
11841270,2.530740032449899e-08
11841300,2.5702271438176957e-08
11841330,2.6101884524912532e-08
11841360,2.650580850782677e-08
11841390,2.691404338986672e-08
11841420,2.732702025398042e-08
11841450,2.7744739103323925e-08
11841480,2.8166337781051708e-08
11841510,2.859224737025098e-08
11841540,2.9022898954200123e-08
11841570,2.9456137135522856e-08
11841600,2.989368623771256e-08
11841630,3.033468410359265e-08
11841660,3.077826857568011e-08
11841690,3.1224439656774895e-08
11841720,3.167319734966983e-08
11841750,3.2122817335586804e-08
11841780,3.257416177762232e-08
11841810,3.302593743679396e-08
11841840,3.3477713234571866e-08
11841870,3.39277648504706e-08
11841900,3.437609228562391e-08
11841930,3.482226446038337e-08
11841960,3.5264557052658086e-08
11841990,3.570124573943612e-08
11842020,3.613276160074459e-08
11842050,3.6556949231485424e-08
11842080,3.697208430623241e-08
11842110,3.737687357943211e-08
11842140,3.777002380461517e-08
11842170,3.814981065331164e-08
11842200,3.851364763366004e-08
11842230,3.885981041445919e-08
11842260,3.918743682564493e-08
11842290,3.949221604622085e-08
11842320,3.9773716984377895e-08
11842350,4.002030043285952e-08
11842380,4.024446773539699e-08
11842410,4.0407421548557037e-08
11842440,4.0599688964975144e-08
11842470,4.072513879978053e-08
11842500,4.079066832865849e-08
11842530,4.084412759081272e-08
11842560,4.084283948368911e-08
11842590,4.080059859775312e-08
11842620,4.068076295406906e-08
11842650,4.052557854303375e-08
11842680,4.145154768749635e-08
11842710,4.20537745780629e-08
11842740,4.228527109995673e-08
11842770,4.22210453493214e-08
11842800,4.1730479262737524e-08
11842830,4.092436076552467e-08
11842860,3.9877266937408635e-08
11842890,3.8544796182726586e-08
11842920,3.6936001116328816e-08
11842950,3.5144426532305644e-08
11842980,3.322999284956415e-08
11843010,3.125736243439314e-08
11843040,2.930283691909845e-08
11843070,2.745435720148191e-08
11843100,2.581322777365584e-08
11843130,2.4308751167496437e-08
11843160,2.2378795593312648e-08
11843190,2.014621955582433e-08
11843220,1.7767506069359646e-08
11843250,1.5329733876050092e-08
11843280,1.2903600598780305e-08
11843310,1.0558941709001072e-08
11843340,8.359988607540413e-09
11843370,6.364937533977254e-09
11843400,4.6259495606379645e-09
11843430,3.191737085509623e-09
11843460,2.102390836838783e-09
11843490,1.3919663703155198e-09
11843520,1.0794313326587516e-09
11843550,1.1781492874785974e-09
11843580,5.138506918151474e-10
11843610,-9.34587489838518e-10
11843640,-2.0372972387306927e-09
11843670,-3.0662917903798394e-09
11843700,-4.0457117737865896e-09
11843730,-4.973832852309398e-09
11843760,-5.8484996083391586e-09
11843790,-6.669712039727683e-09
11843820,-7.4374701458090075e-09
11843850,-8.152205010000579e-09
11843880,-8.813916634240386e-09
11843910,-9.424760434977322e-09
11843940,-9.984305333432963e-09
11843970,-1.0495999995529742e-08
11844000,-1.0962430922161218e-08
11844030,-9.262671788061988e-09
11844060,-5.975666780890573e-09
11844090,-3.302092514427725e-09
11844120,-6.780928778283006e-10
11844150,1.957545922857193e-09
11844180,4.597495551806924e-09
11844210,7.234858756050193e-09
11844240,9.869204520852346e-09
11844270,1.2501395078916735e-08
11844300,1.5131861580201847e-08
11844330,1.7763190587725102e-08
11844360,2.0400124078280618e-08
11844390,2.3042662120680772e-08
11844420,2.569425344599325e-08
11844450,2.8357915704396524e-08
11844480,3.103709763096286e-08
11844510,3.373352363215455e-08
11844540,3.6451073531062546e-08
11844570,3.919017849100095e-08
11844600,4.195213184338487e-08
11844630,4.473607150715132e-08
11844660,4.7543721901131717e-08
11844690,5.0370341199642436e-08
11844720,5.321204974180539e-08
11844750,5.6063674614914586e-08
11844780,5.8916163152073746e-08
11844810,6.175744509407411e-08
11844840,6.457286366794829e-08
11844870,6.734000257833663e-08
11844900,7.00360144190589e-08
11844930,7.263417199875942e-08
11844960,7.503705032545471e-08
11844990,7.713084310464087e-08
11845020,7.932292458671483e-08
11845050,8.10076214960446e-08
11845080,8.235003868598723e-08
11845110,8.324671553694724e-08
11845140,8.353125294232023e-08
11845170,8.608933128475026e-08
11845200,8.746408392639185e-08
11845230,8.686446858793583e-08
11845260,8.458879383502158e-08
11845290,7.877735654739535e-08
11845320,7.070961468704211e-08
11845350,6.063775173429977e-08
11845380,4.9213568215541504e-08
11845410,3.7509174029050535e-08
11845440,2.6744542271951173e-08
11845470,1.4182281453076376e-08
11845500,-8.970889043186036e-10
11845530,-1.6097593669530492e-08
11845560,-2.998414728127377e-08
11845590,-4.1385489454345525e-08
11845620,-4.929158738868154e-08
11845650,-5.2945888126413785e-08
11845680,-5.4264567719443694e-08
11845710,-6.130590001929925e-08
11845740,-6.652460101384928e-08
11845770,-7.036210277952208e-08
11845800,-7.324690461513836e-08
11845830,-7.527470814487481e-08
11845860,-7.653690409960394e-08
11845890,-7.713781566619454e-08
11845920,-7.717745507457076e-08
11845950,-7.675281684132154e-08
11845980,-7.595227367336525e-08
11846010,-7.485298997364468e-08
11846040,-7.352221510905985e-08
11846070,-7.201599017575345e-08
11846100,-7.038044126892985e-08
11846130,-6.865479708484207e-08
11846160,-6.686880243310405e-08
11846190,-6.504616691874849e-08
11846220,-6.320628928562594e-08
11846250,-6.136641283953761e-08
11846280,-5.952179563331705e-08
11846310,-5.769571611492687e-08
11846340,-5.589119181645429e-08
11846370,-5.4105205109042683e-08
