time,hvac_reaZonWes_V_flow_y
11836800,-3.32694204408331e-08
11836830,-3.290421626144172e-08
11836860,-3.246801017420002e-08
11836890,-3.200091997723465e-08
11836920,-3.150517445042829e-08
11836950,-3.0978226447886505e-08
11836980,-3.0432811774069563e-08
11837010,-2.9875616724528715e-08
11837040,-2.9312054011254426e-08
11837070,-2.874467079045914e-08
11837100,-2.81741038489164e-08
11837130,-2.7607357864107595e-08
11837160,-2.704347764615176e-08
11837190,-2.6484373556125454e-08
11837220,-2.593068237622829e-08
11837250,-2.5383040888385757e-08
11837280,-2.4843041057503286e-08
11837310,-2.4310046087375398e-08
11837340,-2.3784374365210276e-08
11837370,-2.3264752306799513e-08
11837400,-2.2754363848231446e-08
11837430,-2.2248751463108414e-08
11837460,-2.175046229923455e-08
11837490,-2.1259177956122627e-08
11837520,-2.0774261639442935e-08
11837550,-2.029603173756095e-08
11837580,-1.9824169850750876e-08
11837610,-1.9358039185526337e-08
11837640,-1.8897639736798014e-08
11837670,-1.8443289893596504e-08
11837700,-1.7994989651022108e-08
11837730,-1.7551147034655956e-08
11837760,-1.711399079758072e-08
11837790,-1.6681610571844878e-08
11837820,-1.6254324747200405e-08
11837850,-1.5832451713408584e-08
11837880,-1.5415991466433884e-08
11837910,-1.500430721477234e-08
11837940,-1.4598035742258665e-08
11837970,-1.4196540257675845e-08
11838000,-1.3801412726134844e-08
11838030,-1.3410105994293191e-08
11838060,-1.3024530421111668e-08
11838090,-1.2644367609520262e-08
11838120,-1.2268980768972862e-08
11838150,-1.1899325077300856e-08
11838180,-1.1534445350545148e-08
11838210,-1.1174978373013043e-08
11838240,-1.0820605748229864e-08
11838270,-1.04716458669962e-08
11838300,-1.0128735513681927e-08
11838330,-9.789964324367327e-09
11838360,-9.456605870744266e-09
11838390,-9.128660150339192e-09
11838420,-8.805808767270177e-09
11838450,-8.488688506220705e-09
11838480,-8.176025791060682e-09
11838510,-7.86877580010516e-09
11838540,-7.566620137833169e-09
11838570,-7.2682852285528694e-09
11838600,-6.975999824431783e-09
11838630,-6.687853563087556e-09
11838660,-6.404483229647099e-09
11838690,-6.124933642271565e-09
11838720,-5.850796766329246e-09
11838750,-5.579207059896026e-09
11838780,-5.312074881832913e-09
11838810,-5.049081837370728e-09
11838840,-4.789591138482723e-09
11838870,-4.533602783929099e-09
11838900,-4.281116772516415e-09
11838930,-4.0305411364556354e-09
11838960,-3.784104627982368e-09
11838990,-3.5398968860939834e-09
11839020,-3.2972811232031635e-09
11839050,-3.0572125183193883e-09
11839080,-2.8190542839157193e-09
11839110,-2.5821696325288013e-09
11839140,-2.346240170042809e-09
11839170,-2.111902682239505e-09
11839200,-1.878520381747141e-09
11839230,-1.644501301388941e-09
11839260,-1.4111190135668364e-09
11839290,-1.1770999444289733e-09
11839320,-9.433992730856659e-10
11839350,-7.077882458923208e-10
11839380,-4.712220419601656e-10
11839410,-2.3370066056050366e-10
11839440,7.004651935145651e-12
11839470,2.496203231942006e-10
11839500,4.947831405306762e-10
11839530,7.428114980151254e-10
11839560,9.95297362832121e-10
11839590,1.2509671627800226e-09
11839620,1.5117312584103848e-09
11839650,1.7759976843415758e-09
11839680,2.046950374356577e-09
11839710,2.3229973632058474e-09
11839740,2.60573061847978e-09
11839770,2.8945133549105585e-09
11839800,3.190937540311258e-09
11839830,3.495003176201699e-09
11839860,3.807347050804156e-09
11839890,4.1279691658898185e-09
11839920,4.4590982765111935e-09
11839950,4.79914241825472e-09
11839980,5.150330346583088e-09
11840010,5.512662064019249e-09
11840040,5.886455966608645e-09
11840070,6.273940810681398e-09
11840100,6.673524632809941e-09
11840130,7.0874361899550116e-09
11840160,7.516630666118383e-09
11840190,7.961426458954274e-09
11840220,8.421823573089428e-09
11840250,8.900050767306108e-09
11840280,9.395789653778854e-09
11840310,9.910950599033962e-09
11840340,1.0447125576923285e-08
11840370,1.1003041020978325e-08
11840400,1.1581562480151742e-08
11840430,1.1817811018169712e-08
11840460,1.2019354698725448e-08
11840490,1.2232360577083447e-08
11840520,1.2447276849657524e-08
11840550,1.2663148336786345e-08
11840580,1.2882522187880049e-08
11840610,1.3104124829890771e-08
11840640,1.3328274657536768e-08
11840670,1.3554653278388876e-08
11840700,1.378326069361187e-08
11840730,1.4015370479032555e-08
11840760,1.4249390667705133e-08
11840790,1.4486276441911202e-08
11840820,1.4726027803042466e-08
11840850,1.496800796504883e-08
11840880,1.521380889805086e-08
11840910,1.5461838634832838e-08
11840940,1.5713052358189812e-08
11840970,1.5967768463562653e-08
11841000,1.6225668558832722e-08
11841030,1.6485479070242932e-08
11841060,1.6749428756461426e-08
11841090,1.7016880831644957e-08
11841120,1.728783529767469e-08
11841150,1.7561655368563833e-08
11841180,1.783929622807069e-08
11841210,1.8120121090267112e-08
11841240,1.8404129957128025e-08
11841270,1.8691959618772616e-08
11841300,1.8983610077407163e-08
11841330,1.9278762941178933e-08
11841360,1.9577099818174468e-08
11841390,1.987862071057044e-08
11841420,2.0183644014762927e-08
11841450,2.0492169733082968e-08
11841480,2.0803561079423147e-08
11841510,2.1118136450282322e-08
11841540,2.143621424230054e-08
11841570,2.1756202486322413e-08
11841600,2.2079374761802747e-08
11841630,2.2405094282389616e-08
11841660,2.2732724261504717e-08
11841690,2.306226470121612e-08
11841720,2.3393715603586582e-08
11841750,2.3725803392643976e-08
11841780,2.4059164859112673e-08
11841810,2.439284482108829e-08
11841840,2.472652488543803e-08
11841870,2.5058931474928724e-08
11841900,2.5390064590397768e-08
11841930,2.571960583788617e-08
11841960,2.604628163897499e-08
11841990,2.6368818414565014e-08
11842020,2.6687534558894928e-08
11842050,2.700083809710604e-08
11842080,2.7307455448315944e-08
11842110,2.7606431425766965e-08
11842140,2.789681084202486e-08
11842170,2.817732011395917e-08
11842200,2.8446048867497122e-08
11842230,2.8701723517490937e-08
11842260,2.894370726806997e-08
11842290,2.916881616153981e-08
11842320,2.937673179495966e-08
11842350,2.9558857489522377e-08
11842380,2.9724426695096742e-08
11842410,2.9844783826064634e-08
11842440,2.9986791884482794e-08
11842470,3.007944870487117e-08
11842500,3.01278485915414e-08
11842530,3.01673334203513e-08
11842560,3.016638202882034e-08
11842590,3.0135183054447126e-08
11842620,3.004667285648485e-08
11842650,2.9932054179444086e-08
11842680,3.061597183335534e-08
11842710,3.106077456202249e-08
11842740,3.123175710403163e-08
11842770,3.118432018352744e-08
11842800,3.0821989744083275e-08
11842830,3.0226593369716775e-08
11842860,2.945321343731558e-08
11842890,2.846905507966707e-08
11842920,2.728080452724361e-08
11842950,2.5957553646110545e-08
11842980,2.4543559453432413e-08
11843010,2.308658135254685e-08
11843040,2.164297546899894e-08
11843070,2.0277694650156378e-08
11843100,1.9065562048594445e-08
11843130,1.795436075533097e-08
11843160,1.6528902146540317e-08
11843190,1.4879929095042303e-08
11843220,1.3123019421843465e-08
11843250,1.1322489189072071e-08
11843280,9.53055542001612e-09
11843310,7.79879835585322e-09
11843340,6.174659090300618e-09
11843370,4.701121167547985e-09
11843400,3.41671057782327e-09
11843430,2.3574061322423067e-09
11843460,1.5528187060377596e-09
11843490,1.0281016165631098e-09
11843520,7.972643030332563e-10
11843550,8.701770479805943e-10
11843580,3.7952836950182687e-10
11843610,-6.902831344300663e-10
11843640,-1.504740796348269e-09
11843670,-2.2647526648428517e-09
11843700,-2.988148926209746e-09
11843730,-3.6736559912829534e-09
11843760,-4.31968187596318e-09
11843790,-4.926226578663783e-09
11843820,-5.493290098892882e-09
11843850,-6.021190833393248e-09
11843880,-6.509928783596269e-09
11843910,-6.961095932744308e-09
11843940,-7.374373887520966e-09
11843970,-7.752309820821688e-09
11844000,-8.0968141133903e-09
11844030,-6.84137781061582e-09
11844060,-4.41360711615719e-09
11844090,-2.4389142758919976e-09
11844120,-5.008370882675729e-10
11844150,1.4458367462784423e-09
11844180,3.3956945438868583e-09
11844210,5.343642017022974e-09
11844240,7.289360819672899e-09
11844270,9.23348779397239e-09
11844300,1.117634138581119e-08
11844330,1.3119832021817617e-08
11844360,1.5067462109888645e-08
11844390,1.7019231700848874e-08
11844420,1.8977688015709804e-08
11844450,2.094505988060752e-08
11844480,2.2923894519511303e-08
11844510,2.4915465573156508e-08
11844540,2.692263866565365e-08
11844570,2.89457322527569e-08
11844600,3.0985701584641084e-08
11844630,3.304190993117152e-08
11844660,3.5115630942219356e-08
11844690,3.720336232149732e-08
11844720,3.9302238564704756e-08
11844750,4.1408438976149035e-08
11844780,4.351527728691678e-08
11844810,4.5613838444698215e-08
11844840,4.7693297006937565e-08
11844870,4.973709637428872e-08
11844900,5.1728361530422895e-08
11844930,5.3647351862905074e-08
11844960,5.5422109604731784e-08
11844990,5.6968577814694e-08
11845020,5.8587641725589674e-08
11845050,5.983195312048941e-08
11845080,6.082345788131871e-08
11845110,6.148574034709246e-08
11845140,6.169589870484813e-08
11845170,6.358528664929343e-08
11845200,6.460067426453139e-08
11845230,6.415780041935155e-08
11845260,6.247699480354297e-08
11845290,5.81846870313305e-08
11845320,5.222588039237206e-08
11845350,4.4786836745671496e-08
11845380,3.6348973738329806e-08
11845410,2.770414808690576e-08
11845440,1.9753427762626784e-08
11845470,1.047498474058376e-08
11845500,-6.625868069799172e-10
11845530,-1.1889627815267527e-08
