time,weaSta_reaWeaHGloHor_y
11836800,0.0
11836830,0.0
11836860,0.0
11836890,0.0
11836920,0.0
11836950,0.0
11836980,0.0
11837010,0.0
11837040,0.0
11837070,0.0
11837100,0.0
11837130,0.0
11837160,0.0
11837190,0.0
11837220,0.0
11837250,0.0
11837280,0.0
11837310,0.0
11837340,0.0
11837370,0.0
11837400,0.0
11837430,0.0
11837460,0.0
11837490,0.0
11837520,0.0
11837550,0.0
11837580,0.0
11837610,0.0
11837640,0.0
11837670,0.0
11837700,0.0
11837730,0.0
11837760,0.0
11837790,0.0
11837820,0.0
11837850,0.0
11837880,0.0
11837910,0.0
11837940,0.0
11837970,0.0
11838000,0.0
11838030,0.0
11838060,0.0
11838090,0.0
11838120,0.0
11838150,0.0
11838180,0.0
11838210,0.0
11838240,0.0
11838270,0.0
11838300,0.0
11838330,0.0
11838360,0.0
11838390,0.0
11838420,0.0
11838450,0.0
11838480,0.0
11838510,0.0
11838540,0.0
11838570,0.0
11838600,0.0
11838630,0.0
11838660,0.0
11838690,0.0
11838720,0.0
11838750,0.0
11838780,0.0
11838810,0.0
11838840,0.0
11838870,0.0
11838900,0.0
11838930,0.0
11838960,0.0
11838990,0.0
11839020,0.0
11839050,0.0
11839080,0.0
11839110,0.0
11839140,0.0
11839170,0.0
11839200,0.0
11839230,0.0
11839260,0.0
11839290,0.0
11839320,0.0
11839350,0.0
11839380,0.0
11839410,0.0
11839440,0.0
11839470,0.0
11839500,0.0
11839530,0.0
11839560,0.0
11839590,0.0
11839620,0.0
11839650,0.0
11839680,0.0
11839710,0.0
11839740,0.0
11839770,0.0
11839800,0.0
11839830,0.0
11839860,0.0
11839890,0.0
11839920,0.0
11839950,0.0
11839980,0.0
11840010,0.0
11840040,0.0
11840070,0.0
11840100,0.0
11840130,0.0
11840160,0.0
11840190,0.0
11840220,0.0
11840250,0.0
11840280,0.0
11840310,0.0
11840340,0.0
11840370,0.0
11840400,0.0
11840430,0.0
11840460,0.0
11840490,0.0
11840520,0.0
11840550,0.0
11840580,0.0
11840610,0.0
11840640,0.0
11840670,0.0
11840700,0.0
11840730,0.0
11840760,0.0
11840790,0.0
11840820,0.0
11840850,0.0
11840880,0.0
11840910,0.0
11840940,0.0
11840970,0.0
11841000,0.0
11841030,0.0
11841060,0.0
11841090,0.0
11841120,0.0
11841150,0.0
11841180,0.0
11841210,0.0
11841240,0.0
11841270,0.0
11841300,0.0
11841330,0.0
11841360,0.0
11841390,0.0
11841420,0.0
11841450,0.0
11841480,0.0
11841510,0.0
11841540,0.0
11841570,0.0
11841600,0.0
11841630,0.0
11841660,0.0
11841690,0.0
11841720,0.0
11841750,0.0
11841780,0.0
11841810,0.0
11841840,0.0
11841870,0.0
11841900,0.0
11841930,0.0
11841960,0.0
11841990,0.0
11842020,0.0
11842050,0.0
11842080,0.0
11842110,0.0
11842140,0.0
11842170,0.0
11842200,0.0
11842230,0.0
11842260,0.0
11842290,0.0
11842320,0.0
11842350,0.0
11842380,0.0
11842410,0.0
11842440,0.0
11842470,0.0
11842500,0.0
11842530,0.0
11842560,0.0
11842590,0.0
11842620,0.0
11842650,0.0
11842680,0.0
11842710,0.0
11842740,0.0
11842770,0.0
11842800,0.0
11842830,0.0
11842860,0.0
11842890,0.0
11842920,0.0
11842950,0.0
11842980,0.0
11843010,0.0
11843040,0.0
11843070,0.0
11843100,0.0
11843130,0.0
11843160,0.0
11843190,0.0
11843220,0.0
11843250,0.0
11843280,0.0
11843310,0.0
11843340,0.0
11843370,0.0
11843400,0.0
11843430,0.0
11843460,0.0
11843490,0.0
11843520,0.0
11843550,0.0
11843580,0.0
11843610,0.0
11843640,0.0
11843670,0.0
11843700,0.0
11843730,0.0
11843760,0.0
11843790,0.0
11843820,0.0
11843850,0.0
11843880,0.0
11843910,0.0
11843940,0.0
11843970,0.0
11844000,0.0
11844030,0.0
11844060,0.0
11844090,0.0
11844120,0.0
11844150,0.0
11844180,0.0
11844210,0.0
11844240,0.0
11844270,0.0
11844300,0.0
11844330,0.0
11844360,0.0
11844390,0.0
11844420,0.0
11844450,0.0
11844480,0.0
11844510,0.0
11844540,0.0
11844570,0.0
11844600,0.0
11844630,0.0
11844660,0.0
11844690,0.0
11844720,0.0
11844750,0.0
11844780,0.0
11844810,0.0
11844840,0.0
11844870,0.0
11844900,0.0
11844930,0.0
11844960,0.0
11844990,0.0
11845020,0.0
11845050,0.0
11845080,0.0
11845110,0.0
11845140,0.0
11845170,0.0
11845200,0.0
11845230,0.0
11845260,0.0
11845290,0.0
11845320,0.0
11845350,0.0
11845380,0.0
11845410,0.0
11845440,0.0
11845470,0.0
11845500,0.0
11845530,0.0
11845560,0.0
11845590,0.0
11845620,0.0
11845650,0.0
11845680,0.0
11845710,0.0
11845740,0.0
11845770,0.0
11845800,0.0
11845830,0.0
11845860,0.0
11845890,0.0
11845920,0.0
11845950,0.0
11845980,0.0
11846010,0.0
11846040,0.0
11846070,0.0
11846100,0.0
11846130,0.0
11846160,0.0
11846190,0.0
11846220,0.0
11846250,0.0
11846280,0.0
11846310,0.0
11846340,0.0
11846370,0.0
11846400,0.0
11846430,0.0
11846460,0.0
11846490,0.0
11846520,0.0
11846550,0.0
11846580,0.0
11846610,0.0
11846640,0.0
11846670,0.0
11846700,0.0
11846730,0.0
11846760,0.0
11846790,0.0
11846820,0.0
11846850,0.0
11846880,0.0
11846910,0.0
11846940,0.0
11846970,0.0
11847000,0.0
11847030,0.0
11847060,0.0
11847090,0.0
11847120,0.0
11847150,0.0
11847180,0.0
11847210,0.0
11847240,0.0
11847270,0.0
11847300,0.0
11847330,0.0
11847360,0.0
11847390,0.0
11847420,0.0
11847450,0.0
11847480,0.0
11847510,0.0
11847540,0.0
11847570,0.0
11847600,0.0
11847630,0.0
11847660,0.0
11847690,0.0
11847720,0.0
11847750,0.0
11847780,0.0
11847810,0.0
11847840,0.0
11847870,0.0
11847900,0.0
11847930,0.0
11847960,0.0
11847990,0.0
11848020,0.0
11848050,0.0
11848080,0.0
11848110,0.0
11848140,0.0
11848170,0.0
11848200,0.0
11848230,0.0
11848260,0.0
11848290,0.0
11848320,0.0
11848350,0.0
11848380,0.0
11848410,0.0
11848440,0.0
11848470,0.0
11848500,0.0
11848530,0.0
11848560,0.0
11848590,0.0
11848620,0.0
11848650,0.0
11848680,0.0
11848710,0.0
11848740,0.0
11848770,0.0
11848800,0.0
11848830,0.0
11848860,0.0
11848890,0.0
11848920,0.0
11848950,0.0
11848980,0.0
11849010,0.0
11849040,0.0
11849070,0.0
11849100,0.0
11849130,0.0
11849160,0.0
11849190,0.0
11849220,0.0
11849250,0.0
11849280,0.0
11849310,0.0
11849340,0.0
11849370,0.0
11849400,0.0
11849430,0.0012109375
11849460,0.004826388888888888
11849490,0.0108203125
11849520,0.01916666666666667
11849550,0.02983940972222222
11849580,0.042812499999999996
11849610,0.058059895833333326
11849640,0.07555555555555556
11849670,0.0952734375
11849700,0.11718749999999999
11849730,0.1412717013888889
11849760,0.16749999999999998
11849790,0.19584635416666663
11849820,0.2262847222222222
11849850,0.2587890625
11849880,0.29333333333333333
11849910,0.3298914930555555
11849940,0.3684374999999999
11849970,0.4089453125
11850000,0.4513888888888889
11850030,0.49574218749999993
11850060,0.5419791666666666
11850090,0.5900737847222222
11850120,0.64
11850150,0.6917317708333334
11850180,0.7452430555555555
11850210,0.8005078125
11850240,0.8574999999999999
11850270,0.916193576388889
11850300,0.9765625
11850330,1.0385807291666667
11850360,1.1022222222222222
11850390,1.1674609375
11850420,1.2342708333333332
11850450,1.3026258680555556
11850480,1.3724999999999998
11850510,1.4438671874999998
11850540,1.5167013888888887
11850570,1.5909765624999999
11850600,1.6666666666666667
11850630,1.7437456597222223
11850660,1.8221874999999998
11850690,1.9019661458333332
11850720,1.9830555555555556
11850750,2.0654296875
11850780,2.1490625
11850810,2.2339279513888886
11850840,2.32
11850870,2.4072526041666666
11850900,2.4956597222222223
11850930,2.5851953125
11850960,2.675833333333333
11850990,2.7675477430555553
11851020,2.8603125
11851050,2.9541015625
11851080,3.0488888888888885
11851110,3.1446484375
11851140,3.241354166666666
11851170,3.3389800347222223
11851200,3.4375
11851230,3.536888020833333
11851260,3.6371180555555553
11851290,3.7381640624999997
11851320,3.84
11851350,3.942599826388889
11851380,4.0459375
11851410,4.149986979166667
11851440,4.254722222222222
11851470,4.3601171875
11851500,4.466145833333332
11851530,4.572782118055556
11851560,4.68
11851590,4.787773437499999
11851620,4.896076388888889
11851650,5.004882812499999
11851680,5.114166666666667
11851710,5.223901909722222
11851740,5.334062499999999
11851770,5.444622395833332
11851800,5.5555555555555545
11851830,5.6668359375
11851860,5.778437499999999
11851890,5.890334201388889
11851920,6.002499999999999
11851950,6.114908854166666
11851980,6.227534722222222
11852010,6.3403515624999995
11852040,6.453333333333333
11852070,6.566453993055554
11852100,6.6796875
11852130,6.7930078125
11852160,6.906388888888889
11852190,7.0198046875
11852220,7.133229166666665
11852250,7.246636284722222
11852280,7.36
11852310,7.473294270833333
11852340,7.586493055555555
11852370,7.699570312499998
11852400,7.8125
11852430,7.925256076388888
11852460,8.0378125
11852490,8.150143229166666
11852520,8.26222222222222
11852550,8.374023437499998
11852580,8.485520833333332
11852610,8.596688368055554
11852640,8.7075
11852670,8.8179296875
11852700,8.927951388888888
11852730,9.037539062499999
11852760,9.146666666666667
11852790,9.25530815972222
11852820,9.363437499999998
11852850,9.471028645833332
11852880,9.578055555555554
11852910,9.684492187499998
11852940,9.790312499999999
11852970,9.895490451388886
11853000,10.0
11853030,10.102265518396687
11853060,10.200828825536062
11853090,10.295840049342106
11853120,10.387449317738792
11853150,10.475806758650098
11853180,10.5610625
11853210,10.643366669712476
11853240,10.722869395711502
11853270,10.799720805921053
11853300,10.874071028265107
11853330,10.946070190667642
11853360,11.015868421052632
11853390,11.083615847344054
11853420,11.149462597465888
11853450,11.213558799342106
11853480,11.276054580896687
11853510,11.337100070053607
11853540,11.396845394736843
11853570,11.455440682870371
11853600,11.513036062378168
11853630,11.56978166118421
11853660,11.625827607212475
11853690,11.681324028386939
11853720,11.736421052631579
11853750,11.79126880787037
11853780,11.846017422027291
11853810,11.900817023026317
11853840,11.955817738791424
11853870,12.01116969724659
11853900,12.067023026315791
11853930,12.123527853923003
11853960,12.180834307992203
11853990,12.23909251644737
11854020,12.298452607212477
11854050,12.359064708211502
11854080,12.421078947368422
11854110,12.484645452607214
11854140,12.549914351851854
11854170,12.617035773026316
11854200,12.686159844054583
11854230,12.757436692860624
11854260,12.831016447368423
11854290,12.907049235501951
11854320,12.985685185185186
11854350,13.067074424342106
11854380,13.151367080896687
11854410,13.238713282772906
11854440,13.329263157894738
11854470,13.423166834186162
11854500,13.520574439571153
11854530,13.621636101973687
11854560,13.72650194931774
11854590,13.835322109527294
11854620,13.948246710526316
11854650,14.065425880238793
