time,weaSta_reaWeaTWetBul_y
11836800,284.25
11836830,284.2489051627385
11836860,284.247607343274
11836890,284.24611038961035
11836920,284.2444181497515
11836950,284.2425344717011
11836980,284.2404632034632
11837010,284.2382081930415
11837040,284.23577328843993
11837070,284.2331623376623
11837100,284.2303791887125
11837130,284.2274276895943
11837160,284.2243116883117
11837190,284.2210350328684
11837220,284.21760157126823
11837250,284.2140151515151
11837280,284.2102796216129
11837310,284.2063988295655
11837340,284.2023766233766
11837370,284.1982168510502
11837400,284.19392336059
11837430,284.18949999999995
11837460,284.1849506172839
11837490,284.1802790604457
11837520,284.17548917748917
11837550,284.1705848164181
11837580,284.16556982523645
11837610,284.16044805194804
11837640,284.15522334455665
11837670,284.1498995510662
11837700,284.1444805194805
11837730,284.1389700978034
11837760,284.1333721340388
11837790,284.1276904761905
11837820,284.12192897226225
11837850,284.11609147025814
11837880,284.1101818181818
11837910,284.1042038640372
11837940,284.0981614558281
11837970,284.09205844155844
11838000,284.085898669232
11838030,284.0796859868526
11838060,284.0734242424242
11838090,284.0671172839506
11838120,284.0607689594356
11838150,284.0543831168831
11838180,284.0479636042969
11838210,284.04151426968093
11838240,284.03503896103894
11838270,284.02854152637485
11838300,284.02202581369244
11838330,284.0154956709956
11838360,284.00895494628827
11838390,284.00240748757415
11838420,283.9958571428571
11838450,283.98930776014106
11838480,283.98276318742984
11838510,283.9762272727273
11838540,283.96970386403717
11838570,283.96319680936347
11838600,283.9567099567099
11838630,283.95024715408044
11838660,283.94381224947887
11838690,283.93740909090906
11838720,283.9310415263748
11838750,283.92471340388005
11838780,283.91842857142854
11838810,283.91219087702416
11838840,283.9060041686708
11838870,283.89987229437224
11838900,283.8937991021324
11838930,283.8877884399551
11838960,283.88184415584414
11838990,283.8759700978034
11839020,283.87017011383676
11839050,283.86444805194805
11839080,283.8588077601411
11839110,283.8532530864197
11839140,283.84778787878787
11839170,283.8424159852493
11839200,283.8371412538079
11839230,283.8319675324675
11839260,283.826898669232
11839290,283.82193851210513
11839320,283.8170909090909
11839350,283.812359708193
11839380,283.8077487574154
11839410,283.8032619047619
11839440,283.7989029982363
11839470,283.79467588584254
11839500,283.7905844155844
11839530,283.7866324354657
11839560,283.7828237934904
11839590,283.77916233766234
11839620,283.77565191598524
11839650,283.77229637646303
11839680,283.76909956709954
11839710,283.76606533589865
11839740,283.76319753086415
11839770,283.7605
11839800,283.7579765913099
11839830,283.7556311527978
11839860,283.7534675324675
11839890,283.7514895783229
11839920,283.74970113836775
11839950,283.74810606060606
11839980,283.7467081930415
11840010,283.74551138367804
11840040,283.74451948051944
11840070,283.74373633156966
11840100,283.7431657848324
11840130,283.7428116883117
11840160,283.7426778900112
11840190,283.7427682379349
11840220,283.7430865800866
11840250,283.74363676447007
11840280,283.7444226390893
11840310,283.745448051948
11840340,283.74671685105017
11840370,283.7482328843995
11840400,283.75
11840430,283.75204612794613
11840460,283.75439355459355
11840490,283.75703766233767
11840520,283.75997383357384
11840550,283.7631974506974
11840580,283.7667038961039
11840610,283.7704885521885
11840640,283.7745468013468
11840670,283.778874025974
11840700,283.7834656084656
11840730,283.7883169312169
11840760,283.79342337662337
11840790,283.7987803270803
11840820,283.80438316498316
11840850,283.8102272727273
11840880,283.81630803270804
11840910,283.8226208273208
11840940,283.829161038961
11840970,283.835924050024
11841000,283.8429052429052
11841030,283.8501
11841060,283.8575037037037
11841090,283.86511173641173
11841120,283.87291948051944
11841150,283.8809223184223
11841180,283.8891156325156
11841210,283.8974948051948
11841240,283.9060552188552
11841270,283.9147922558922
11841300,283.9237012987013
11841330,283.9327777296777
11841360,283.9420169312169
11841390,283.95141428571424
11841420,283.96096517556515
11841450,283.97066498316497
11841480,283.9805090909091
11841510,283.99049288119284
11841540,284.0006117364117
11841570,284.010861038961
11841600,284.0212361712361
11841630,284.0317325156325
11841660,284.04234545454545
11841690,284.05307037037034
11841720,284.0639026455026
11841750,284.07483766233764
11841780,284.0858708032708
11841810,284.0969974506974
11841840,284.10821298701296
