,Occupancy[cor]
951000,2
951600,2
952200,2
952800,2
953400,2
954000,2
954600,2
955200,2
955800,2
956400,2
957000,2
957600,2
958200,2
958800,2
959400,2
960000,2
960600,2
961200,2
961800,2
962400,2
963000,2
963600,2
964200,2
964800,2
965400,2
966000,2
966600,2
967200,2
967800,2
968400,2
969000,2
969600,2
970200,2
970800,2
971400,2
972000,2
972600,2
973200,2
973800,2
974400,2
975000,2
975600,2
976200,2
976800,2
977400,2
978000,2
978600,2
979200,2
979800,2
980400,12
981000,23
981600,23
982200,33
982800,44
983400,44
984000,44
984600,44
985200,44
985800,44
986400,44
987000,44
987600,44
988200,44
988800,44
989400,44
990000,44
990600,44
991200,44
991800,44
992400,44
993000,44
993600,39
994200,39
994800,39
995400,39
996000,39
996600,39
997200,49
997800,49
998400,49
999000,49
999600,49
1000200,49
1000800,49
1001400,49
1002000,49
1002600,49
1003200,49
1003800,49
1004400,49
1005000,49
1005600,49
1006200,49
1006800,49
1007400,49
1008000,49
1008600,49
1009200,49
1009800,49
1010400,49
1011000,49
1011600,49
1012200,49
1012800,43
1013400,38
1014000,38
1014600,32
1015200,27
1015800,27
1016400,21
1017000,16
1017600,16
1018200,10
1018800,4
1019400,4
1020000,4
1020600,4
1021200,4
1021800,4
1022400,4
1023000,4
1023600,4
1024200,4
1024800,4
1025400,4
1026000,3
1026600,3
1027200,3
1027800,3
1028400,3
1029000,3
1029600,3
1030200,3
1030800,3
1031400,3
1032000,3
1032600,3
1033200,2
1033800,2
1034400,2
1035000,2
1035600,2
1036200,2
1036800,2
1037400,2
1038000,2
1038600,2
1039200,2
1039800,2
1040400,2
1041000,2
1041600,2
1042200,2
1042800,2
1043400,2
1044000,2
1044600,2
1045200,2
1045800,2
1046400,2
1047000,2
1047600,2
1048200,2
1048800,2
1049400,2
1050000,2
1050600,2
1051200,2
1051800,2
1052400,2
1053000,2
1053600,2
1054200,2
1054800,2
1055400,2
1056000,2
1056600,2
1057200,2
1057800,2
1058400,2
1059000,2
1059600,2
1060200,2
1060800,2
1061400,2
1062000,2
1062600,2
1063200,2
1063800,2
1064400,2
1065000,2
1065600,2
1066200,2
1066800,12
1067400,23
1068000,23
1068600,33
1069200,44
1069800,44
1070400,44
1071000,44
1071600,44
1072200,44
1072800,44
1073400,44
1074000,44
1074600,44
1075200,44
1075800,44
1076400,44
1077000,44
1077600,44
1078200,44
1078800,44
1079400,44
1080000,39
1080600,39
1081200,39
1081800,39
1082400,39
1083000,39
1083600,49
1084200,49
1084800,49
1085400,49
1086000,49
1086600,49
1087200,49
1087800,49
1088400,49
1089000,49
1089600,49
1090200,49
1090800,49
1091400,49
1092000,49
1092600,49
1093200,49
1093800,49
1094400,49
1095000,49
1095600,49
1096200,49
1096800,49
1097400,49
1098000,49
1098600,49
1099200,43
1099800,38
1100400,38
1101000,32
1101600,27
1102200,27
1102800,21
1103400,16
1104000,16
1104600,10
1105200,4
1105800,4
1106400,4
1107000,4
1107600,4
1108200,4
1108800,4
1109400,4
1110000,4
1110600,4
1111200,4
1111800,4
1112400,3
1113000,3
1113600,3
1114200,3
1114800,3
1115400,3
1116000,3
1116600,3
1117200,3
1117800,3
1118400,3
1119000,3
1119600,2
1120200,2
1120800,2
1121400,2
1122000,2
1122600,2
1123200,2
1123800,2
1124400,2
1125000,2
1125600,2
1126200,2
1126800,2
1127400,2
1128000,2
1128600,2
1129200,2
1129800,2
1130400,2
1131000,2
1131600,2
1132200,2
