timestamp,Occupancy[cor]
950400,2.0
950430,2.0
950460,2.0
950490,2.0
950520,2.0
950550,2.0
950580,2.0
950610,2.0
950640,2.0
950670,2.0
950700,2.0
950730,2.0
950760,2.0
950790,2.0
950820,2.0
950850,2.0
950880,2.0
950910,2.0
950940,2.0
950970,2.0
951000,2.0
951030,2.0
951060,2.0
951090,2.0
951120,2.0
951150,2.0
951180,2.0
951210,2.0
951240,2.0
951270,2.0
951300,2.0
951330,2.0
951360,2.0
951390,2.0
951420,2.0
951450,2.0
951480,2.0
951510,2.0
951540,2.0
951570,2.0
951600,2.0
951630,2.0
951660,2.0
951690,2.0
951720,2.0
951750,2.0
951780,2.0
951810,2.0
951840,2.0
951870,2.0
951900,2.0
951930,2.0
951960,2.0
951990,2.0
952020,2.0
952050,2.0
952080,2.0
952110,2.0
952140,2.0
952170,2.0
952200,2.0
952230,2.0
952260,2.0
952290,2.0
952320,2.0
952350,2.0
952380,2.0
952410,2.0
952440,2.0
952470,2.0
952500,2.0
952530,2.0
952560,2.0
952590,2.0
952620,2.0
952650,2.0
952680,2.0
952710,2.0
952740,2.0
952770,2.0
952800,2.0
952830,2.0
952860,2.0
952890,2.0
952920,2.0
952950,2.0
952980,2.0
953010,2.0
953040,2.0
953070,2.0
953100,2.0
953130,2.0
953160,2.0
953190,2.0
953220,2.0
953250,2.0
953280,2.0
953310,2.0
953340,2.0
953370,2.0
953400,2.0
953430,2.0
953460,2.0
953490,2.0
953520,2.0
953550,2.0
953580,2.0
953610,2.0
953640,2.0
953670,2.0
953700,2.0
953730,2.0
953760,2.0
953790,2.0
953820,2.0
953850,2.0
953880,2.0
953910,2.0
953940,2.0
953970,2.0
954000,2.0
954030,2.0
954060,2.0
954090,2.0
954120,2.0
954150,2.0
954180,2.0
954210,2.0
954240,2.0
954270,2.0
954300,2.0
954330,2.0
954360,2.0
954390,2.0
954420,2.0
954450,2.0
954480,2.0
954510,2.0
954540,2.0
954570,2.0
954600,2.0
954630,2.0
954660,2.0
954690,2.0
954720,2.0
954750,2.0
954780,2.0
954810,2.0
954840,2.0
954870,2.0
954900,2.0
954930,2.0
954960,2.0
954990,2.0
955020,2.0
955050,2.0
955080,2.0
955110,2.0
955140,2.0
955170,2.0
955200,2.0
955230,2.0
955260,2.0
955290,2.0
955320,2.0
955350,2.0
955380,2.0
955410,2.0
955440,2.0
955470,2.0
955500,2.0
955530,2.0
955560,2.0
955590,2.0
955620,2.0
955650,2.0
955680,2.0
955710,2.0
955740,2.0
955770,2.0
955800,2.0
955830,2.0
955860,2.0
955890,2.0
955920,2.0
955950,2.0
955980,2.0
956010,2.0
956040,2.0
956070,2.0
956100,2.0
956130,2.0
956160,2.0
956190,2.0
956220,2.0
956250,2.0
956280,2.0
956310,2.0
956340,2.0
956370,2.0
956400,2.0
956430,2.0
956460,2.0
956490,2.0
956520,2.0
956550,2.0
956580,2.0
956610,2.0
956640,2.0
956670,2.0
956700,2.0
956730,2.0
956760,2.0
956790,2.0
956820,2.0
956850,2.0
956880,2.0
956910,2.0
956940,2.0
956970,2.0
957000,2.0
957030,2.0
957060,2.0
957090,2.0
957120,2.0
957150,2.0
957180,2.0
957210,2.0
957240,2.0
957270,2.0
957300,2.0
957330,2.0
957360,2.0
957390,2.0
957420,2.0
957450,2.0
957480,2.0
957510,2.0
957540,2.0
957570,2.0
957600,2.0
957630,2.0
957660,2.0
957690,2.0
957720,2.0
957750,2.0
957780,2.0
957810,2.0
957840,2.0
957870,2.0
957900,2.0
957930,2.0
957960,2.0
957990,2.0
958020,2.0
958050,2.0
958080,2.0
958110,2.0
958140,2.0
958170,2.0
958200,2.0
958230,2.0
958260,2.0
958290,2.0
958320,2.0
958350,2.0
958380,2.0
958410,2.0
958440,2.0
958470,2.0
958500,2.0
958530,2.0
958560,2.0
958590,2.0
958620,2.0
958650,2.0
958680,2.0
958710,2.0
958740,2.0
958770,2.0
958800,2.0
958830,2.0
958860,2.0
958890,2.0
958920,2.0
958950,2.0
958980,2.0
959010,2.0
959040,2.0
959070,2.0
959100,2.0
959130,2.0
959160,2.0
959190,2.0
959220,2.0
959250,2.0
959280,2.0
959310,2.0
959340,2.0
959370,2.0
959400,2.0
959430,2.0
959460,2.0
959490,2.0
959520,2.0
959550,2.0
959580,2.0
959610,2.0
959640,2.0
959670,2.0
959700,2.0
959730,2.0
959760,2.0
959790,2.0
959820,2.0
959850,2.0
959880,2.0
959910,2.0
959940,2.0
959970,2.0
960000,2.0
960030,2.0
960060,2.0
960090,2.0
960120,2.0
960150,2.0
960180,2.0
960210,2.0
960240,2.0
960270,2.0
960300,2.0
960330,2.0
960360,2.0
960390,2.0
960420,2.0
960450,2.0
960480,2.0
960510,2.0
960540,2.0
960570,2.0
960600,2.0
960630,2.0
960660,2.0
960690,2.0
960720,2.0
960750,2.0
960780,2.0
960810,2.0
960840,2.0
960870,2.0
960900,2.0
960930,2.0
960960,2.0
960990,2.0
961020,2.0
961050,2.0
961080,2.0
961110,2.0
961140,2.0
961170,2.0
961200,2.0
961230,2.0
961260,2.0
961290,2.0
961320,2.0
961350,2.0
961380,2.0
961410,2.0
961440,2.0
961470,2.0
961500,2.0
961530,2.0
961560,2.0
961590,2.0
961620,2.0
961650,2.0
961680,2.0
961710,2.0
961740,2.0
961770,2.0
961800,2.0
961830,2.0
961860,2.0
961890,2.0
961920,2.0
961950,2.0
961980,2.0
962010,2.0
962040,2.0
962070,2.0
962100,2.0
962130,2.0
962160,2.0
962190,2.0
962220,2.0
962250,2.0
962280,2.0
962310,2.0
962340,2.0
962370,2.0
962400,2.0
962430,2.0
962460,2.0
962490,2.0
962520,2.0
962550,2.0
962580,2.0
962610,2.0
962640,2.0
962670,2.0
962700,2.0
962730,2.0
962760,2.0
962790,2.0
962820,2.0
962850,2.0
962880,2.0
962910,2.0
962940,2.0
962970,2.0
963000,2.0
963030,2.0
963060,2.0
963090,2.0
963120,2.0
963150,2.0
963180,2.0
963210,2.0
963240,2.0
963270,2.0
963300,2.0
963330,2.0
963360,2.0
963390,2.0
963420,2.0
963450,2.0
963480,2.0
963510,2.0
963540,2.0
963570,2.0
963600,2.0
963630,2.0
963660,2.0
963690,2.0
963720,2.0
963750,2.0
963780,2.0
963810,2.0
963840,2.0
963870,2.0
963900,2.0
963930,2.0
963960,2.0
963990,2.0
