,Occupancy[eas]
951000,0
951600,0
952200,0
952800,0
953400,0
954000,0
954600,0
955200,0
955800,0
956400,0
957000,0
957600,0
958200,0
958800,0
959400,0
960000,0
960600,0
961200,0
961800,0
962400,0
963000,0
963600,0
964200,0
964800,0
965400,0
966000,0
966600,0
967200,0
967800,0
968400,0
969000,0
969600,0
970200,0
970800,0
971400,0
972000,0
972600,0
973200,0
973800,0
974400,0
975000,0
975600,0
976200,0
976800,0
977400,0
978000,0
978600,0
979200,0
979800,0
980400,1
981000,3
981600,3
982200,4
982800,5
983400,5
984000,5
984600,5
985200,5
985800,5
986400,5
987000,5
987600,5
988200,5
988800,5
989400,5
990000,5
990600,5
991200,5
991800,5
992400,5
993000,5
993600,5
994200,5
994800,5
995400,5
996000,5
996600,5
997200,6
997800,6
998400,6
999000,6
999600,6
1000200,6
1000800,6
1001400,6
1002000,6
1002600,6
1003200,6
1003800,6
1004400,6
1005000,6
1005600,6
1006200,6
1006800,6
1007400,6
1008000,6
1008600,6
1009200,6
1009800,6
1010400,6
1011000,6
1011600,6
1012200,6
1012800,5
1013400,5
1014000,5
1014600,4
1015200,3
1015800,3
1016400,2
1017000,2
1017600,2
1018200,1
1018800,0
1019400,0
1020000,0
1020600,0
1021200,0
1021800,0
1022400,0
1023000,0
1023600,0
1024200,0
1024800,0
1025400,0
1026000,0
1026600,0
1027200,0
1027800,0
1028400,0
1029000,0
1029600,0
1030200,0
1030800,0
1031400,0
1032000,0
1032600,0
1033200,0
1033800,0
1034400,0
1035000,0
1035600,0
1036200,0
1036800,0
1037400,0
1038000,0
1038600,0
1039200,0
1039800,0
1040400,0
1041000,0
1041600,0
1042200,0
1042800,0
1043400,0
1044000,0
1044600,0
1045200,0
1045800,0
1046400,0
1047000,0
1047600,0
1048200,0
1048800,0
1049400,0
1050000,0
1050600,0
1051200,0
1051800,0
1052400,0
1053000,0
1053600,0
1054200,0
1054800,0
1055400,0
1056000,0
1056600,0
1057200,0
1057800,0
1058400,0
1059000,0
1059600,0
1060200,0
1060800,0
1061400,0
1062000,0
1062600,0
1063200,0
1063800,0
1064400,0
1065000,0
1065600,0
1066200,0
1066800,1
1067400,3
1068000,3
1068600,4
1069200,5
1069800,5
1070400,5
1071000,5
1071600,5
1072200,5
1072800,5
1073400,5
1074000,5
1074600,5
1075200,5
1075800,5
1076400,5
1077000,5
1077600,5
1078200,5
1078800,5
1079400,5
1080000,5
1080600,5
1081200,5
1081800,5
1082400,5
1083000,5
1083600,6
1084200,6
1084800,6
1085400,6
1086000,6
1086600,6
1087200,6
1087800,6
1088400,6
1089000,6
1089600,6
1090200,6
1090800,6
1091400,6
1092000,6
1092600,6
1093200,6
1093800,6
1094400,6
1095000,6
1095600,6
1096200,6
1096800,6
1097400,6
1098000,6
1098600,6
1099200,5
1099800,5
1100400,5
1101000,4
1101600,3
1102200,3
1102800,2
1103400,2
1104000,2
1104600,1
1105200,0
1105800,0
1106400,0
1107000,0
1107600,0
1108200,0
1108800,0
1109400,0
1110000,0
1110600,0
1111200,0
1111800,0
1112400,0
1113000,0
1113600,0
1114200,0
1114800,0
1115400,0
1116000,0
1116600,0
1117200,0
1117800,0
1118400,0
1119000,0
1119600,0
1120200,0
1120800,0
1121400,0
1122000,0
1122600,0
1123200,0
1123800,0
1124400,0
1125000,0
1125600,0
1126200,0
1126800,0
1127400,0
1128000,0
1128600,0
1129200,0
1129800,0
1130400,0
1131000,0
1131600,0
1132200,0
1132800,0
1133400,0
1134000,0
1134600,0
1135200,0
1135800,0
1136400,0
1137000,0
1137600,0
1138200,0
1138800,0
1139400,0
1140000,0
1140600,0
1141200,0
1141800,0
1142400,0
1143000,0
1143600,0
1144200,0
1144800,0
1145400,0
1146000,0
1146600,0
1147200,0
1147800,0
1148400,0
1149000,0
1149600,0
1150200,0
1150800,0
1151400,0
1152000,0
1152600,0
1153200,1
1153800,3
1154400,3
1155000,4
1155600,5
1156200,5
1156800,5
1157400,5
1158000,5
1158600,5
1159200,5
1159800,5
1160400,5
1161000,5
1161600,5
1162200,5
1162800,5
1163400,5
1164000,5
1164600,5
1165200,5
1165800,5
1166400,5
1167000,5
1167600,5
1168200,5
1168800,5
1169400,5
1170000,6
1170600,6
1171200,6
1171800,6
1172400,6
1173000,6
1173600,6
1174200,6
1174800,6
1175400,6
1176000,6
1176600,6
1177200,6
1177800,6
1178400,6
1179000,6
1179600,6
1180200,6
1180800,6
1181400,6
1182000,6
1182600,6
1183200,6
1183800,6
1184400,6
1185000,6
1185600,5
1186200,5
1186800,5
1187400,4
1188000,3
1188600,3
1189200,2
1189800,2
1190400,2
1191000,1
1191600,0
1192200,0
1192800,0
1193400,0
1194000,0
1194600,0
1195200,0
1195800,0
1196400,0
1197000,0
1197600,0
1198200,0
1198800,0
1199400,0
1200000,0
1200600,0
1201200,0
1201800,0
1202400,0
1203000,0
1203600,0
1204200,0
1204800,0
1205400,0
1206000,0
1206600,0
1207200,0
1207800,0
1208400,0
1209000,0
1209600,0
1210200,0
1210800,0
1211400,0
1212000,0
1212600,0
1213200,0
1213800,0
1214400,0
1215000,0
1215600,0
1216200,0
1216800,0
1217400,0
1218000,0
1218600,0
1219200,0
1219800,0
1220400,0
1221000,0
1221600,0
1222200,0
1222800,0
1223400,0
1224000,0
1224600,0
1225200,0
1225800,0
1226400,0
1227000,0
1227600,0
1228200,0
1228800,0
1229400,0
1230000,0
1230600,0
1231200,0
1231800,0
1232400,0
1233000,0
1233600,0
1234200,0
1234800,0
1235400,0
1236000,0
1236600,0
1237200,0
1237800,0
1238400,0
1239000,0
1239600,1
1240200,3
1240800,3
1241400,4
1242000,5
1242600,5
1243200,5
1243800,5
1244400,5
1245000,5
1245600,5
1246200,5
1246800,5
1247400,5
1248000,5
1248600,5
1249200,5
1249800,5
1250400,5
1251000,5
1251600,5
1252200,5
1252800,5
1253400,5
1254000,5
1254600,5
1255200,5
1255800,5
1256400,6
1257000,6
1257600,6
1258200,6
1258800,6
1259400,6
1260000,6
1260600,6
1261200,6
1261800,6
1262400,6
1263000,6
1263600,6
1264200,6
1264800,6
1265400,6
1266000,6
1266600,6
1267200,6
1267800,6
1268400,6
1269000,6
1269600,6
1270200,6
1270800,6
1271400,6
1272000,5
1272600,5
1273200,5
1273800,4
