,Occupancy[sou]
951000,0
951600,0
952200,0
952800,0
953400,0
954000,0
954600,0
955200,0
955800,0
956400,0
957000,0
957600,0
958200,0
958800,0
959400,0
960000,0
960600,0
961200,0
961800,0
962400,0
963000,0
963600,0
964200,0
964800,0
965400,0
966000,0
966600,0
967200,0
967800,0
968400,0
969000,0
969600,0
970200,0
970800,0
971400,0
972000,0
972600,0
973200,0
973800,0
974400,0
975000,0
975600,0
976200,0
976800,0
977400,0
978000,0
978600,0
979200,0
979800,0
980400,2
981000,4
981600,4
982200,7
982800,9
983400,9
984000,9
984600,9
985200,9
985800,9
986400,9
987000,9
987600,9
988200,9
988800,9
989400,9
990000,9
990600,9
991200,9
991800,9
992400,9
993000,9
993600,8
994200,8
994800,8
995400,8
996000,8
996600,8
997200,10
997800,10
998400,10
999000,10
999600,10
1000200,10
1000800,10
1001400,10
1002000,10
1002600,10
1003200,10
1003800,10
1004400,10
1005000,10
1005600,10
1006200,10
1006800,10
1007400,10
1008000,10
1008600,10
1009200,10
1009800,10
1010400,10
1011000,10
1011600,10
1012200,10
1012800,9
1013400,8
1014000,8
1014600,6
1015200,5
1015800,5
1016400,4
1017000,3
1017600,3
1018200,2
1018800,1
1019400,1
1020000,1
1020600,0
1021200,0
1021800,0
1022400,0
1023000,0
1023600,0
1024200,0
1024800,0
1025400,0
1026000,0
1026600,0
1027200,0
1027800,0
1028400,0
1029000,0
1029600,0
1030200,0
1030800,0
1031400,0
1032000,0
1032600,0
1033200,0
1033800,0
1034400,0
1035000,0
1035600,0
1036200,0
1036800,0
1037400,0
1038000,0
1038600,0
1039200,0
1039800,0
1040400,0
1041000,0
1041600,0
1042200,0
1042800,0
1043400,0
1044000,0
1044600,0
1045200,0
1045800,0
1046400,0
1047000,0
1047600,0
1048200,0
1048800,0
1049400,0
1050000,0
1050600,0
1051200,0
1051800,0
1052400,0
1053000,0
1053600,0
1054200,0
1054800,0
1055400,0
1056000,0
1056600,0
1057200,0
1057800,0
1058400,0
1059000,0
1059600,0
1060200,0
1060800,0
1061400,0
1062000,0
1062600,0
1063200,0
1063800,0
1064400,0
1065000,0
1065600,0
1066200,0
1066800,2
1067400,4
1068000,4
1068600,7
1069200,9
1069800,9
1070400,9
1071000,9
1071600,9
1072200,9
1072800,9
1073400,9
1074000,9
1074600,9
1075200,9
1075800,9
1076400,9
1077000,9
1077600,9
1078200,9
1078800,9
1079400,9
1080000,8
1080600,8
1081200,8
1081800,8
1082400,8
1083000,8
1083600,10
1084200,10
1084800,10
1085400,10
1086000,10
1086600,10
1087200,10
1087800,10
1088400,10
1089000,10
1089600,10
1090200,10
1090800,10
1091400,10
1092000,10
1092600,10
1093200,10
1093800,10
1094400,10
1095000,10
1095600,10
1096200,10
1096800,10
1097400,10
1098000,10
1098600,10
1099200,9
1099800,8
1100400,8
1101000,6
1101600,5
1102200,5
1102800,4
1103400,3
1104000,3
1104600,2
1105200,1
1105800,1
1106400,1
1107000,0
1107600,0
1108200,0
1108800,0
1109400,0
1110000,0
1110600,0
1111200,0
1111800,0
1112400,0
1113000,0
1113600,0
1114200,0
1114800,0
1115400,0
1116000,0
1116600,0
1117200,0
1117800,0
1118400,0
1119000,0
1119600,0
1120200,0
1120800,0
1121400,0
1122000,0
1122600,0
1123200,0
1123800,0
1124400,0
1125000,0
1125600,0
1126200,0
1126800,0
1127400,0
1128000,0
1128600,0
1129200,0
1129800,0
1130400,0
1131000,0
1131600,0
1132200,0
1132800,0
1133400,0
1134000,0
1134600,0
1135200,0
1135800,0
1136400,0
1137000,0
1137600,0
1138200,0
1138800,0
1139400,0
1140000,0
1140600,0
1141200,0
1141800,0
1142400,0
1143000,0
1143600,0
1144200,0
1144800,0
1145400,0
1146000,0
1146600,0
1147200,0
1147800,0
1148400,0
1149000,0
1149600,0
1150200,0
1150800,0
1151400,0
1152000,0
1152600,0
1153200,2
1153800,4
1154400,4
1155000,7
1155600,9
1156200,9
1156800,9
1157400,9
1158000,9
1158600,9
1159200,9
1159800,9
1160400,9
1161000,9
1161600,9
1162200,9
1162800,9
1163400,9
1164000,9
1164600,9
1165200,9
1165800,9
1166400,8
1167000,8
1167600,8
1168200,8
1168800,8
1169400,8
1170000,10
1170600,10
1171200,10
1171800,10
1172400,10
1173000,10
1173600,10
1174200,10
1174800,10
1175400,10
1176000,10
1176600,10
1177200,10
1177800,10
1178400,10
1179000,10
1179600,10
1180200,10
1180800,10
1181400,10
1182000,10
1182600,10
1183200,10
1183800,10
1184400,10
1185000,10
1185600,9
1186200,8
1186800,8
1187400,6
1188000,5
1188600,5
1189200,4
1189800,3
1190400,3
1191000,2
1191600,1
1192200,1
1192800,1
1193400,0
1194000,0
1194600,0
1195200,0
1195800,0
1196400,0
1197000,0
1197600,0
1198200,0
1198800,0
1199400,0
1200000,0
1200600,0
1201200,0
1201800,0
1202400,0
1203000,0
1203600,0
1204200,0
1204800,0
1205400,0
1206000,0
1206600,0
1207200,0
1207800,0
1208400,0
1209000,0
1209600,0
1210200,0
1210800,0
1211400,0
1212000,0
1212600,0
1213200,0
1213800,0
1214400,0
1215000,0
1215600,0
1216200,0
1216800,0
1217400,0
1218000,0
1218600,0
1219200,0
1219800,0
1220400,0
1221000,0
1221600,0
1222200,0
1222800,0
1223400,0
1224000,0
1224600,0
1225200,0
1225800,0
1226400,0
1227000,0
1227600,0
1228200,0
1228800,0
1229400,0
1230000,0
1230600,0
1231200,0
1231800,0
1232400,0
1233000,0
1233600,0
1234200,0
1234800,0
1235400,0
1236000,0
1236600,0
1237200,0
1237800,0
1238400,0
1239000,0
1239600,2
1240200,4
1240800,4
1241400,7
1242000,9
1242600,9
1243200,9
1243800,9
1244400,9
1245000,9
1245600,9
1246200,9
1246800,9
1247400,9
1248000,9
1248600,9
1249200,9
1249800,9
1250400,9
1251000,9
1251600,9
1252200,9
1252800,8
1253400,8
1254000,8
1254600,8
1255200,8
1255800,8
1256400,10
1257000,10
1257600,10
1258200,10
1258800,10
1259400,10
1260000,10
1260600,10
1261200,10
1261800,10
1262400,10
1263000,10
1263600,10
1264200,10
1264800,10
1265400,10
1266000,10
1266600,10
1267200,10
1267800,10
1268400,10
1269000,10
1269600,10
1270200,10
1270800,10
1271400,10
1272000,9
1272600,8
1273200,8
1273800,6
