,UpperCO2[cor]
951000,894
951600,894
952200,894
952800,894
953400,894
954000,894
954600,894
955200,894
955800,894
956400,894
957000,894
957600,894
958200,894
958800,894
959400,894
960000,894
960600,894
961200,894
961800,894
962400,894
963000,894
963600,894
964200,894
964800,894
965400,894
966000,894
966600,894
967200,894
967800,894
968400,894
969000,894
969600,894
970200,894
970800,894
971400,894
972000,894
972600,894
973200,894
973800,894
974400,894
975000,894
975600,894
976200,894
976800,894
977400,894
978000,894
978600,894
979200,894
979800,894
980400,894
981000,894
981600,894
982200,894
982800,894
983400,894
984000,894
984600,894
985200,894
985800,894
986400,894
987000,894
987600,894
988200,894
988800,894
989400,894
990000,894
990600,894
991200,894
991800,894
992400,894
993000,894
993600,894
994200,894
994800,894
995400,894
996000,894
996600,894
997200,894
997800,894
998400,894
999000,894
999600,894
1000200,894
1000800,894
1001400,894
1002000,894
1002600,894
1003200,894
1003800,894
1004400,894
1005000,894
1005600,894
1006200,894
1006800,894
1007400,894
1008000,894
1008600,894
1009200,894
1009800,894
1010400,894
1011000,894
1011600,894
1012200,894
1012800,894
1013400,894
1014000,894
1014600,894
1015200,894
1015800,894
1016400,894
1017000,894
1017600,894
1018200,894
1018800,894
1019400,894
1020000,894
1020600,894
1021200,894
1021800,894
1022400,894
1023000,894
1023600,894
1024200,894
1024800,894
1025400,894
1026000,894
1026600,894
1027200,894
1027800,894
1028400,894
1029000,894
1029600,894
1030200,894
1030800,894
1031400,894
1032000,894
1032600,894
1033200,894
1033800,894
1034400,894
1035000,894
1035600,894
1036200,894
1036800,894
1037400,894
1038000,894
1038600,894
1039200,894
1039800,894
1040400,894
1041000,894
1041600,894
1042200,894
1042800,894
1043400,894
1044000,894
1044600,894
1045200,894
1045800,894
1046400,894
1047000,894
1047600,894
1048200,894
1048800,894
1049400,894
1050000,894
1050600,894
1051200,894
1051800,894
1052400,894
1053000,894
1053600,894
1054200,894
1054800,894
1055400,894
1056000,894
1056600,894
1057200,894
1057800,894
1058400,894
1059000,894
1059600,894
1060200,894
1060800,894
1061400,894
1062000,894
1062600,894
1063200,894
1063800,894
1064400,894
1065000,894
1065600,894
1066200,894
1066800,894
1067400,894
1068000,894
1068600,894
1069200,894
1069800,894
1070400,894
1071000,894
1071600,894
1072200,894
1072800,894
1073400,894
1074000,894
1074600,894
1075200,894
1075800,894
1076400,894
1077000,894
1077600,894
1078200,894
1078800,894
1079400,894
1080000,894
1080600,894
1081200,894
1081800,894
1082400,894
1083000,894
1083600,894
1084200,894
1084800,894
1085400,894
1086000,894
1086600,894
1087200,894
1087800,894
1088400,894
1089000,894
1089600,894
1090200,894
1090800,894
1091400,894
1092000,894
1092600,894
1093200,894
1093800,894
1094400,894
1095000,894
1095600,894
1096200,894
1096800,894
1097400,894
1098000,894
1098600,894
1099200,894
1099800,894
1100400,894
1101000,894
1101600,894
1102200,894
1102800,894
1103400,894
1104000,894
1104600,894
1105200,894
1105800,894
1106400,894
1107000,894
1107600,894
1108200,894
1108800,894
1109400,894
1110000,894
1110600,894
1111200,894
1111800,894
1112400,894
1113000,894
1113600,894
1114200,894
1114800,894
1115400,894
1116000,894
1116600,894
1117200,894
1117800,894
1118400,894
1119000,894
1119600,894
1120200,894
1120800,894
1121400,894
1122000,894
1122600,894
1123200,894
1123800,894
1124400,894
1125000,894
1125600,894
1126200,894
1126800,894
1127400,894
1128000,894
1128600,894
1129200,894
1129800,894
1130400,894
1131000,894
1131600,894
1132200,894
1132800,894
1133400,894
1134000,894
1134600,894
1135200,894
1135800,894
1136400,894
1137000,894
1137600,894
1138200,894
1138800,894
1139400,894
1140000,894
1140600,894
1141200,894
1141800,894
1142400,894
1143000,894
1143600,894
1144200,894
1144800,894
1145400,894
1146000,894
1146600,894
1147200,894
1147800,894
1148400,894
1149000,894
1149600,894
1150200,894
1150800,894
1151400,894
1152000,894
1152600,894
1153200,894
1153800,894
1154400,894
1155000,894
1155600,894
1156200,894
1156800,894
1157400,894
1158000,894
1158600,894
1159200,894
1159800,894
1160400,894
1161000,894
1161600,894
1162200,894
1162800,894
1163400,894
1164000,894
1164600,894
1165200,894
1165800,894
1166400,894
1167000,894
1167600,894
1168200,894
1168800,894
1169400,894
1170000,894
1170600,894
1171200,894
1171800,894
1172400,894
1173000,894
1173600,894
1174200,894
1174800,894
1175400,894
1176000,894
1176600,894
1177200,894
1177800,894
1178400,894
1179000,894
1179600,894
1180200,894
1180800,894
1181400,894
1182000,894
1182600,894
1183200,894
1183800,894
1184400,894
1185000,894
1185600,894
1186200,894
1186800,894
1187400,894
1188000,894
1188600,894
1189200,894
1189800,894
1190400,894
1191000,894
1191600,894
1192200,894
1192800,894
1193400,894
1194000,894
1194600,894
1195200,894
1195800,894
1196400,894
1197000,894
1197600,894
1198200,894
1198800,894
1199400,894
1200000,894
1200600,894
1201200,894
1201800,894
1202400,894
1203000,894
1203600,894
1204200,894
1204800,894
1205400,894
1206000,894
1206600,894
1207200,894
1207800,894
1208400,894
1209000,894
1209600,894
1210200,894
1210800,894
1211400,894
1212000,894
1212600,894
1213200,894
1213800,894
1214400,894
1215000,894
1215600,894
1216200,894
1216800,894
1217400,894
1218000,894
1218600,894
1219200,894
1219800,894
1220400,894
1221000,894
1221600,894
1222200,894
1222800,894
1223400,894
1224000,894
1224600,894
1225200,894
1225800,894
1226400,894
1227000,894
1227600,894
1228200,894
1228800,894
1229400,894
1230000,894
1230600,894
1231200,894
1231800,894
1232400,894
1233000,894
1233600,894
1234200,894
1234800,894
1235400,894
1236000,894
1236600,894
1237200,894
1237800,894
1238400,894
1239000,894
1239600,894
1240200,894
1240800,894
1241400,894
1242000,894
1242600,894
1243200,894
1243800,894
1244400,894
1245000,894
1245600,894
1246200,894
1246800,894
1247400,894
1248000,894
1248600,894
1249200,894
1249800,894
1250400,894
1251000,894
1251600,894
1252200,894
1252800,894
1253400,894
1254000,894
1254600,894
1255200,894
1255800,894
1256400,894
1257000,894
1257600,894
1258200,894
1258800,894
1259400,894
1260000,894
1260600,894
1261200,894
1261800,894
1262400,894
1263000,894
1263600,894
1264200,894
1264800,894
1265400,894
1266000,894
1266600,894
1267200,894
1267800,894
1268400,894
1269000,894
1269600,894
1270200,894
1270800,894
1271400,894
1272000,894
1272600,894
1273200,894
1273800,894
1274400,894
1275000,894
1275600,894
1276200,894
1276800,894
1277400,894
1278000,894
1278600,894
1279200,894
1279800,894
1280400,894
1281000,894
1281600,894
1282200,894
1282800,894
1283400,894
1284000,894
1284600,894
1285200,894
1285800,894
1286400,894
1287000,894
1287600,894
1288200,894
1288800,894
1289400,894
1290000,894
1290600,894
1291200,894
1291800,894
1292400,894
1293000,894
1293600,894
1294200,894
1294800,894
1295400,894
1296000,894
1296600,894
1297200,894
1297800,894
1298400,894
1299000,894
1299600,894
1300200,894
1300800,894
1301400,894
1302000,894
1302600,894
1303200,894
1303800,894
1304400,894
1305000,894
1305600,894
1306200,894
1306800,894
1307400,894
1308000,894
1308600,894
1309200,894
1309800,894
1310400,894
1311000,894
1311600,894
1312200,894
1312800,894
1313400,894
1314000,894
1314600,894
1315200,894
1315800,894
1316400,894
1317000,894
1317600,894
1318200,894
1318800,894
1319400,894
1320000,894
1320600,894
1321200,894
1321800,894
1322400,894
1323000,894
1323600,894
1324200,894
1324800,894
1325400,894
1326000,894
1326600,894
1327200,894
1327800,894
1328400,894
1329000,894
1329600,894
1330200,894
1330800,894
1331400,894
1332000,894
1332600,894
1333200,894
1333800,894
1334400,894
1335000,894
1335600,894
1336200,894
1336800,894
1337400,894
1338000,894
1338600,894
1339200,894
1339800,894
1340400,894
1341000,894
1341600,894
1342200,894
1342800,894
1343400,894
1344000,894
1344600,894
1345200,894
1345800,894
1346400,894
1347000,894
1347600,894
1348200,894
1348800,894
1349400,894
1350000,894
1350600,894
1351200,894
1351800,894
1352400,894
1353000,894
1353600,894
1354200,894
1354800,894
1355400,894
1356000,894
1356600,894
1357200,894
1357800,894
1358400,894
1359000,894
1359600,894
1360200,894
1360800,894
1361400,894
1362000,894
1362600,894
1363200,894
1363800,894
1364400,894
1365000,894
1365600,894
1366200,894
1366800,894
1367400,894
1368000,894
1368600,894
1369200,894
1369800,894
1370400,894
1371000,894
1371600,894
1372200,894
1372800,894
1373400,894
1374000,894
1374600,894
1375200,894
1375800,894
1376400,894
1377000,894
1377600,894
1378200,894
1378800,894
1379400,894
1380000,894
1380600,894
1381200,894
1381800,894
1382400,894
1383000,894
1383600,894
1384200,894
1384800,894
1385400,894
1386000,894
1386600,894
1387200,894
1387800,894
1388400,894
1389000,894
1389600,894
1390200,894
1390800,894
1391400,894
1392000,894
1392600,894
1393200,894
1393800,894
1394400,894
1395000,894
1395600,894
1396200,894
1396800,894
1397400,894
1398000,894
1398600,894
1399200,894
1399800,894
1400400,894
1401000,894
1401600,894
1402200,894
1402800,894
1403400,894
1404000,894
1404600,894
1405200,894
1405800,894
1406400,894
1407000,894
1407600,894
1408200,894
1408800,894
1409400,894
1410000,894
1410600,894
1411200,894
1411800,894
1412400,894
1413000,894
1413600,894
1414200,894
1414800,894
1415400,894
1416000,894
1416600,894
1417200,894
1417800,894
1418400,894
1419000,894
1419600,894
1420200,894
1420800,894
1421400,894
1422000,894
1422600,894
1423200,894
1423800,894
1424400,894
1425000,894
1425600,894
1426200,894
1426800,894
1427400,894
1428000,894
1428600,894
1429200,894
1429800,894
1430400,894
1431000,894
1431600,894
1432200,894
1432800,894
1433400,894
1434000,894
1434600,894
1435200,894
1435800,894
1436400,894
1437000,894
1437600,894
1438200,894
1438800,894
1439400,894
1440000,894
1440600,894
1441200,894
1441800,894
1442400,894
1443000,894
1443600,894
