timestamp,UpperCO2[cor]
950400,894.0
950430,894.0
950460,894.0
950490,894.0
950520,894.0
950550,894.0
950580,894.0
950610,894.0
950640,894.0
950670,894.0
950700,894.0
950730,894.0
950760,894.0
950790,894.0
950820,894.0
950850,894.0
950880,894.0
950910,894.0
950940,894.0
950970,894.0
951000,894.0
951030,894.0
951060,894.0
951090,894.0
951120,894.0
951150,894.0
951180,894.0
951210,894.0
951240,894.0
951270,894.0
951300,894.0
951330,894.0
951360,894.0
951390,894.0
951420,894.0
951450,894.0
951480,894.0
951510,894.0
951540,894.0
951570,894.0
951600,894.0
951630,894.0
951660,894.0
951690,894.0
951720,894.0
951750,894.0
951780,894.0
951810,894.0
951840,894.0
951870,894.0
951900,894.0
951930,894.0
951960,894.0
951990,894.0
952020,894.0
952050,894.0
952080,894.0
952110,894.0
952140,894.0
952170,894.0
952200,894.0
952230,894.0
952260,894.0
952290,894.0
952320,894.0
952350,894.0
952380,894.0
952410,894.0
952440,894.0
952470,894.0
952500,894.0
952530,894.0
952560,894.0
952590,894.0
952620,894.0
952650,894.0
952680,894.0
952710,894.0
952740,894.0
952770,894.0
952800,894.0
952830,894.0
952860,894.0
952890,894.0
952920,894.0
952950,894.0
952980,894.0
953010,894.0
953040,894.0
953070,894.0
953100,894.0
953130,894.0
953160,894.0
953190,894.0
953220,894.0
953250,894.0
953280,894.0
953310,894.0
953340,894.0
953370,894.0
953400,894.0
953430,894.0
953460,894.0
953490,894.0
953520,894.0
953550,894.0
953580,894.0
953610,894.0
953640,894.0
953670,894.0
953700,894.0
953730,894.0
953760,894.0
953790,894.0
953820,894.0
953850,894.0
953880,894.0
953910,894.0
953940,894.0
953970,894.0
954000,894.0
954030,894.0
954060,894.0
954090,894.0
954120,894.0
954150,894.0
954180,894.0
954210,894.0
954240,894.0
954270,894.0
954300,894.0
954330,894.0
954360,894.0
954390,894.0
954420,894.0
954450,894.0
954480,894.0
954510,894.0
954540,894.0
954570,894.0
954600,894.0
954630,894.0
954660,894.0
954690,894.0
954720,894.0
954750,894.0
954780,894.0
954810,894.0
954840,894.0
954870,894.0
954900,894.0
954930,894.0
954960,894.0
954990,894.0
955020,894.0
955050,894.0
955080,894.0
955110,894.0
955140,894.0
955170,894.0
955200,894.0
955230,894.0
955260,894.0
955290,894.0
955320,894.0
955350,894.0
955380,894.0
955410,894.0
955440,894.0
955470,894.0
955500,894.0
955530,894.0
955560,894.0
955590,894.0
955620,894.0
955650,894.0
955680,894.0
955710,894.0
955740,894.0
955770,894.0
955800,894.0
955830,894.0
955860,894.0
955890,894.0
955920,894.0
955950,894.0
