time,hvac_oveAhu_yFan_u
950400,0
950430,0
950460,0
950490,0
950520,0
950550,0
950580,0
950610,0
950640,0
950670,0
950700,0
950730,0
950760,0
950790,0
950820,0
950850,0
950880,0
950910,0
950940,0
950970,0
951000,0
951030,0
951060,0
951090,0
951120,0
951150,0
951180,0
951210,0
951240,0
951270,0
951300,0
951330,0
951360,0
951390,0
951420,0
951450,0
951480,0
951510,0
951540,0
951570,0
951600,0
951630,0
951660,0
951690,0
951720,0
951750,0
951780,0
951810,0
951840,0
951870,0
951900,0
951930,0
951960,0
951990,0
952020,0
952050,0
952080,0
952110,0
952140,0
952170,0
952200,0
952230,0
952260,0
952290,0
952320,0
952350,0
952380,0
952410,0
952440,0
952470,0
952500,0
952530,0
952560,0
952590,0
952620,0
952650,0
952680,0
952710,0
952740,0
952770,0
952800,0
952830,0
952860,0
952890,0
952920,0
952950,0
952980,0
953010,0
953040,0
953070,0
953100,0
953130,0
953160,0
953190,0
953220,0
953250,0
953280,0
953310,0
953340,0
953370,0
953400,0
953430,0
953460,0
953490,0
953520,0
953550,0
953580,0
953610,0
953640,0
953670,0
953700,0
953730,0
953760,0
953790,0
953820,0
953850,0
953880,0
953910,0
953940,0
953970,0
954000,0
954030,0
954060,0
954090,0
954120,0
954150,0
954180,0
954210,0
954240,0
954270,0
954300,0
954330,0
954360,0
954390,0
954420,0
954450,0
954480,0
954510,0
954540,0
954570,0
954600,0
954630,0
954660,0
954690,0
954720,0
954750,0
954780,0
954810,0
954840,0
954870,0
954900,0
954930,0
954960,0
954990,0
955020,0
955050,0
955080,0
955110,0
955140,0
955170,0
955200,0
955230,0
955260,0
955290,0
955320,0
955350,0
955380,0
955410,0
955440,0
955470,0
955500,0
955530,0
955560,0
955590,0
955620,0
955650,0
955680,0
955710,0
955740,0
955770,0
955800,0
955830,0
955860,0
955890,0
955920,0
955950,0
955980,0
956010,0
956040,0
956070,0
956100,0
956130,0
956160,0
956190,0
956220,0
956250,0
956280,0
956310,0
956340,0
956370,0
956400,0
956430,0
956460,0
956490,0
956520,0
956550,0
956580,0
956610,0
956640,0
956670,0
956700,0
956730,0
956760,0
956790,0
956820,0
956850,0
956880,0
956910,0
956940,0
956970,0
957000,0
957030,0
