time,hvac_oveZonSupWes_TZonHeaSet_u
950400,285.15
950430,285.15
950460,285.15
950490,285.15
950520,285.15
950550,285.15
950580,285.15
950610,285.15
950640,285.15
950670,285.15
950700,285.15
950730,285.15
950760,285.15
950790,285.15
950820,285.15
950850,285.15
950880,285.15
950910,285.15
950940,285.15
950970,285.15
951000,285.15
951030,285.15
951060,285.15
951090,285.15
951120,285.15
951150,285.15
951180,285.15
951210,285.15
951240,285.15
951270,285.15
951300,285.15
951330,285.15
951360,285.15
951390,285.15
951420,285.15
951450,285.15
951480,285.15
951510,285.15
951540,285.15
951570,285.15
951600,285.15
951630,285.15
951660,285.15
951690,285.15
951720,285.15
951750,285.15
951780,285.15
951810,285.15
951840,285.15
951870,285.15
951900,285.15
951930,285.15
951960,285.15
951990,285.15
952020,285.15
952050,285.15
952080,285.15
952110,285.15
952140,285.15
952170,285.15
952200,285.15
952230,285.15
952260,285.15
952290,285.15
952320,285.15
952350,285.15
952380,285.15
952410,285.15
952440,285.15
952470,285.15
952500,285.15
952530,285.15
952560,285.15
952590,285.15
952620,285.15
952650,285.15
952680,285.15
952710,285.15
952740,285.15
952770,285.15
952800,285.15
952830,285.15
952860,285.15
952890,285.15
952920,285.15
952950,285.15
952980,285.15
953010,285.15
953040,285.15
953070,285.15
953100,285.15
953130,285.15
953160,285.15
953190,285.15
953220,285.15
953250,285.15
953280,285.15
953310,285.15
953340,285.15
953370,285.15
953400,285.15
953430,285.15
953460,285.15
953490,285.15
953520,285.15
953550,285.15
953580,285.15
953610,285.15
953640,285.15
953670,285.15
953700,285.15
953730,285.15
953760,285.15
953790,285.15
953820,285.15
953850,285.15
953880,285.15
953910,285.15
953940,285.15
953970,285.15
954000,285.15
954030,285.15
954060,285.15
954090,285.15
954120,285.15
954150,285.15
954180,285.15
954210,285.15
954240,285.15
954270,285.15
954300,285.15
954330,285.15
954360,285.15
954390,285.15
954420,285.15
954450,285.15
954480,285.15
954510,285.15
954540,285.15
954570,285.15
954600,285.15
954630,285.15
954660,285.15
954690,285.15
954720,285.15
954750,285.15
954780,285.15
954810,285.15
954840,285.15
954870,285.15
954900,285.15
954930,285.15
954960,285.15
954990,285.15
955020,285.15
955050,285.15
955080,285.15
955110,285.15
955140,285.15
955170,285.15
955200,285.15
955230,285.15
955260,285.15
955290,285.15
955320,285.15
955350,285.15
955380,285.15
955410,285.15
955440,285.15
955470,285.15
955500,285.15
955530,285.15
955560,285.15
955590,285.15
955620,285.15
955650,285.15
955680,285.15
955710,285.15
955740,285.15
