time,hvac_reaAhu_PFanSup_y
950400,-1.0423841060292415e-15
950430,-1.0637657875044353e-15
950460,-1.0566144411339955e-15
950490,-1.0637657875044353e-15
950520,-1.070941253086917e-15
950550,-1.070941253086917e-15
950580,-1.070941253086917e-15
950610,-1.078140837881441e-15
950640,-1.0637657875044353e-15
950670,-1.070941253086917e-15
950700,-1.070941253086917e-15
950730,-1.070941253086917e-15
950760,-1.078140837881441e-15
950790,-1.078140837881441e-15
950820,-1.070941253086917e-15
950850,-1.0853645418880066e-15
950880,-1.0637657875044353e-15
950910,-1.078140837881441e-15
950940,-1.070941253086917e-15
950970,-1.070941253086917e-15
951000,-1.070941253086917e-15
951030,-1.078140837881441e-15
951060,-1.078140837881441e-15
951090,-1.070941253086917e-15
951120,-1.0637657875044353e-15
951150,-1.078140837881441e-15
951180,-1.0637657875044353e-15
951210,-1.0637657875044353e-15
951240,-1.0637657875044353e-15
951270,-1.0566144411339955e-15
951300,-1.0494872139755976e-15
951330,-1.0566144411339955e-15
951360,-1.0494872139755976e-15
951390,-1.0566144411339955e-15
951420,-1.0494872139755976e-15
951450,-1.0353051172949273e-15
951480,-1.0423841060292415e-15
951510,-1.0282502477726554e-15
951540,-1.0353051172949275e-15
951570,-1.0212194974624255e-15
951600,-1.0212194974624255e-15
951630,-1.0142128663642372e-15
951660,-1.0002719618039869e-15
951690,-1.0072303544780911e-15
951720,-9.933376883419247e-16
951750,-9.933376883419247e-16
951780,-1.0002719618039867e-15
951810,-9.79541499053926e-16
951840,-9.79541499053926e-16
951870,-9.590281092122426e-16
951900,-9.590281092122426e-16
951930,-9.590281092122426e-16
951960,-9.658417866140952e-16
951990,-9.387317922789368e-16
952020,-9.387317922789368e-16
952050,-9.320145917252523e-16
952080,-9.320145917252523e-16
952110,-9.18652548254009e-16
952140,-9.18652548254009e-16
952170,-9.053869816309331e-16
952200,-8.987903771374584e-16
952230,-8.987903771374584e-16
952260,-8.856695257866345e-16
952290,-8.856695257866345e-16
952320,-8.661691428507132e-16
952350,-8.597172536294901e-16
952380,-8.468858328231696e-16
952410,-8.468858328231696e-16
952440,-8.405063012380722e-16
952470,-8.215124217550322e-16
952500,-8.278195957040036e-16
952530,-8.152293670181027e-16
952560,-7.965249180795661e-16
952590,-8.027356151803697e-16
952620,-7.903383401908045e-16
952650,-7.78037542049407e-16
952680,-7.78037542049407e-16
952710,-7.7192332179677125e-16
952740,-7.537253763111157e-16
952770,-7.477076329066476e-16
952800,-7.4171400871422175e-16
952830,-7.238778514091955e-16
952860,-7.238778514091955e-16
952890,-7.179807040649373e-16
952920,-7.062587670125469e-16
952950,-6.831043234522694e-16
952980,-6.831043234522694e-16
953010,-6.716718169443824e-16
953040,-6.659917425085017e-16
953070,-6.659917425085017e-16
953100,-6.435126368853991e-16
953130,-6.435126368853991e-16
953160,-6.214194386549677e-16
953190,-6.159564371274647e-16
953220,-6.105175548120037e-16
953250,-5.943456231378724e-16
953280,-5.890032176705793e-16
953310,-5.783907643721188e-16
953340,-5.731207165409513e-16
953370,-5.522817173367016e-16
953400,-5.471322655657441e-16
953430,-5.420069330068286e-16
953460,-5.267756506023335e-16
953490,-5.167420583928799e-16
953520,-5.11761441106216e-16
953550,-5.018725641690143e-16
953580,-4.920801640799802e-16
953610,-4.82384240839114e-16
953640,-4.727847944464157e-16
953670,-4.632818249018851e-16
953700,-4.538753322055223e-16
953730,-4.538753322055223e-16
953760,-4.3078118667534986e-16
953790,-4.2171236294757446e-16
953820,-4.1721412990174977e-16
953850,-4.0386414603652725e-16
953880,-3.9508475285325535e-16
953910,-3.864018365181513e-16
953940,-3.820965571686622e-16
953970,-3.6932543439244666e-16
954000,-3.609319486018461e-16
954030,-3.609319486018461e-16
954060,-3.609319486018461e-16
954090,-3.609319486018461e-16
954120,-3.5677138452460873e-16
954150,-3.5677138452460873e-16
954180,-3.526349396594133e-16
954210,-3.609319486018461e-16
954240,-3.5677138452460873e-16
954270,-3.5677138452460873e-16
954300,-3.5677138452460873e-16
954330,-3.5677138452460873e-16
954360,-3.5677138452460873e-16
954390,-3.5677138452460873e-16
954420,-3.609319486018461e-16
954450,-3.5677138452460873e-16
954480,-3.5677138452460873e-16
954510,-3.609319486018461e-16
954540,-3.5677138452460873e-16
954570,-3.609319486018461e-16
954600,-3.526349396594133e-16
954630,-3.5677138452460873e-16
954660,-3.651166318911254e-16
954690,-3.526349396594133e-16
954720,-3.609319486018461e-16
954750,-3.526349396594133e-16
954780,-3.609319486018461e-16
954810,-3.526349396594133e-16
954840,-3.5677138452460873e-16
954870,-3.609319486018461e-16
954900,-3.5677138452460873e-16
954930,-3.5677138452460873e-16
954960,-3.651166318911254e-16
954990,-3.609319486018461e-16
955020,-3.609319486018461e-16
955050,-3.651166318911254e-16
955080,-3.651166318911254e-16
955110,-3.609319486018461e-16
955140,-3.651166318911254e-16
955170,-3.6932543439244666e-16
955200,-3.651166318911254e-16
955230,-3.651166318911254e-16
955260,-3.6932543439244666e-16
955290,-3.651166318911254e-16
955320,-3.735583561058099e-16
955350,-3.6932543439244666e-16
955380,-3.6932543439244666e-16
955410,-3.6932543439244666e-16
955440,-3.6932543439244666e-16
955470,-3.735583561058099e-16
955500,-3.735583561058099e-16
955530,-3.7781539703121515e-16
955560,-3.820965571686622e-16
955590,-3.820965571686622e-16
955620,-3.864018365181513e-16
955650,-3.864018365181513e-16
955680,-3.864018365181513e-16
955710,-3.820965571686622e-16
955740,-3.9508475285325535e-16
955770,-3.9073123507968236e-16
