time,hvac_reaZonCor_V_flow_y
950400,1.831459590587739e-08
950430,1.4748198027341966e-08
950460,1.381160930078456e-08
950490,1.2891380245979132e-08
950520,1.2005915434840907e-08
950550,1.1179754293550442e-08
950580,1.0388357390896444e-08
950610,9.639904533521997e-09
950640,8.930305814132304e-09
950670,8.269785989972914e-09
950700,7.656300104923548e-09
950730,7.085758251086754e-09
950760,6.562250328192381e-09
950790,6.081686428306014e-09
950820,5.6420215956048466e-09
950850,5.247345729156237e-09
950880,4.901748727291192e-09
950910,4.595005827709541e-09
950940,4.333251880270763e-09
950970,4.118531831301642e-09
951000,3.942665870858495e-09
951030,3.8117888479025365e-09
951060,3.721810855310767e-09
951090,3.6829566431504615e-09
951120,3.682956500422695e-09
951150,3.727945275067185e-09
951180,3.817922961980758e-09
951210,3.950844605465091e-09
951240,4.1226202996326215e-09
951270,4.345519743013034e-09
951300,4.609318178046511e-09
951330,4.90992569974554e-09
951360,5.261656955945426e-09
951390,5.654287190530891e-09
951420,6.089861349532283e-09
951450,6.572469328815741e-09
951480,7.091886374253308e-09
951510,7.662427131687021e-09
951540,8.271821897824398e-09
951570,8.92620551875083e-09
951600,9.621488091650954e-09
951630,1.0359714563210788e-08
951660,1.1149064728585329e-08
951690,1.1971134039329108e-08
951720,1.2842282089050336e-08
951750,1.375432907775867e-08
951780,1.4707275003764445e-08
951810,1.5709299662402613e-08
951840,1.675017830617899e-08
951870,1.7838090730728276e-08
951900,1.8966902087986804e-08
951930,2.013661237777631e-08
951960,2.1349266549154922e-08
951990,2.2613044397872352e-08
952020,2.3913631282431774e-08
952050,2.525920699939476e-08
952080,2.6645681652700928e-08
952110,2.8081235039038273e-08
952140,2.9553597468619597e-08
952170,3.107503863605635e-08
952200,3.26373787500273e-08
952230,3.424266276281425e-08
952260,3.589089067854761e-08
952290,3.758206250183996e-08
952320,3.932435803146115e-08
952350,4.1105507582378174e-08
952380,4.292960105763039e-08
952410,4.480277330894109e-08
952440,4.6714799601742116e-08
952470,4.8671814788880715e-08
952500,5.0671773930394716e-08
952530,5.271672198354567e-08
952560,5.481074885445296e-08
952590,5.6943629811876614e-08
952620,5.912149971150894e-08
952650,6.13504934096766e-08
952680,6.362243112543438e-08
952710,6.593731287162846e-08
952740,6.829922855840676e-08
952770,7.070613325176722e-08
952800,7.315393707004308e-08
952830,7.565695466742438e-08
952860,7.819678152528924e-08
952890,8.078568735114938e-08
952920,8.342571711175024e-08
952950,8.611073598087704e-08
952980,8.884074397831484e-08
953010,9.16198310218421e-08
953040,9.444186228736406e-08
953070,9.731092769446101e-08
953100,1.002352070614964e-07
953130,1.0320038577201365e-07
953160,1.0622282344165783e-07
953190,1.0928616050635198e-07
953220,1.123985767887859e-07
953250,1.1556416221566324e-07
953280,1.1877882691875967e-07
953310,1.2204257092877383e-07
953340,1.2535334932815927e-07
953370,1.287193419472541e-07
953400,1.3213441397238286e-07
953430,1.355985654387566e-07
953460,1.39117931231998e-07
953490,1.426863765411354e-07
953520,1.4630594635498873e-07
953550,1.4998073061422073e-07
953580,1.537107293613543e-07
953610,1.574918527395501e-07
953640,1.613261457437796e-07
953670,1.6521769832161678e-07
953700,1.6916242062003786e-07
953730,1.7315826773724356e-07
953760,1.7721750943013475e-07
953790,1.813299209968836e-07
953820,1.8549959239415502e-07
953850,1.8972447872666827e-07
953880,1.940127598592049e-07
953910,1.9835625604508614e-07
953940,2.0275496734517604e-07
953970,2.0721911858414735e-07
954000,2.1174053001893617e-07
954030,2.1400226991679014e-07
954060,2.1443582242713075e-07
954090,2.1547263639092547e-07
954120,2.1663010298164094e-07
954150,2.1778143511071734e-07
954180,2.1892254286958482e-07
954210,2.200513813020568e-07
954240,2.2118022013166368e-07
954270,2.2230087954125166e-07
954300,2.2341335952931703e-07
954330,2.2452175000440105e-07
954360,2.2562196105569347e-07
954390,2.2671808259254302e-07
954420,2.2780193479163836e-07
954450,2.2888783234162398e-07
954480,2.29963505506909e-07
954510,2.3102895428489923e-07
954540,2.3209235849965842e-07
954570,2.3314349336672183e-07
954600,2.3419462862554457e-07
954630,2.3523553948989596e-07
954660,2.362662259568844e-07
954690,2.3729486785508802e-07
954720,2.38315330310034e-07
954750,2.393296582777621e-07
954780,2.4033376183938167e-07
954810,2.4133786578604615e-07
954840,2.423276554044163e-07
954870,2.433113105271568e-07
954900,2.442888311524023e-07
954930,2.452622622381106e-07
954960,2.462234239425771e-07
954990,2.4718049610302194e-07
955020,2.4812938879687255e-07
955050,2.4907214698213973e-07
955080,2.500005908120501e-07
955110,2.5092903501116255e-07
955140,2.5184929973285986e-07
955170,2.527552500882451e-07
955200,2.536632457693794e-07
955230,2.5455692707732314e-07
955260,2.554465188200704e-07
955290,2.5632588610693116e-07
955320,2.571950289337467e-07
955350,2.5806008218687686e-07
955380,2.5891695593687647e-07
955410,2.5976156025210245e-07
955440,2.6060207498460317e-07
955470,2.6143645516796493e-07
955500,2.6225856590462807e-07
955530,2.6307249711952354e-07
955560,2.638782488088796e-07
955590,2.646778659345766e-07
955620,2.654672585616131e-07
955650,2.662505166177506e-07
955680,2.670215052002498e-07
955710,2.677904491374855e-07
955740,2.6854098869116245e-07
955770,2.6928948359194784e-07
955800,2.700297989352388e-07
955830,2.707598897488871e-07
955860,2.714797560277859e-07
955890,2.72189397766777e-07
955920,2.7289494986701536e-07
955950,2.735902774185889e-07
955980,2.7427538041619505e-07
956010,2.749461689151897e-07
956040,2.7561695769798194e-07
956070,2.762734319718886e-07
956100,2.76919681670707e-07
956130,2.7755979673049424e-07
956160,2.7818764223413187e-07
956190,2.7880730811787736e-07
956220,2.794167494052534e-07
956250,2.800180110625013e-07
956280,2.806070031402177e-07
956310,2.8118781557681314e-07
956340,2.817604483673139e-07
956370,2.8232285653356817e-07
956400,2.8287095012277245e-07
956430,2.834149539958174e-07
956460,2.8394464327922086e-07
956490,2.844702428367487e-07
956520,2.84979482817264e-07
956550,2.8548054311161305e-07
956580,2.859693337640826e-07
956610,2.864519896940936e-07
956640,2.869223759697524e-07
956670,2.873825375599798e-07
956700,2.878304294820391e-07
956730,2.882701416820836e-07
956760,2.8869758420059695e-07
956790,2.891168469848631e-07
956820,2.8952588505170705e-07
956850,2.8991651848298476e-07
956880,2.9030510709424893e-07
956910,2.906793810114674e-07
956940,2.9103934022623396e-07
956970,2.913911196674672e-07
957000,2.917347193294194e-07
957030,2.920619592874175e-07
957060,2.923830644321624e-07
957090,2.9269189981774203e-07
