time,hvac_reaZonEas_V_flow_y
950400,3.666433777925021e-09
950430,2.95246980544195e-09
950460,2.7649723274347033e-09
950490,2.5807499232219035e-09
950520,2.4034870390498672e-09
950550,2.238096269305154e-09
950580,2.0796650185940906e-09
950610,1.929830817961713e-09
950640,1.787774901090088e-09
950670,1.6555441815736444e-09
950700,1.532729275758366e-09
950730,1.4185114172056753e-09
950760,1.3137093707190624e-09
950790,1.2175043698525503e-09
950820,1.129487031011675e-09
950850,1.0504761188673004e-09
950880,9.81290397942877e-10
950910,9.198829536320848e-10
950940,8.674819331931481e-10
950970,8.244967183195042e-10
951000,7.892897773053672e-10
951030,7.630892572291365e-10
951060,7.450763918072746e-10
951090,7.372980931971757e-10
951120,7.372980646242328e-10
951150,7.463044529623495e-10
951180,7.643172571899122e-10
951210,7.909270937373768e-10
951240,8.253151965685313e-10
951270,8.699378599617414e-10
951300,9.227481702596668e-10
951330,9.829273616062775e-10
951360,1.0533411105697157e-09
951390,1.1319425037818258e-09
951420,1.2191409228767015e-09
951450,1.315755131884347e-09
951480,1.4197382178344534e-09
951510,1.5339558568961258e-09
951540,1.6559517538375256e-09
951570,1.786954055161335e-09
951600,1.92614399544637e-09
951630,2.073930956457985e-09
951660,2.2319524669413892e-09
951690,2.396524085348721e-09
951720,2.5709208698306774e-09
951750,2.7535052906740503e-09
951780,2.944277347540583e-09
951810,3.1448745692115108e-09
951840,3.3532500440445537e-09
951870,3.571041300880953e-09
951900,3.797020192821992e-09
951930,4.031186719831983e-09
951960,4.273950264151157e-09
951990,4.52694835464378e-09
952020,4.787315316010625e-09
952050,5.0566886772784845e-09
952080,5.334249674378468e-09
952110,5.621635836362681e-09
952140,5.916390870702934e-09
952170,6.22097107089319e-09
952200,6.5337389089557284e-09
952230,6.855103767776138e-09
952260,7.185065648181286e-09
952290,7.523624551094579e-09
952320,7.872418005984888e-09
952350,8.228989721275776e-09
952380,8.594158462433265e-09
952410,8.969152377088701e-09
952440,9.35192455618749e-09
952470,9.743703147585981e-09
952500,1.0144078770864882e-08
952530,1.055346080990668e-08
952560,1.0972668030794e-08
952590,1.1399653525138517e-08
952620,1.1835645441366143e-08
952650,1.2281871928029784e-08
952680,1.2736695459228905e-08
952710,1.3200116037535213e-08
952740,1.3672952429837808e-08
952770,1.4154795256910563e-08
952800,1.4644825757566072e-08
952830,1.5145909609644648e-08
952860,1.565436237756886e-08
952890,1.617264035741522e-08
952920,1.67011529349648e-08
952950,1.7238671967692867e-08
952980,1.7785197459560214e-08
953010,1.834154817898353e-08
953040,1.8906495983862464e-08
953070,1.9480859642974418e-08
953100,2.006627668971073e-08
953130,2.0659881453785037e-08
953160,2.1264948997759633e-08
953190,2.1878204269395736e-08
953220,2.2501284802950797e-08
953250,2.3135009368628257e-08
953280,2.3778559207931765e-08
953310,2.4431934327006945e-08
953340,2.5094725349921936e-08
953370,2.576856981246535e-08
953400,2.6452239574622686e-08
953430,2.714573464344291e-08
953460,2.7850283173343776e-08
953490,2.8564657024852054e-08
953520,2.9289265588167982e-08
953550,3.0024927636289475e-08
953580,3.077164317772929e-08
953610,3.152859345627025e-08
953640,3.229618786334408e-08
953670,3.307524517333226e-08
953700,3.386494663078148e-08
953730,3.4664882862912375e-08
953760,3.5477510175688726e-08
953790,3.630078166661028e-08
953820,3.7135516111878474e-08
953850,3.798130414001888e-08
953880,3.883978329371537e-08
953910,3.9709316053927295e-08
953940,4.058990243283912e-08
953970,4.148358935754368e-08
954000,4.238873930972397e-08
954030,4.284152132036671e-08
954060,4.292831502177221e-08
954090,4.3135876780591104e-08
954120,4.336759221820318e-08
954150,4.359807958627563e-08
954180,4.3826520118235256e-08
954210,4.405250443041475e-08
954240,4.4278488822097447e-08
954270,4.450283576013413e-08
954300,4.472554524422379e-08
954330,4.494743604093388e-08
954360,4.516768938324269e-08
954390,4.538712403787935e-08
954420,4.560410247046198e-08
954450,4.582149036572838e-08
954480,4.6036831421980836e-08
954510,4.6250125638700016e-08
954540,4.646301055041842e-08
954570,4.6673439238092565e-08
954600,4.688386800419375e-08
954630,4.709224992932497e-08
954660,4.7298585012907335e-08
954690,4.750451079037713e-08
954720,4.7708799109548696e-08
954750,4.7911859354059954e-08
954780,4.811287275527156e-08
954810,4.8313886233566055e-08
954840,4.851203409926192e-08
954870,4.870895388861351e-08
954900,4.890464560124739e-08
954930,4.9099518621185424e-08
954960,4.929193541036356e-08
954990,4.9483533505948094e-08
955020,4.9673494138562655e-08
955050,4.9862226692239654e-08
955080,5.0048093627900355e-08
955110,5.0233960637472336e-08
955140,5.041819018190804e-08
955170,5.059955410613427e-08
955200,5.0781327488011195e-08
955230,5.096023524830165e-08
955260,5.113832431075947e-08
955290,5.1314366519952514e-08
955320,5.1488361875048254e-08
955350,5.166153853061194e-08
955380,5.183307771589135e-08
955410,5.200216065969421e-08
955440,5.217042490215535e-08
955470,5.233746105756008e-08
955500,5.250204096910098e-08
955530,5.266498340662659e-08
955560,5.2826288369381855e-08
955590,5.298636524217389e-08
955620,5.314439525313814e-08
955650,5.33011971726898e-08
955680,5.3455542842984506e-08
955710,5.3609479191856236e-08
955740,5.3759731132189063e-08
955770,5.390957374957183e-08
955800,5.405777888578708e-08
955830,5.420393715397219e-08
955860,5.434804855310477e-08
955890,5.449011308215219e-08
955920,5.463135889864163e-08
955950,5.477055784329283e-08
955980,5.490770991504423e-08
956010,5.5041996340100903e-08
956040,5.5176282821971526e-08
956070,5.530770365509063e-08
956100,5.543707761108173e-08
956130,5.556522346202073e-08
956160,5.5690913047184686e-08
956190,5.5814965138689654e-08
956220,5.5936970348806265e-08
956250,5.6057338063214736e-08
956280,5.6175249507167285e-08
956310,5.6291523453211e-08
956340,5.640615990035018e-08
956370,5.651874946052026e-08
956400,5.662847335829284e-08
956430,5.6737378528011264e-08
956460,5.68434180328115e-08
956490,5.694863880761242e-08
956520,5.7050584527584985e-08
956550,5.7150892740630996e-08
956580,5.724874467073955e-08
956610,5.734536847909452e-08
956640,5.7439536002015106e-08
956670,5.7531656625717854e-08
956700,5.762132096122039e-08
956730,5.7709347782619796e-08
956760,5.7794918313143795e-08
956790,5.787885132711583e-08
956820,5.7960737435465783e-08
956850,5.8038939084826966e-08
956880,5.8116731377781605e-08
956910,5.819165798491717e-08
956940,5.8263718904550773e-08
956970,5.833414229976766e-08
957000,5.840292816941718e-08
957030,5.846843895882563e-08
957060,5.853272160830414e-08
957090,5.8594547951365536e-08
957120,5.865350859791203e-08
957150,5.871083171208669e-08
957180,5.8764470349292155e-08
957210,5.881729022863704e-08
957240,5.886724440523705e-08
957270,5.891515165514383e-08
957300,5.896019319909823e-08
957330,5.90031878133174e-08
957360,5.90437261073629e-08
957390,5.9082217468767434e-08
957420,5.9118661896133365e-08
957450,5.91514218311354e-08
957480,5.918254421809842e-08
957510,5.921121027709223e-08
957540,5.923742000652421e-08
957570,5.926035462584986e-08
957600,5.928206108078412e-08
957630,6.152675336086111e-08
957660,6.554001037505776e-08
957690,6.89555604800032e-08
957720,7.220326276646493e-08
957750,7.54317257713537e-08
957780,7.864586226344553e-08
957810,8.18456723336373e-08
957840,8.503238424215063e-08
957870,8.820722624937679e-08
957900,9.137306417759131e-08
957930,9.453235446095359e-08
957960,9.768550658298955e-08
957990,1.0083538637170629e-07
958020,1.039848596585953e-07
958050,1.0713228897812299e-07
958080,1.1028217772952658e-07
958110,1.1343534479722627e-07
958140,1.1659138089343933e-07
958170,1.1975397064546894e-07
958200,1.2292270477029447e-07
958230,1.2609799276887123e-07
958260,1.292818817115326e-07
958290,1.324751904964908e-07
958320,1.3567791923983955e-07
958350,1.38890068058787e-07
958380,1.421128652494216e-07
958410,1.4534549214701373e-07
958440,1.485879488722755e-07
958470,1.5184023554670396e-07
958500,1.5510030532571945e-07
958530,1.5836897711606107e-07
958560,1.616442040700141e-07
958590,1.649239393356986e-07
958620,1.6820572666240698e-07
958650,1.714875191877017e-07
958680,1.747680888324267e-07
958710,1.7804252295947095e-07
958740,1.8130549952318094e-07
958770,1.8455538101968015e-07
958800,1.8778479839998586e-07
958830,1.9098924836273915e-07
958860,1.9416177121358622e-07
958890,1.972954072338067e-07
958920,2.0038278728231714e-07
958950,2.0341408580914015e-07
958980,2.0638029602194973e-07
959010,2.092724110921788e-07
959040,2.1207773957594657e-07
959070,2.1478399937730193e-07
959100,2.1734697533407632e-07
959130,2.1981947946035352e-07
959160,2.2215688710937028e-07
959190,2.243317682167876e-07
959220,2.2604976435732483e-07
959250,2.2812435121220437e-07
959280,2.2985013363809323e-07
959310,2.313012121667122e-07
959340,2.3246653224552267e-07
959370,2.3344516804301917e-07
959400,2.3423548136517968e-07
959430,2.3521698683210906e-07
959460,2.362312465137834e-07
959490,2.3677592417564786e-07
959520,2.3698243661564813e-07
959550,2.3687370936794395e-07
959580,2.3644933207974107e-07
959610,2.3571339783712854e-07
959640,2.3466999974900833e-07
959670,2.3332609677676565e-07
959700,2.3168864792088058e-07
959730,2.2976584043684877e-07
959760,2.2756135817632122e-07
959790,2.2508256967097154e-07
959820,2.2234339398589298e-07
959850,2.1935652204248049e-07
959880,2.1613792007734864e-07
959910,2.1270109797134435e-07
959940,2.0906693498928877e-07
959970,2.05250578797649e-07
960000,2.0127372764488422e-07
960030,1.9715644224134302e-07
960060,1.9292001160145488e-07
960090,1.885873624511014e-07
960120,1.8417896515220425e-07
960150,1.797197936242235e-07
960180,1.7523236541475142e-07
960210,1.7073837932057953e-07
960240,1.6626199064764417e-07
960270,1.618236700820439e-07
960300,1.5744388835504938e-07
960330,1.5314311623787958e-07
960360,1.4894018690008209e-07
960390,1.4485188649159663e-07
960420,1.408937729537971e-07
960450,1.3707976660348043e-07
960480,1.334233783560099e-07
960510,1.2993279680255303e-07
960540,1.2661825758017872e-07
960570,1.2348672104106127e-07
960600,1.205443287080571e-07
960630,1.1779149034706678e-07
960660,1.152327098126571e-07
960690,1.1286798742926552e-07
960720,1.1069527645009697e-07
960750,1.0871171128791591e-07
960780,1.0691401692598857e-07
960810,1.0529523362914628e-07
960840,1.0385085810938858e-07
960870,1.0257188353657308e-07
960900,1.0144971247174642e-07
960930,1.004745192223978e-07
960960,9.963524984194986e-08
960990,9.892125977636101e-08
961020,9.83182197464363e-08
961050,9.78134380999784e-08
961080,9.739299492962051e-08
961110,9.703969501080306e-08
961140,9.673798074554536e-08
961170,9.647147569020904e-08
961200,9.62184810173688e-08
961230,9.33043038921718e-08
961260,8.831235502199708e-08
961290,8.404383513908882e-08
961320,7.992433870514813e-08
961350,7.577699961898193e-08
961380,7.158421328262042e-08
961410,6.733492569653667e-08
961440,6.30152169679505e-08
961470,5.8611167203808096e-08
961500,5.411049416672634e-08
961530,4.9499277973974524e-08
961560,4.476728347161401e-08
961590,3.990386610710215e-08
961620,3.4899609585238674e-08
961650,2.9749191763984906e-08
961680,2.44407399141885e-08
961710,1.897138842417008e-08
961740,1.3337043471986678e-08
961770,7.534839506610446e-09
961800,1.5639580756568179e-09
961830,-4.57519100018631e-09
961860,-1.0880560213893496e-08
961890,-1.734600789509185e-08
961920,-2.396580175539057e-08
961950,-3.0732571825364144e-08
961980,-3.763280691822058e-08
962010,-4.465627112978586e-08
962040,-5.178740617601215e-08
962070,-5.900942552862842e-08
962100,-6.630349559840304e-08
962130,-7.364873574519386e-08
962160,-8.102385593700059e-08
962190,-8.840551911182671e-08
962220,-9.57683411905418e-08
962250,-1.0308775697080755e-07
962280,-1.1033510719972409e-07
962310,-1.1748705504783198e-07
962340,-1.245149414233084e-07
962370,-1.3139092615427663e-07
962400,-1.380896256373407e-07
962430,-1.4458606578793524e-07
962460,-1.5085363499654268e-07
962490,-1.5686899705585676e-07
962520,-1.6260922528997026e-07
962550,-1.6805262137515987e-07
962580,-1.7318035297395652e-07
962610,-1.7797399727487852e-07
962640,-1.824274138276535e-07
962670,-1.865242270609086e-07
962700,-1.902492897337547e-07
962730,-1.935911393730231e-07
962760,-1.9653913240640224e-07
962790,-1.9908221593452467e-07
962820,-2.012142500108593e-07
962850,-2.029299135557251e-07
962880,-2.0422470434658235e-07
962910,-2.0509616722432278e-07
962940,-2.055443034831458e-07
962970,-2.0557116144866637e-07
963000,-2.0517919884444634e-07
963030,-2.0491415244836794e-07
963060,-2.0471215494368276e-07
963090,-2.0403852540093073e-07
963120,-2.0303819388090556e-07
963150,-2.0175087342465915e-07
963180,-2.0019294097782682e-07
963210,-1.9838241101741017e-07
963240,-1.9633934494657398e-07
963270,-1.9407889125906736e-07
963300,-1.9162152059133726e-07
963330,-1.889819718761328e-07
963360,-1.8617825918119057e-07
963390,-1.8322471189168147e-07
963420,-1.8013688752738824e-07
963450,-1.7692706834204073e-07
963480,-1.7360671773452747e-07
963510,-1.701897554484972e-07
963540,-1.6668396018641207e-07
963570,-1.631007952029069e-07
963600,-1.5944681092580392e-07
963630,-1.55731423540979e-07
963660,-1.5195913642265388e-07
963690,-1.4813854690143639e-07
963720,-1.4427211131475738e-07
963750,-1.403655611645994e-07
963780,-1.3642176215278377e-07
963810,-1.3244603634953277e-07
963840,-1.2843838365099529e-07
963870,-1.2440412610218268e-07
963900,-1.2034162599600452e-07
963930,-1.1625415837721661e-07
963960,-1.1214172311325144e-07
963990,-1.0800595765072088e-07
964020,-1.0384563366116468e-07
964050,-9.966116039637949e-08
964080,-9.545335649943524e-08
964110,-9.121976544862686e-08
964140,-8.696079648704033e-08
964170,-8.267440248541186e-08
964200,-7.835935510317724e-08
964230,-7.401483539229873e-08
964260,-6.963838682465332e-08
964290,-6.522837165954786e-08
964320,-6.078397094206358e-08
964350,-5.6299862379613165e-08
964380,-5.177604580071909e-08
964410,-4.72088364841908e-08
964440,-4.259659667484482e-08
964470,-3.793195710194149e-08
964500,-3.322187726698068e-08
964530,-2.845120941159352e-08
964560,-2.3622409696072518e-08
964590,-1.8730974582815845e-08
964620,-1.3771991133540392e-08
964650,-8.743002761191629e-09
964680,-3.6378683289725467e-09
964710,1.548734524072651e-09
964740,6.820490598559631e-09
964770,1.2182312888896465e-08
964800,1.7640751977794068e-08
964830,2.0647744902567605e-08
964860,2.1555369760513798e-08
964890,2.304515187006712e-08
964920,2.4674537237644767e-08
964950,2.627567468307756e-08
964980,2.784037636342934e-08
965010,2.9375601982498092e-08
965040,3.0880532771713355e-08
965070,3.235598753388058e-08
965100,3.380114749727349e-08
965130,3.5217240855054396e-08
965160,3.6603858225859994e-08
965190,3.796099962017284e-08
965220,3.928989322726105e-08
965250,4.058849208801894e-08
965280,4.185802438903737e-08
965310,4.309808074204061e-08
965340,4.4309070544401236e-08
965370,4.549181258596481e-08
965400,4.664344111328301e-08
965430,4.776682188159978e-08
965460,4.88611361029998e-08
965490,4.9925155594399e-08
965520,5.0960108533721504e-08
965550,5.196640431073185e-08
965580,5.2942405345030346e-08
965610,5.3888111630103314e-08
965640,5.480557012827155e-08
965670,5.5692733861756536e-08
965700,5.654960282117593e-08
965730,5.7377814572737156e-08
965760,5.8174503346691366e-08
965790,5.8942534890183126e-08
965820,5.967945282533257e-08
965850,6.038648532125074e-08
965880,6.106199478613112e-08
965910,6.170761878223543e-08
965940,6.232335729397081e-08
965970,6.29079821213145e-08
966000,6.346108385217331e-08
966030,6.398307186302132e-08
966060,6.447394613522446e-08
966090,6.493329725475815e-08
966120,6.536194399154658e-08
966150,6.57582487457122e-08
966180,6.612221149603316e-08
966210,6.645506040617714e-08
966240,6.675597666436264e-08
966270,6.70241414579229e-08
966300,6.725955476394498e-08
966330,6.746221655922796e-08
966360,6.763253621575996e-08
966390,6.776969491905873e-08
966420,6.78736926450733e-08
966450,6.794411997396529e-08
966480,6.798220506836973e-08
966510,6.798508213386374e-08
966540,6.79556169159734e-08
966570,6.789135301522262e-08
966600,6.779229040646342e-08
966630,6.766088544094945e-08
966660,6.749304413378287e-08
966690,6.729204162889508e-08
966720,6.70562403175459e-08
966750,6.67848213828239e-08
966780,6.647819419674508e-08
966810,6.613635873548709e-08
966840,6.57597243721315e-08
966870,6.534747229071774e-08
966900,6.490001186517523e-08
966930,6.441570548669387e-08
966960,6.389537192663181e-08
966990,6.333901116381392e-08
967020,6.274785136839147e-08
967050,6.211943613943006e-08
967080,6.14537654573618e-08
967110,6.075288628874816e-08
967140,6.001516102809031e-08
967170,5.923936146706638e-08
967200,5.842835336993193e-08
967230,5.758008973609847e-08
967260,5.669457055162741e-08
967290,5.577179580369183e-08
967320,5.481176548062484e-08
967350,5.3814479571968135e-08
967380,5.277952867099748e-08
967410,5.1708140962386494e-08
967440,5.0599088247024537e-08
967470,4.945196112199245e-08
967500,4.826757837874661e-08
967530,4.7046349412836366e-08
967560,4.5787455428207396e-08
967590,4.4490896425713675e-08
967620,4.31570818056938e-08
967650,4.178560217458512e-08
967680,4.037522934466685e-08
967710,3.8930466700531255e-08
967740,3.7445582681192885e-08
967770,3.5925899471218515e-08
967800,3.436650430864479e-08
967830,3.277149118856425e-08
967860,3.113963193456546e-08
967890,2.9470107770107198e-08
967920,2.776373751280641e-08
967950,2.602093058445182e-08
967980,2.424086821485793e-08
968010,2.2425188024352605e-08
968040,2.0573071247185646e-08
968070,1.868533671208828e-08
968100,1.6760756259801914e-08
968130,1.4800967519782616e-08
968160,1.2805970531583079e-08
968190,1.077453714305522e-08
968220,8.708714388687938e-09
968250,6.608502315140777e-09
968280,4.473900971498372e-09
968310,2.3040916134164143e-09
968340,1.0153068256157611e-10
968370,-2.1346005606566297e-09
968400,-4.404302057402798e-09
968430,-6.029610979576706e-09
968460,-7.076849921185068e-09
968490,-8.257142896809947e-09
968520,-9.463227657871051e-09
968550,-1.064843285041134e-08
968580,-1.1810302082050234e-08
968610,-1.2950882335530786e-08
968640,-1.4069354810966657e-08
968670,-1.5165719504624145e-08
968700,-1.624038581101703e-08
968730,-1.7292125535845222e-08
968760,-1.8322985664670512e-08
968790,-1.933214740202229e-08
968820,-2.0318791953628044e-08
968850,-2.128373811495255e-08
968880,-2.2226985887582065e-08
968910,-2.3148125876799204e-08
968940,-2.4045929894923865e-08
968970,-2.4922444930813882e-08
969000,-2.577767098861048e-08
969030,-2.6610379882811572e-08
969060,-2.7421390412784404e-08
969090,-2.8210702584723643e-08
969120,-2.8977088215741644e-08
969150,-2.9722594296242078e-08
969180,-3.044599264446004e-08
969210,-3.114769266538525e-08
969240,-3.182687557542189e-08
969270,-3.248436017685117e-08
969300,-3.312178406409979e-08
969330,-3.373587207826069e-08
969360,-3.432826181496149e-08
969390,-3.490018147315372e-08
969420,-3.54495840847084e-08
969450,-3.597769784937263e-08
969480,-3.6484932175005355e-08
969510,-3.697046828274751e-08
969540,-3.743512497673062e-08
969570,-3.78780834790678e-08
969600,-3.830016259419351e-08
969630,-3.87001341498685e-08
969660,-3.908045453172676e-08
969690,-3.943989556780157e-08
969720,-3.977722908734566e-08
969750,-4.009409268535342e-08
969780,-4.0390895771145813e-08
969810,-4.066681956959826e-08
969840,-4.0921864095787936e-08
969870,-4.115643875954368e-08
969900,-4.137095297049565e-08
969930,-4.156499734920446e-08
969960,-4.1739390699703047e-08
969990,-4.1892495459898284e-08
970020,-4.202635861667887e-08
970050,-4.213934260852079e-08
970080,-4.2233494421316495e-08
970110,-4.230717649405408e-08
970140,-4.236161702391334e-08
970170,-4.239558784459645e-08
970200,-4.241154533374404e-08
970230,-4.241931495137304e-08
970260,-4.237959493023304e-08
970290,0.28658157222363045
970320,0.3939147247407272
970350,0.42393837272423907
970380,0.4297049733184047
970410,0.42872315452579324
970440,0.4259210674145363
970470,0.4226330120762196
970500,0.4192175460431045
970530,0.4157720038511024
970560,0.41232302660790776
970590,0.4088780665071287
970620,0.4054394283901494
970650,0.4020079571821648
970680,0.39906420412536975
970710,0.3926978209961823
970740,0.3865567942058564
970770,0.3807841760588324
970800,0.37627404591697367
970830,0.372553778550766
970860,0.30823890344443067
970890,0.253721629581195
970920,0.23641435915515993
970950,0.23011847808085215
970980,0.2263000294871861
971010,0.22299832519572144
971040,0.21981370290556662
971070,0.21666370342913313
971100,0.2135351991291158
971130,0.21042648762032498
971160,0.20855586681019087
971190,0.28383330757563796
971220,0.3191362001718663
971250,0.3257626217889262
971280,0.3248539288187173
971310,0.3223214594341791
971340,0.31948830807016326
971370,0.31662307240215015
971400,0.3137826791805084
971430,0.31098207432920366
971460,0.3082281759034237
971490,0.3055270218877191
971520,0.30289323879408064
971550,0.30031919613575314
971580,0.29780960465690953
971610,0.2907304661412826
971640,0.2855222727998056
971670,0.28569160083147704
971700,0.28538670989481313
971730,0.2841718912213144
971760,0.2825441721540764
971790,0.28122059893538315
971820,0.2808993646695756
971850,0.28078665035527994
971880,0.28074741205191556
971910,0.28073366252787485
971940,0.28072881839572156
971970,0.28072706706414163
972000,0.280726391189334
972030,0.28072608937132065
972060,0.2807259205814025
972090,0.2807257975076218
972120,0.2807256911898355
972150,0.28072559165202843
972180,0.28072549480470094
972210,0.2807253997457875
972240,0.28072530572409055
972270,0.2807252128011161
972300,0.28072512102677005
972330,0.28072503009957744
972360,0.2807249401594813
972390,0.2807248512092858
972420,0.2807247631997699
972450,0.2807246761547408
972480,0.28072459007420403
