time,hvac_reaZonNor_V_flow_y
950400,3.860931324457332e-09
950430,3.109092880656519e-09
950460,2.911649007415579e-09
950490,2.7176539445906413e-09
950520,2.5309875915027655e-09
950550,2.3568231466058876e-09
950580,2.1899874103855332e-09
950610,2.0322047818870664e-09
950640,1.882613060750196e-09
950670,1.7433677455585224e-09
950700,1.6140377356105876e-09
950730,1.4937608304190557e-09
950760,1.3833992287494366e-09
950790,1.2820907301066015e-09
950820,1.1894042338518042e-09
950850,1.1062019386108942e-09
950880,1.0333460428544887e-09
950910,9.686810469334156e-10
950940,9.135002490517424e-10
950970,8.682347478463433e-10
951000,8.311601435760508e-10
951030,8.035697342555691e-10
951060,7.846013195608243e-10
951090,7.764103965621527e-10
951120,7.764103664734679e-10
951150,7.858945270941299e-10
951180,8.048628773483306e-10
951210,8.328843166235653e-10
951240,8.690966448562068e-10
951270,9.16086458203678e-10
951300,9.716982580161282e-10
951330,1.0350698444196704e-09
951360,1.109218912836575e-09
951390,1.1919899649215174e-09
951420,1.2838140992488793e-09
951450,1.3855535137696547e-09
951480,1.49505271055747e-09
951510,1.6153293846143906e-09
951540,1.7437969387789407e-09
951570,1.881748670459566e-09
951600,2.0283223802402936e-09
951630,2.1839491668337283e-09
951660,2.3503534268634085e-09
951690,2.5236552659559733e-09
951720,2.707303478053802e-09
951750,2.899573665514009e-09
951780,3.1004658279803934e-09
951810,3.31170436211443e-09
951840,3.5311337713882217e-09
951870,3.760478452526434e-09
951900,3.998445107703578e-09
951930,4.245033736882072e-09
951960,4.50067543927459e-09
951990,4.767094611630043e-09
952020,5.041273559862386e-09
952050,5.324936680891681e-09
952080,5.617221776725983e-09
952110,5.919853244312008e-09
952140,6.230244489335347e-09
952170,6.550982107127415e-09
952200,6.880341701872876e-09
952230,7.218754373463997e-09
952260,7.566220122771505e-09
952290,7.922738950767795e-09
952320,8.290035254838456e-09
952350,8.665522441671326e-09
952380,9.050062710729591e-09
952410,9.444949360610238e-09
952440,9.848026897510324e-09
952470,1.026058862026378e-08
952500,1.0682203431575462e-08
952530,1.1113302432387424e-08
952560,1.1554747822812161e-08
952590,1.2004384109748353e-08
